iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
67,0.0,0.25,0.0,0.0,0.25,2.2,0.0,0.0,0.25,0.25,3.01
68,0.0,0.25,0.0,0.0,0.5,2.6,0.0,0.25,0.25,0.0,0.76
69,0.0,0.25,0.0,0.25,0.25,2.6,0.0,0.0,0.0,0.0,4.31
70,0.0,0.0,0.0,0.0,0.25,2.6,0.25,0.0,0.0,0.0,2.46
71,0.0,0.25,0.0,0.25,0.0,2.6,0.25,0.0,0.0,0.0,2.8
72,0.0,0.25,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,2.87
73,0.0,0.25,0.0,0.75,0.25,2.4000000000000004,0.0,0.0,0.0,0.0,4.4
74,0.0,0.0,0.0,0.0,0.25,2.6,0.0,0.0,0.0,0.0,2.49
75,0.0,0.25,0.0,0.0,0.5,2.6,0.0,0.0,0.0,0.0,4.51
76,0.0,0.25,0.0,0.25,0.5,2.6,0.25,0.0,0.0,0.0,4.71
77,0.0,0.25,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.93
78,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.25,2.35
79,0.0,0.0,0.0,0.0,0.25,2.4000000000000004,0.0,0.0,0.0,0.0,2.43
80,0.75,0.0,0.75,0.0,0.5,3.2,0.0,0.0,0.5,0.25,0.05
81,0.0,0.25,0.0,0.75,0.5,2.6,0.0,0.0,0.0,0.25,6.85
82,0.0,0.25,0.0,0.75,0.0,2.6,0.0,0.0,0.0,0.25,3.84
83,0.0,0.25,0.0,0.75,0.25,2.6,0.0,0.0,0.0,0.0,4.65
84,0.0,0.75,0.0,0.75,0.0,2.6,0.0,0.0,0.0,0.0,5.29
85,0.0,0.25,0.0,0.75,0.0,2.6,0.25,0.0,0.0,0.0,2.84
86,0.0,0.25,0.0,0.25,0.0,2.6,0.0,0.0,0.0,0.0,3.09
87,0.0,0.25,0.5,0.0,0.0,2.6,0.0,0.0,0.0,0.25,0.2
88,0.0,0.25,0.0,0.0,0.25,2.4000000000000004,0.0,0.5,0.0,0.0,0.07
89,0.5,0.0,0.25,0.75,0.0,1.0,0.5,0.25,0.75,0.75,0.03
90,0.5,0.5,0.0,0.5,0.25,1.2,0.0,0.0,0.0,0.0,0.27
91,0.0,0.75,0.0,0.75,0.5,2.6,0.25,0.0,0.0,0.25,10.33
92,0.0,0.25,0.0,0.0,0.25,1.0,0.25,0.0,0.5,0.25,0.78
93,0.0,0.25,0.0,0.75,0.25,2.6,0.0,0.0,0.0,0.25,5.69
94,0.0,0.75,0.0,0.75,0.5,2.6,0.0,0.75,0.0,0.0,0.12
95,0.0,0.75,0.0,0.0,0.0,2.6,0.25,0.0,0.0,0.0,4.16
96,0.0,0.25,0.0,0.5,0.25,2.4000000000000004,0.25,0.0,0.0,0.25,4.47
97,0.0,0.25,0.0,0.25,0.25,2.4000000000000004,0.0,0.0,0.0,0.0,4.16
98,0.0,0.75,0.0,0.0,0.25,2.6,0.25,0.0,0.0,0.25,6.71
99,0.0,0.75,0.5,0.75,0.5,4.0,0.25,0.25,0.25,0.5,0.16
100,0.0,0.5,0.0,0.25,0.25,3.4000000000000004,0.0,0.0,0.0,0.0,6.56
101,0.0,0.25,0.25,0.0,0.25,2.4000000000000004,0.0,0.0,0.0,0.25,0.77
102,0.0,0.75,0.0,0.0,0.25,2.6,0.0,0.0,0.0,0.5,9.59
103,0.5,0.75,1.0,0.0,0.0,4.0,0.25,0.5,0.0,0.25,0.01
104,0.0,0.75,0.0,0.0,0.5,2.6,0.0,0.0,0.0,0.5,11.2
105,0.25,0.75,0.75,0.0,0.25,1.0,0.25,0.0,0.25,1.0,0.02
