iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
1,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,0.05
2,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,0.01
3,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,0.05
4,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,0.04
5,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,0.07
6,0.5,0.5,1.0,0.0,0.0,1.6,0.75,0.25,0.5,0.25,0.04
7,0.0,0.0,0.75,0.0,0.25,2.4000000000000004,1.0,0.0,1.0,0.0,0.04
8,1.0,0.25,1.0,0.5,0.75,1.0,0.25,0.0,0.25,0.0,0.01
9,0.25,0.25,0.0,0.75,0.5,2.0,0.5,0.0,0.5,1.0,1.04
10,0.25,0.75,0.0,0.75,0.25,1.6,0.5,0.0,1.0,0.0,0.49
11,0.5,0.0,0.5,0.75,0.0,3.2,0.5,0.25,0.0,0.75,0.05
12,0.25,0.5,0.5,0.0,0.5,2.4000000000000004,0.5,0.25,0.5,0.5,0.06
13,0.5,0.25,0.75,0.5,0.25,3.4000000000000004,0.0,0.25,0.5,0.25,0.03
14,0.5,0.25,0.0,0.25,0.5,3.2,0.5,0.5,0.5,0.25,0.1
15,0.5,0.25,0.25,0.5,0.5,3.8000000000000003,0.0,0.5,0.5,0.5,0.04
16,0.25,0.25,0.25,0.25,0.5,3.6,0.0,0.0,0.0,0.0,0.66
17,0.0,0.0,0.0,0.25,0.0,2.6,0.0,0.0,0.25,0.5,2.06
18,0.0,0.0,0.0,0.25,0.5,2.6,0.0,0.5,0.25,0.0,0.09
19,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.25,0.25,0.0,0.37
20,0.0,0.0,0.75,0.25,0.25,3.4000000000000004,0.0,0.0,0.0,0.0,0.05
21,0.0,0.0,1.0,0.25,0.0,1.8,0.0,0.0,0.0,0.5,0.02
22,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.25,0.25,1.9
23,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.25,0.0,1.31
24,0.5,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.25,0.25,0.19
25,0.0,0.0,0.5,0.5,0.5,1.8,0.0,0.0,0.0,0.0,0.1
26,0.0,0.0,0.25,0.0,0.0,1.6,0.25,0.0,0.5,0.0,0.15
27,0.0,0.25,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,0.25,0.25,2.48
28,0.0,0.25,0.75,0.0,0.0,3.4000000000000004,0.0,0.0,0.25,0.25,0.04
29,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.25,2.26
30,0.0,0.25,0.0,0.25,0.0,1.8,0.0,0.0,0.0,0.25,3.25
31,0.0,0.25,0.0,0.25,0.0,1.6,0.0,0.0,0.0,0.25,3.02
32,0.0,0.25,0.0,0.25,0.0,3.2,0.0,0.25,0.0,0.25,0.89
33,0.0,0.25,0.0,0.25,0.25,1.6,0.0,0.0,0.0,0.25,3.96
34,0.0,0.25,0.0,0.0,0.25,1.6,0.0,0.0,0.75,0.25,0.56
35,0.0,0.25,0.0,0.0,0.25,1.8,0.0,0.0,0.0,0.5,4.78
36,0.0,0.25,0.0,0.0,0.0,1.6,0.0,0.0,0.5,0.0,0.77
37,0.0,0.25,0.25,0.25,0.25,1.8,0.0,0.0,0.0,0.0,0.61
38,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.5,0.5,0.59
39,0.0,0.0,0.0,0.0,0.25,1.8,0.0,0.0,0.0,0.0,2.1
40,0.0,0.25,0.0,0.0,0.25,1.8,0.0,0.0,0.0,0.25,4.02
41,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.64
42,0.0,0.25,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.25,3.55
