iteration,uncertainty
5,2.6139391423673204
6,2.497172628972393
7,2.4345529196070785
8,2.419247477910229
9,2.4323101095739834
10,2.3855453485524016
11,2.305386649416056
12,2.2561104435140877
13,2.226733994895589
14,2.167178440474421
15,2.1128995832478386
16,2.0730367057999115
17,2.035452351858487
18,1.9960046481798475
19,1.9527134073245354
20,1.9835860021775078
21,1.9376039941368925
22,1.924582106150099
23,1.9813574625795867
24,1.9603572998449934
25,1.920976690748745
26,1.916991002701335
27,1.881255380115263
28,1.8755577675991189
29,1.845080809206653
30,1.8238955285018084
31,1.7963444218740239
32,1.7857674723692762
33,1.773443886236848
34,1.7614415261370446
35,1.7522637127965852
36,1.7283889922374691
41,3.085211465278209
42,3.0598590840193642
43,3.0473708010261045
44,3.026371751248713
45,3.0024742190024813
46,2.9894011589656135
47,2.9820594933856444
48,2.962743548064399
49,2.9437922713923856
50,2.928004181964227
51,2.9034107253878583
52,2.87775828724097
53,2.875608096904621
54,2.857076714499932
55,2.8326980392936667
56,2.8212832046073446
57,2.802945419963892
58,2.7888188057529684
59,2.77212064037798
60,2.769640584183363
61,2.7554477731449434
62,2.740234346670848
63,2.725728853015443
64,2.7222475261272367
65,2.7038529509103895
66,2.69421212023223
67,2.678443709523431
68,2.6681970884983244
69,2.652170770569137
70,2.6463080915316946
71,2.626337150677608
76,3.367373008627844
77,3.3523335645037178
78,3.334998556222026
79,3.3164790368415336
80,3.302786707400842
81,3.2828223990380407
82,3.263427634720975
83,3.263352320881872
84,3.247626842281035
85,3.2289661110456973
86,3.2174992899557266
87,3.200144429651923
88,3.197807378322925
89,3.1798869128515745
90,3.176878994471468
91,3.1718290655039274
92,3.155125311876482
93,3.1506788529320966
94,3.148504946860625
95,3.1450113311757897
96,3.1417571288865087
97,3.1420784214603845
98,3.126553699488426
99,3.109867233296021
100,3.1060987162930798
101,3.092835807747286
102,3.0930149283273094
103,3.0874933187482054
104,3.074695242644008
105,3.072469184844615
