iteration,pitch_deg,yaw_deg,v0,spin_rpm,spin_axis_deg,h0,mass,target
1,58.284093596267866,93.72390540920702,4.581845779305287,2804.300807648766,46.64481790182202,1.3428381077540117,9.233720263055304,0.0
2,76.62025210993352,-66.53143065432207,20.848412659589,133.9701596048011,-20.311904194798444,0.7302367976822729,0.9295623165251796,0.01
3,-16.90338309008824,164.7079027916065,47.39860852055296,1032.0585461735673,-122.55650821708764,1.152758554672628,3.6495661772844263,0.0
4,1.3425917749057703,-126.33298941143772,33.88219250172902,2081.8005922709754,-56.87680489394553,0.14605065122395536,7.856646156272808,0.0
5,35.57249052100693,-18.443729594819132,16.796643912670977,1235.747340787415,169.6527488161778,1.7964792766686064,5.070124204804787,0.8
6,-0.7263342690559682,-124.59475757171332,5.663989186561922,396.6139035266641,127.14338278759669,1.148831612570598,4.005405538438087,0.0
7,4.378797509923103,79.61362934499442,32.21641554115369,582.1588303041032,79.79162827079097,1.1432778839087492,7.634226901184069,0.0
8,9.943472590918688,78.5212906674937,8.393431259633727,1533.429804071429,175.77879304359305,1.9436032451734329,4.442311820125922,0.01
9,77.25617733174295,-74.99419067128231,19.024297615404016,356.01733962315546,41.70312096137306,1.5376465465718945,4.8682960234292505,0.01
10,9.825200515071714,14.381521349035353,23.49195127837976,1354.4299999018904,108.0977199880935,1.2022256614409663,3.3285396997644776,0.14
11,9.039579747236203,49.14889091547076,26.668399187080716,718.1369272917947,76.86105006924356,0.9715420393524938,8.09938067317009,0.04
12,38.31654879837512,-48.43192351706381,16.62027377250603,1250.7462021110016,176.7000225916991,1.6098958110791,1.3938969957828522,0.08
13,33.401670624235905,-17.17989352539871,20.274957539339912,1366.7426112081719,145.56090757066676,1.3311337732503183,4.186420140742288,2.42
14,35.551602587412376,-33.24804738539336,21.917403641322444,1315.3576961345482,146.63208501457547,1.2506549767290247,3.4628304618736796,0.63
15,16.967880915082233,23.398829736803123,28.0374517353414,971.3280052532396,104.82948643419485,1.023310986681623,5.148545596856394,1.17
16,36.53494707224664,-17.12272162804851,18.201485460620166,1061.0143708371413,141.9985557394806,1.076265854202719,4.09623916646991,1.09
17,20.41099824135876,-3.075941499270499,24.45129759641561,1450.7623973699895,133.61373061262026,1.0852719185520425,3.638141132088329,2.57
18,9.492798910294532,29.553269011045728,42.292136541903595,1113.78900601733,113.30533043006778,0.666946300034165,4.607781726420744,0.68
19,22.568126521083492,-3.0301162831253237,20.169126987457275,1221.7425774900078,147.19727228856823,0.7183797001861505,3.547372974287319,0.81
20,10.795661751575672,9.914767380090353,32.864037336025106,1512.5757074265625,139.23493336916061,0.7580008668709256,3.0431544159681865,1.18
21,36.155188403689536,-37.231755742327294,10.837259143590927,1357.3954292309638,100.87073237489653,1.3365520511966569,4.2869700479181585,0.03
22,6.573420497226749,-38.69888445306091,12.144810231267531,971.0187533479248,144.95698140396235,0.6719235279940874,3.2043152536096353,0.01
23,18.707391701062,18.547594953223722,29.577402980067653,824.0704080911025,126.88185157183472,0.556566829902191,3.3737415528637844,3.09
24,21.505769173419623,18.60544735231892,27.417500461414107,537.532804547891,143.26992718708084,0.20590801790499266,3.2723566087148135,3.39
25,10.413032767394832,32.415621398146754,31.654319004690496,718.6437277044445,141.5674866340227,0.1763793275763393,2.667308280048816,0.21
26,8.66549148726137,58.7961880537965,35.053134840730316,306.4410459479076,113.57902719350443,0.1102475760400299,4.288134253662183,0.02
27,24.05865949914181,18.664028631028515,25.491432226149296,417.5661048602169,146.97451731150943,0.1472594395187905,3.173380995720575,3.18
28,23.902508837873086,7.206029504829132,28.424570020635752,652.0446885796231,141.47530325737318,0.3385674592375651,2.465037722711587,24.71
29,26.641149710033844,-5.320948723910362,29.83698583855513,630.8550745731175,131.56017973839766,0.2817510100310791,1.7376325211919275,29.73
30,17.292966590564966,7.742989692621961,37.06164190538549,762.0367671522893,120.8465463959098,0.12960784440109485,1.2654504006371046,24.86
31,27.948791914148245,-3.965544615102715,45.65769135951996,1055.822662843543,99.97810900132077,0.4808538676026988,1.77679402861291,0.04
32,29.198191915501923,-5.272991920027948,26.896861369943075,426.2056435024836,136.46657927479202,0.13666309276749894,1.6535569478903438,44.5
33,32.831292823577094,-5.237883576416522,23.078151358003097,390.41683631560096,142.56992420179682,0.11421322534870273,1.5903579788721636,16.34
34,16.94017833251636,13.570060132259556,29.657912701109048,618.7446232597548,134.2026203138023,0.15000313008268618,1.041839847110793,2.95
35,16.91750794957879,46.45298344112365,32.32882746887228,246.97261287936175,101.90824005724272,0.11134653907327871,2.75092965192755,0.04
36,31.647588811841125,-5.200568979860293,25.48825554794607,336.1630224916808,140.2246473358245,0.14900477690692357,1.5890785912751724,44.23
37,30.878964549928895,-33.767174842693635,26.380344953757607,111.83108775343067,147.82833234221664,0.18194162012698897,1.1851281261608526,0.25
38,26.847308731338366,20.289356393799295,28.966070396255123,36.70712163232783,118.48130296512824,0.03679753538455094,1.5541797792514955,1.63
39,32.843271715137014,-5.214493628692821,25.439155412804652,310.23990912134957,142.32922330131862,0.11928770689562379,1.845871650772246,44.74
40,43.56240962139833,-38.511727336952475,27.436998237241,443.05859709345253,95.73840930224407,0.6797181278056631,0.39777247509895747,0.15
41,10.483918973565657,-22.491944521906788,28.435620943777725,174.49075583829452,156.02435323593141,0.6700627958884994,1.962262217795073,0.71
42,36.40227128082077,-5.156748623823518,24.098568773297753,268.18865564673257,143.28178460384913,0.13536801229751588,1.8658863866194977,42.57
43,55.96810129902559,-29.90380319079526,25.91645064426622,103.97349415163643,86.59754447921682,0.3754774130241028,1.8651325131158227,0.51
44,36.57458383947262,-5.156040127004815,24.009485014517757,267.54035128617244,142.48499912226907,0.11930939558249187,1.866588377515959,41.64
45,17.515583401875162,10.087222656727988,28.099746397470078,462.99449843454715,134.18589562206859,0.14274371001829658,1.2481834754843322,3.94
46,36.199164447125455,-5.156499239855776,24.03527402662544,274.4501461687978,143.02982170371735,0.12826713444937077,1.8929968870470106,40.9
