iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target
1,85.88654896147472,107.09001605386504,12.043112500033944,1.3553919637226293,1.21
2,20.88914243343128,146.9228023910729,16.60362976235031,1.4053179634506732,1.97
3,65.5164621425447,140.648186852258,7.961009292094192,1.147544517629617,2.03
4,82.15347300192971,220.83985814912933,4.701798127333986,1.3148097861469632,1.69
5,54.735524261794886,247.3062325726227,18.28588143821576,1.2009351396382135,1.85
6,77.82385741127956,303.3715053945405,9.144470063746905,1.2772513736597428,0.18
7,53.83622007414303,57.58266874610504,12.534952025853576,1.121410495037183,0.36
8,13.894357876103538,186.50429817415983,7.190262699097286,1.4462448491558442,1.54
9,40.7341211899083,41.90008448435863,4.954657541177271,1.0384253096589324,0.15
10,6.440950973397062,337.5715569126881,11.036395279463374,1.0079848642741802,0.99
11,2.0055544345934715,200.43628170578157,2.1974651979974604,1.195058003577839,1.03
12,71.81342894306962,312.5747541302019,2.7027087429169647,1.4882396760853258,0.07
13,27.82468198497239,264.951979863206,19.90323579770511,1.0858017456129438,1.57
14,35.52514349282613,80.66933766583607,15.955503346826276,1.2466873802846927,1.06
15,46.785879168399205,21.22917311992131,13.717339508036408,1.3966745402443383,0.0
16,2.8274879302910048,105.23306834657126,17.571486007318548,1.0944208524782058,1.47
17,1.7831149530035564,115.17870378760615,11.725726390602455,1.3387835261526668,1.23
18,40.67253353786733,83.55895367077589,7.56418197242849,1.4218888867986492,0.89
19,21.96137030464377,115.8252300383886,4.04365918440323,1.284009845685184,1.29
20,32.89939390532073,104.84273987956018,14.638804194343557,1.0117714830836242,1.64
21,54.43752907774003,106.74523082325068,11.725726390602455,1.284009845685184,1.46
22,41.72070353574131,192.4857353658314,6.097284255804317,1.3912795138113987,2.08
23,15.662180784193446,120.50430018738368,12.12448961793326,1.3255528955068674,1.5
24,66.65660445270149,104.34558902901745,7.969675470038117,1.1468258477383435,1.26
25,17.70544494558651,109.47786956907584,17.78317835955427,1.272700251752624,1.61
26,9.998336351516231,164.47955420740115,6.579801847638335,1.2601361268670956,1.42
27,47.26692659090367,110.7658598713437,3.7738423280643407,1.272700251752624,1.3
28,20.087821396837967,164.47955420740115,7.915123949390335,1.01744082133139,1.84
29,54.98354504510765,115.91943067319268,6.136205050000311,1.1061271573285758,1.5
30,24.9593694807271,162.52400378502173,11.390993431390443,1.1950608857458886,2.06
31,18.908550305619038,114.43389505017956,16.9954718075244,1.1203724522461471,1.73
32,21.507767691397007,162.51369114764853,10.703892488720244,1.091082995611783,1.98
33,64.03448520821118,187.4569547648829,8.109519342688962,1.4324031388404563,2.34
34,14.344808663247976,130.2037636229194,7.644265125635007,1.216385483640191,1.43
35,28.613460055603515,177.6637699504082,15.165361954841387,1.3462391196706067,2.3
36,21.05396624547697,145.75861515659045,13.653653676628688,1.1245688313552022,1.98
37,21.77917926021251,149.7520502156376,18.04584915348557,1.4017256053520184,2.07
38,21.57203744666937,186.60203378230375,17.636336790658447,1.303798197748689,2.22
39,21.21866548122519,181.15249472049177,16.925301265791674,1.2057159313480923,2.24
40,82.2225264791155,156.8532462178307,5.120397845913754,1.1491733065956196,2.05
41,21.30632527598106,181.95540255598544,12.07904415525632,1.222896870205734,2.02
42,80.42816199644814,181.95540255598544,5.705817831556168,1.1747662195418878,2.25
