iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target
1,34.02129925115231,82.19857267862811,10.965830731111884,1.3938935423405203,0.97
2,8.829929379971023,153.70692193055064,7.43632942503586,1.32740861087435,1.38
3,43.60607408976166,66.629956443423,18.609327300925457,1.1479311879498593,0.73
4,87.61540135953936,262.5578333924616,19.887785272979865,1.0302879849324744,1.24
5,5.818576087507888,311.7158975728996,5.066250769692661,1.2103607593506085,0.9
6,40.55391919032834,220.8786912455649,9.408991876347828,1.2997437990513323,1.94
7,77.11748584772693,178.0952367531809,3.3830091801196054,1.339726935533191,2.11
8,59.79749759198618,356.05111203117303,6.975885090237596,1.088134690746794,0.0
9,17.382456145631025,31.71887194697928,17.347920858243686,1.0376870445519428,0.68
10,79.69457616547922,21.01546039745038,3.5999949115437584,1.1026779728058027,0.01
11,28.420982833541824,202.08027293779455,12.700561411123877,1.4836032066570024,2.05
12,19.496741826749467,324.6706387475339,14.035268770580965,1.2520946515409304,0.56
13,60.80813047860111,281.32361110673816,1.32492096595648,1.4225116208880928,0.59
14,53.96653597842704,130.98196408594308,11.966682718692065,1.195806262921464,2.04
15,71.7187746261916,104.25060327721177,15.333222205625868,1.454761356384736,1.35
16,76.67422589212464,167.7850871378896,12.777850233813435,1.4118752183785137,2.52
17,31.81024995560572,87.47168968243614,2.2227832362706663,1.0458474572389018,0.91
18,7.542677998833787,132.96438472032509,9.97678295872354,1.4543194981501235,1.33
19,5.176308810637432,188.61269281126275,9.82344960923202,1.1639188920899162,1.39
20,52.80133001476054,191.2388520112096,5.8410978760202585,1.138487745466315,2.24
21,64.89001493153789,16.22326519044131,15.68796457985571,1.4868717825080948,0.0
22,46.19724866420251,12.454388574712242,5.922336581388284,1.041811472019433,0.0
23,64.89001493153789,129.2226006869963,3.064753147578278,1.1346384440538744,1.59
24,61.54571863087418,119.314376716691,5.082939988088761,1.159226204796768,1.5
25,53.17948421468031,187.2420870946408,3.507481795692461,1.2530601692723746,2.11
26,65.08757690254707,182.3312890720109,11.753740897846232,1.2530601692723746,2.62
27,6.275446368816849,166.69993769804634,2.537173100025228,1.3106573672528528,1.18
28,50.115557176932654,180.6913406389976,4.099278938123703,1.1503862339550452,2.15
29,2.5538222405949083,176.68568652883536,4.356928183143896,1.1086105097599912,1.13
30,75.00016294201716,133.65151752914298,7.078465582561737,1.3307607174435354,1.75
31,75.6380252867431,95.5815862810386,15.28603366374065,1.1931631251275907,1.15
32,50.51750060381709,78.37318420687807,6.698952174041285,1.1459891346250497,0.74
33,76.83238972131511,192.19404197419675,6.102694283819399,1.3406662053861853,2.2
34,76.81422400509993,199.51477759041327,3.178477953934133,1.2187983563259512,2.01
35,49.14356576279904,119.30238315623372,10.045845183777027,1.2844780907141136,1.67
36,65.0847151559398,216.9295507745228,11.953297720841643,1.148153222058672,2.27
37,76.69075827766784,122.7850138826092,9.836942135209483,1.1548352272171785,1.67
38,52.72477245792403,185.0003799014999,3.285344135436308,1.311532493831442,2.09
39,76.14537766321165,183.2056046959092,3.207474911085346,1.2203082547940003,2.12
40,53.23480259067407,180.94041752951745,3.906385527281037,1.310153186874784,2.13
41,51.63892158992184,195.1542627314612,12.773974416110573,1.311532493831442,2.52
42,50.59488424272498,181.46967493467537,3.736862801294382,1.1798171238445805,2.12
43,53.85268036477335,181.40348823811237,12.775912324962,1.2457676617336424,2.64
44,55.341474314492906,184.703562796047,3.581767826164774,1.1356358186989897,2.15
45,52.94521109570281,179.20561034171962,5.1972806205463735,1.236726886420486,2.21
46,53.98013993374057,189.45783059052397,5.852446884329374,1.3572187307083203,2.2
47,52.86186961367974,182.3635450895282,12.385279759895749,1.225173564395539,2.62
48,55.68613344613805,190.9697659694021,8.571614534536987,1.239116866833957,2.38
49,54.736378428733495,182.3474170807695,7.213009919730115,1.2238009114177522,2.34
50,57.34361475271224,0.9020629611637272,3.4413903499214515,1.1469160011549389,0.0
51,51.59680661272481,190.66982602573225,12.3969411379902,1.1783884665285207,2.6
52,64.72312754417328,195.2084908236372,10.23404871645625,1.268447786142091,2.46
53,64.5324416082682,195.23194495987457,12.069510328870988,1.220196047075096,2.58
54,64.99631015251198,182.3474170807695,12.816001945589738,1.3227378750678822,2.64
55,59.424495258642665,168.7742961979326,12.418270920735772,1.249075400198261,2.62
56,54.33507864549445,181.87545265944087,12.488372352732108,1.26666033565056,2.61
57,54.45479744056167,183.68053827172184,12.795957135275868,1.1979891683495243,2.67
58,65.82987418843757,196.19963669395688,12.795957135275868,1.2842527684007623,2.58
59,54.104731385838825,183.39434525582143,13.100813995333665,1.2341562121171608,2.66
60,54.44911347488685,175.07628157784896,12.356542149513684,1.1982210078689,2.64
61,60.1730819527938,182.8296252530353,12.944901462421615,1.095481151021328,2.78
62,51.75287921565029,183.4773613370111,12.720182271173142,1.0928016171507573,2.71
63,54.93480370583071,181.56598532883507,12.80490469893166,1.1047814580316109,2.74
64,59.2325573425079,182.4143182903865,13.344412807461524,1.1060317590766915,2.8
65,59.27500983954131,182.160370454172,11.713717702559505,1.095019990732388,2.7
66,51.51938003313273,182.3660363703056,12.94128739977686,1.1001538667341573,2.72
67,58.12171318159249,173.00261690419737,12.850568612949855,1.1005652116114977,2.75
68,54.6604007702046,182.31900507108824,12.749265891899748,1.110324666266219,2.73
69,59.37372540296205,182.99045987030576,13.190787633734876,1.1000918855881494,2.79
70,59.26436566842355,180.49069112389293,13.16240093418673,1.0957025432077496,2.8
71,59.23403901865756,183.6282467528031,12.961557789600423,1.1086836523645294,2.77
72,59.82881766963664,181.7481144865593,13.253406870824126,1.1109451789447145,2.79
73,59.24846150546573,181.45250470713967,13.255733787929572,1.1008671511422206,2.8
74,59.2325573425079,182.7284004456734,13.344412807461524,1.1060317590766915,2.8
75,57.917182957897296,182.64107534248575,11.76133845396554,1.105225417300798,2.69
76,59.175091255935016,179.4594257828491,13.344412807461524,1.10985762842943,2.8
77,58.25257435535044,182.4143182903865,13.344412807461524,1.105863968102071,2.79
78,57.737571910793896,182.18645870304985,13.344412807461524,1.1065440604980257,2.79
79,59.10210641316085,182.90942941058745,13.344412807461524,1.0994545606049957,2.8
80,59.2325573425079,180.0836188657668,12.978491760753078,1.1073488492413064,2.77
81,58.80234952899042,172.3507902843994,13.036493102900074,1.1054263583838324,2.76
82,60.64360146967708,181.85261926075933,13.32489403820743,1.0983222763095577,2.81
83,59.24846150546573,182.0788611832588,12.961425050686705,1.099348826063453,2.78
84,59.24846150546573,180.09808055246884,13.25340687082413,1.109811721922611,2.79
85,59.17301657804244,181.7611209384891,13.33004371055686,1.1046612758783776,2.8
86,60.28904299683925,181.3452167644483,13.25340687082413,1.1008671511422203,2.8
87,60.28048876882416,180.6947497578838,13.136581290898842,1.101347815909434,2.79
88,58.31460851321965,181.35406220439572,13.257899992547124,1.0987858197421514,2.79
89,59.434302901905376,181.4525047071397,13.335114847931845,1.10938154648717,2.8
90,57.530397416002046,181.32070623040747,13.25340687082413,1.1008671511422203,2.79
91,59.13137301569019,181.32723934949533,13.217651826954322,1.1061105346019269,2.79
92,59.22993176002442,181.77312939164275,13.247080519284276,1.1053774675976014,2.79
93,58.482123592462585,179.5403019146363,13.25340687082413,1.106220496204103,2.79
94,59.49719434647147,182.19718150336192,13.235290034705748,1.111000589950837,2.79
95,59.14826484767927,181.4525047071397,13.179511736725582,1.110556538106151,2.78
96,59.20032418531485,180.13953130106376,13.33039718416718,1.1008671511422203,2.8
97,59.24846150546573,181.4525047071397,13.186646600176964,1.1092097252881088,2.79
98,59.24846150546573,180.82742998310795,13.254972484163057,1.0967619536167754,2.8
99,59.24846150546573,179.39119909191405,13.33474908007688,1.1008671511422203,2.8
100,59.24262303281871,179.47690004013052,13.176082757222146,1.1089826101863571,2.79
101,59.16085847914224,180.6443306171245,13.247547201091823,1.0984926392019096,2.8
102,59.43713836268695,181.4525047071397,13.25340687082413,1.0977518369979389,2.8
103,59.24846150546573,182.35683155087787,13.25340687082413,1.106373666393547,2.79
104,59.12139781730027,181.4525047071397,13.250647131311734,1.1006273396971875,2.8
105,59.24846150546573,179.99996245930163,13.302988953067814,1.1002381404257893,2.8
