iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
1,0.0,1.0087843799928322,0.0031899178067609,1.242599886816231,0.4974376469903976,2.5937451094112327,0.0075105098766447,1.240140088590037,0.0070756518259231,0.0,0.0129635745611051
2,0.0067420402742041,0.0043682912565016,0.4960781211386047,0.0,0.7440353153607234,4.808051144236292,1.0037253009196243,1.2514440563048976,0.5044188060473691,0.0,0.0002271943644632
3,0.2548018659350973,0.2425591470632846,0.0,1.7440383008972968,0.5056223931535907,2.605416500803431,0.0,0.2476382605440617,0.2480446113733901,0.0090778221560107,0.5575603213657078
4,0.496568249151068,0.0,1.007562590451658,0.5029466939902645,0.0,3.393695755887973,0.0,0.24684913931588,1.2437735486704842,0.2501459839363116,0.0022611571597972
5,0.7430372758048818,0.2420780624536969,0.5006084879388308,0.4980225015194591,0.0034487645993305,3.399667151793914,0.244012265054375,0.2597763362291737,0.2570576048544135,1.0008398637328624,0.0351188145971839
6,0.0,0.0069338814560736,0.0,4.74323988890118,0.0041920510301603,2.9993614228368144,0.0,0.00847149092656,0.001353687068059,0.0001783745047644,0.3474113464502544
7,0.0,0.0083698657335971,4.753969625467588,0.0,0.0044748201938094,1.399868303053984,0.0,0.0048282810499446,0.0,0.0053753245785374,5.8017873070729556e-21
8,0.0,0.002054155653442,0.0083742732841748,4.746758238176242,0.0030971020457753,1.2008578935734326,0.0,0.0,0.0090752819969117,0.0,0.0690444931219965
9,0.0,0.0015165762264087,0.0,4.754041956725049,0.0,4.805367716225694,0.0,0.0,0.0087748642131495,0.0005716335302312,0.7952800125310538
10,0.000660203251901,0.0,0.0,4.491472213660705,0.0035748783540526,4.791613386330518,0.0,0.2511138599889047,0.0,0.0,0.1621824723530682
11,0.0028799973202657,0.0019916490601688,0.0089856511790709,4.756123550732867,0.0,4.396131856428147,0.0009534246596866,0.0,0.0,0.0,0.7341078951269645
12,0.0,0.0,0.0003123558470782,0.9957960843924448,0.742770594213497,4.801031001226702,1.505791384149205,0.0084936586069532,1.2437569459780589,0.0027784488207163,0.0567137285115394
13,0.0,0.0,0.0,4.745161543794617,0.003851990485188,3.803553000687531,0.0082810438653683,0.0,0.0,0.0,0.5834123802241908
14,0.0018750540254441,0.0076234309496332,0.0,4.744377226334227,0.0094422531589118,4.394984271203259,0.0004823350655778,0.0086945668169467,0.0,0.0071924646773596,0.7522782623782006
15,0.0,0.0,0.0067563292160046,4.753150627368577,0.0050952582764961,4.59702083339369,0.0023349910058479,0.0,0.0,0.0,0.7707565032948701
16,0.0073436686547709,1.0000512228435428,0.0,2.994160965805617,0.2432280142106951,4.807599442085253,0.0039885802376835,0.0018015548345586,0.0,0.0020911974890092,4.019033497666486
17,0.2559764434383977,6.369967342503835e-06,0.0,2.745119213141532,0.2431272461126392,1.0037228844369754,1.2423116369585812,0.0044308522083672,0.0,0.0,0.0783347759085555
18,0.0074045455019707,1.2550329537639595,0.0,2.991377409537366,0.0,4.39008555821215,0.0,0.0,0.0,0.0051559247178409,2.8340572819283327
19,0.7453246597207961,1.001947025339118,0.0005850270307046,0.0093916094860769,1.252526099201617,4.803287881857936,0.5012065801809013,0.0059427457482741,0.2462948286401597,0.0057932698590877,0.1675072660031116
20,0.0,1.00823257719846,0.0,0.0,0.240919988476325,4.802308407286032,0.0,0.0057310911141236,3.256493964656234,0.0005331506553673,0.0003949376775273
21,0.0,0.7596232285093278,0.0098946417655188,4.006453389768292,0.0063766280038497,3.5960951705891064,0.0097997094526955,0.0,0.0,0.0062298115203623,1.436351481617796
22,0.0025518323468434,0.9961612296120052,0.0044460836254062,3.2462653380361424,0.0038852772661186,3.991745687602098,0.0090489335581893,0.0,0.0044955431987244,0.0,2.3827754436411697
23,0.0,1.2480723846371056,0.0,0.0,0.2479578728829036,3.4007147056928986,0.4932667143763178,0.0,0.0,0.7420105501596521,8.43084613523142
24,0.0,1.251724698756827,0.0,0.0,0.2403722191852395,3.39454967436525,0.4953262254402116,0.0,0.0,0.7410022294225762,8.325456895018222
25,0.0090711577299828,1.2514560124853753,0.0,0.0008519175610214,0.2500874153456486,3.3982166663764306,0.4924481290692541,0.0097150436938122,0.0,0.7409998506596623,8.409578067693664
26,0.2460093808652597,1.495719759187897,0.0,0.505311969080755,0.5075820983378283,4.40824132471433,0.25146681169863,0.0,0.0,1.0004502287993116,7.464924240028885
27,0.0084216729209527,1.2529065396159589,0.0,0.0017424630733031,0.2550781415514443,3.403549691431463,0.5008749612377137,0.0,0.0,0.7466551780310653,8.53042686935809
28,0.2533349282004711,1.2487331450859191,0.0095435463527906,0.491668371234789,0.2537580299152454,3.594829008031859,0.0,0.0009800419599716,0.2444950619732163,0.9945734977660088,4.190516078685516
29,0.0032931976573828,1.2404131207953344,0.0,0.0076925665927321,0.2577830806538724,3.3906831123268524,0.5018520796263886,0.0,0.0039068393189112,0.758975361834207,8.530409979912818
30,0.2421802702452411,1.7484136143353222,0.0,0.0048290311888999,0.5004690557387785,3.604174940625936,0.7431727558330911,0.2460444513997432,0.5003313903112355,0.0,0.6195555997886624
31,0.2537244534826286,1.2583997965248124,0.2477882163146887,0.2580657013838806,0.2547408541385751,2.6030809291554524,0.0015525361911572,0.2535560332678008,0.0029847927384627,1.2408169999028928,0.3430100555006717
