iteration,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,target
1,-0.044539380390990146,-2.2470764373131846,-3.8650278094746504,-8.605414136561933,3.166462719665466,-8.595727408581617,-4.159515819273892,0.11718570216182833,-5.8814646390751175,-4.857513075616149,742.193
2,-4.501089302560615,-0.09752275390743215,-9.000300997527678,-3.3498669029908603,-5.648984005570995,-0.3937338836464086,-8.391541836875959,-6.550545002187759,5.776015296674682,9.148285956219404,684.51
3,-7.009761386514144,6.308981618439677,1.3376282528559518,2.690456784460718,-8.429082291193197,-4.3773139694399354,3.8493477159428853,3.171592386334117,9.44264164967002,-8.889556592859579,694.726
4,7.623474308897951,-6.449992452580119,3.7042287685173356,-1.2865534754777386,9.955475234669514,7.940461137122089,-0.4037044745573546,9.199510427561314,-8.552954870500766,-0.0034161324182946373,657.66
5,4.5058981703191705,5.566129743983172,7.568649775132709,6.315604365571584,-0.13682104979440446,4.318865178818459,7.025163269670706,-5.404303266059822,0.2020062077924223,4.721695462931695,740.429
6,-4.316927534130684,-2.2470764373131846,-3.8650278094746504,-8.605414136561933,4.338529681609195,-7.335150663998631,-4.159515819273892,0.11718570216182833,8.373832884876402,-4.857513075616149,742.751
7,-5.047662340799821,0.21451124850341569,-3.8650278094746504,-7.752970576391768,2.752407149955731,-8.379073143119138,-3.3887168311227125,-5.337042836809285,3.3193122571343654,-0.09162373854932537,750.394
8,-5.129592943308432,5.891259195086672,-3.688841222181647,-2.9858068543846974,-4.627883815628564,-4.943136838690856,-3.356009314096647,-4.716940655468219,2.384092296218279,-2.6463105279179064,741.833
9,-5.047662340799821,-1.7689885267750298,-3.8650278094746504,-4.653993544562891,0.09883195255264049,-2.9389540078568017,-3.65088286580942,-3.9988657840715374,-5.130243142664161,-3.4078292748911414,756.728
10,-5.047662340799821,-1.7689885267750298,-3.846535025807664,-4.653993544562891,-2.7996752236938653,-4.46385332233962,-3.9107566391576687,-2.534631569202428,-4.671129532115128,-0.17825111143874378,758.907
11,-5.047662340799821,0.9518603567345885,-3.8640542501788775,-4.653993544562891,1.573178950761104,-4.791458420528281,-3.4987352612948732,-1.9403259392955332,-5.576401413405993,-0.17825111143874378,750.191
12,-4.312092354549901,-1.7781612052174793,-3.846535025807664,-7.846803013790412,0.3285333577420988,-3.9895490743964763,-3.9107566391576687,-2.534631569202428,2.612675388582334,-3.1416611825067173,770.821
13,-4.312092354549901,-1.5768247172105916,-3.846535025807664,-7.846803013790412,0.3285333577420988,-2.6780350804023225,-3.5352240625671056,-2.006444069878842,0.2164619589302482,-0.34809444464015393,767.638
14,-4.312092354549901,-1.7449751249215064,-3.8558822692614836,-6.000790279395408,0.7024674711254295,-6.1365823826798565,-3.501854498702633,-3.7691001897247296,-1.6826458474585115,-0.5074367527794658,716.693
15,-4.312092354549901,-1.7781612052174793,-3.846535025807664,-5.560509151007122,0.6638005144662638,-5.014967606035111,-3.875187973558146,-4.066162302864856,0.20046549393269097,-0.6979107160289455,760.23
16,-4.471870625146851,-1.7626182733321378,-3.846535025807664,-5.763595126676507,0.4213230487583069,-3.6920240453828983,-3.9107566391576687,-2.570789737421102,2.612675388582334,-3.2387632025569904,751.389
17,-4.728848691502281,-1.5715208497684903,-3.858377767051915,-6.3390465575105015,0.40771880170013686,-4.063357578399559,-3.9107566391576687,-2.534631569202428,2.612675388582334,-0.762674049793253,743.513
18,-4.713845636291256,-1.5773039728359561,-3.8576317718276036,-6.9251723300242105,0.3285333577420988,-3.2229435939836812,-3.902553343577206,-2.534631569202428,0.31039929594064797,-0.20116732550345118,742.779
19,-4.312092354549901,-1.5897240328753766,-3.846535025807664,-7.846803013790412,-0.8425082459189436,-5.0865790474627435,-3.9107566391576687,-2.61498500159163,-5.089105180148099,-3.1416611825067173,753.542
20,-4.312092354549901,-1.7781612052174793,-3.8593154057915022,-7.846803013790412,0.3285333577420988,-3.9895490743964763,-3.9107566391576687,-2.534631569202428,-0.22363891496442082,-3.1300697582583203,771.935
21,-4.391176068295544,-1.7781612052174793,-3.846876651491087,-5.034122127301591,0.34787177252815554,-5.032294959808575,-3.9060185412050386,-2.534631569202428,-0.22363891496442082,-2.9902067756126374,765.277
22,-4.396901169421124,-1.7781612052174793,-3.8467071664491175,-6.027053831105085,7.068139654393932,-5.108756845070705,-3.888880201608014,-1.9913674466771982,-0.22363891496442082,-2.9982758815718262,734.795
23,-4.316231086113193,-1.7781612052174793,-3.850078082342441,-6.718989717479323,0.35687938175072254,-2.7304870523861364,-3.757722785977697,-2.511811542756822,0.1964647364979104,-1.3273348952388948,739.122
24,-4.314902189745054,-1.7781612052174793,-3.849337724736113,-7.846803013790412,0.3285333577420988,-2.826177425863367,-3.9107566391576687,-4.238875753613632,1.2829903398277651,-1.4688734413677413,772.881
25,-4.314902189745054,-1.767156050498813,-3.852821831701054,-7.846803013790412,0.3299090626098583,-4.155148436077453,-3.9107566391576687,-2.5893073384321665,1.2829903398277651,-1.4688734413677413,772.966
26,-4.3148511680235515,-1.7734031882295398,-3.852821831701054,-7.846803013790412,0.32979360266509655,-4.14189404427141,-3.9107566391576687,-2.5893073384321665,1.3230671012640318,-2.522297251379397,772.305
27,-4.313491480643556,-1.770728396033015,-3.860284164697388,-7.846354038949896,0.3299090626098583,-2.725081075087259,-3.9107566391576687,-4.267603431531522,1.2829903398277651,-2.2862877866018145,772.259
28,-4.3129224334221,-1.7685913989038633,-3.859587133603578,-7.845210047352703,0.3290337111070408,-3.815590248431786,-3.909666051632733,-4.2088240955088,-0.08103057119559537,-1.9673351887731383,777.567
29,-4.313246683560058,-1.768922374249469,-3.8518117573065918,-7.846335655361661,0.32852045268919533,-3.8051459888774435,-3.9099603666725353,-4.158360847324708,1.3430759371309695,-1.9673351887731383,777.436
30,-4.3129224334221,-1.7690937891458813,-3.85069521673946,-7.846041936900123,0.3291474247984352,-3.815590248431786,-3.9107464459067636,-2.93080044692178,0.3223994719000365,-1.9673351887731383,771.01
31,-4.3143582430288525,-1.7679335186556064,-3.859587133603578,-7.846087195074878,0.32986057942737124,-3.6652175508783045,-3.9098078439575565,-3.00756566838691,-0.08103057119559537,-1.974059213723727,770.273
32,-4.313332596939197,-1.7795180126370584,-3.859328560150026,-7.846219809397944,0.3285599371504201,-3.815590248431786,-3.909846722509758,-4.2088240955088,-0.08103057119559537,-1.5203564029079646,778.013
