iteration,trust_score_0,trust_score_1,trust_score_2,trust_score_3,trust_score_4,trust_score_5,trust_score_6,trust_score_7,trust_score_8,trust_score_9,mean_trust_score,std_trust_score,plateau_duration_0,plateau_duration_1,plateau_duration_2,plateau_duration_3,plateau_duration_4,plateau_duration_5,plateau_duration_6,plateau_duration_7,plateau_duration_8,plateau_duration_9,mean_plateau_duration,std_plateau_duration,uncertainty_0,uncertainty_1,uncertainty_2,uncertainty_3,uncertainty_4,uncertainty_5,uncertainty_6,uncertainty_7,uncertainty_8,uncertainty_9,mean_uncertainty,std_uncertainty
1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,0.0,,,,,,,,,,,,
2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,0.0,,,,,,,,,,,,
3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,0.0,,,,,,,,,,,,
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,0.0,,,,,,,,,,,,
5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,0.0,,,,,,,,,,,,
6,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,272.4873719828209,226.8269317182944,221.3516586710848,301.88896774663124,201.86856542211456,253.64907642481612,148.16446374900144,172.332515777737,174.7906033140766,236.3860289979982,220.9746183804575,45.50340262432891
7,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,256.51820585686824,203.921866082951,199.45601744686613,227.17323204116116,150.9752500668828,294.0525955099202,136.63791868549924,156.47395405394366,157.38129590049925,221.09618177042864,200.36865174150202,48.339424612980686
8,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,241.0914164619628,186.531203322482,247.8023868335867,207.4265564634453,142.74558645004387,203.8307978319132,126.76321523509282,144.21493030691474,193.49505609385955,202.1149709253678,189.60161199246687,38.657471607323984
9,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,226.71212982910805,241.60661360156885,165.82018823612395,191.1517449266385,134.7341637260046,188.05692104034895,119.69624048099476,133.38577271461946,128.53171920809908,288.4290466826557,181.81245404461617,53.47818068381811
10,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,213.50696699366284,156.5679517239715,155.09566632399913,176.65844147269706,127.22314524190644,173.46351149558424,113.23180773018052,124.16681508251568,121.47138700370374,169.79586564695842,153.11815587151796,30.01668727488339
11,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,201.49473582278267,146.29186331915176,145.6694291393239,164.8592135503309,120.12937155699846,161.09275241259294,107.1006397425456,116.1553876485103,118.00353997228444,159.55752049782393,144.03544536623448,27.686612639295365
12,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,7.0,0.0,190.5565857416013,136.77554655266107,135.86375956900716,153.42319281418855,113.3239522084733,150.02606566040922,125.58694913813488,108.87726662010434,111.06924449307876,148.81428845415817,137.43168512518167,23.666153090203462
13,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,FAILED,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,FAILED,7.0,7.0,0.0,,,,,,,,,,,132.85569810435945,24.855618788971675
14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9000000000000001,1.1102230246251565e-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,0.0,,120.07384439581966,,,,,,,98.19811738774762,139.01903653852452,128.27971108353722,26.358283850384893
15,0.9,,0.9,0.9,0.9,0.9,0.9,0.9,,,0.8961544142409943,0.007691907038242364,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,,,7.054545454545455,0.10909090909090899,,125.6785399456144,,,,,,,93.10472865553577,129.74416120006595,124.79577126951776,27.57180345195915
