iteration,uncertainty
5,302.57418246252956
6,236.3860289979982
7,221.09618177042864
8,202.1149709253678
9,288.4290466826557
10,169.79586564695842
11,159.55752049782393
12,148.81428845415815
14,139.01903653852452
15,129.74416120006595
16,120.78011650347733
17,135.6290777168498
18,133.68615788044977
19,131.10813741796798
20,126.62908387463868
21,125.57936694789998
22,133.59169623139874
23,128.58714751786965
24,122.7948621829817
26,123.6758211087333
27,118.17953357839079
28,117.31691385463859
29,119.51618739716692
30,114.8810949819754
31,113.0783491705921
32,112.75195510154026
33,109.42185673587755
34,106.78342299317413
35,107.83272655592067
36,104.40884993611897
37,102.88271189119288
39,101.1660937719543
40,98.46936451660457
41,96.12202359173996
42,95.01498620363294
43,96.90344663315108
44,94.9108025423992
45,93.0757361222357
46,91.0248970772754
47,89.27704119581135
48,89.66242663111322
49,88.02881002960694
50,86.64866549083702
51,85.42221473883892
52,88.03887923055045
53,90.23493276923412
54,89.34417149685419
55,87.92564401677973
56,89.91387994949034
57,88.67710006455364
58,87.71667690855553
59,86.93223519119071
60,85.63555475227697
61,85.62875696649763
62,84.76363443793035
63,83.67778106424987
64,82.972113754783
65,81.93054752056756
66,81.08925773201736
67,80.13946303086168
68,79.22329076972346
69,78.1845784564942
70,78.07613702145257
71,77.25709753856668
72,76.62025264846174
73,75.69170266120403
74,74.9800848647207
75,74.14695572827866
76,73.4395380215458
77,72.81895552124666
78,72.32519188224234
79,71.60585542840128
80,70.85870917616533
81,70.2758155922164
82,71.16552857767222
83,70.58582066079347
84,70.03651904625043
85,69.39216721018276
86,68.7124816116645
87,68.14167532716758
88,68.61089556314299
89,68.02078691194382
90,67.66092036990479
91,67.60670791036954
92,68.10785359154562
93,68.7003901200603
94,68.29805973133473
95,68.07040456524244
96,67.55998015561562
97,67.72107971558216
98,67.14875135272275
99,66.65223184620689
100,66.47384436938007
101,66.60202305410948
102,66.56242926465936
103,67.61249946580156
104,67.86796545455309
105,67.57095489486287
