iteration,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,target,hypothesis
1,6522.0895682314895,13.359042302008909,29.13772492881871,3.444250994771779,1.4779919019441625,5.153984251559143,80.02240938524513,0.7144097987230857,8.17,Initial Warm Start for Sugar Beet Biomass Optimization
2,6614.458739294093,9.198798678729252,26.922157238861836,2.5553131881537565,1.1002406459699579,8.192480121969577,70.02801170354482,0.7912110410315131,8.88,Optimized Growth Conditions for Sugar Beet
3,6189.880547164814,15.023139751320773,24.223952004801458,4.399826117418988,1.9301929507445026,6.1385859033949695,90.02016845792525,0.7729687760558904,8.3,Optimal Environment Settings for Sugar Beet Optimization
4,6632.932573506614,11.694944852697049,31.05149785283596,3.9886758721245696,1.325790853143823,7.169382599723316,75.024650312565,0.8515277173631285,8.15,Ideal Conditions for Sugar Beet Growth
5,610.4663149916573,16.79512753440688,10.688646200862546,7.2512438676395545,4.889947559983013,10.769917408208673,50.11204636599379,0.07205113335976154,0.5,Global
6,7602.033286238995,2.169699798651093,32.58463118637777,3.6151088297477867,0.472031804684954,8.101871600839079,83.7159295751872,0.9966508694632026,3.93,Ideal Conditions for Sugar Beet Growth
7,6638.549713247528,13.341153516618583,30.000365245119998,3.56712946359216,0.7935278630672871,5.381501667771767,68.54195994097341,0.8521897475395759,8.14,Ideal Conditions for Sugar Beet Growth
8,6565.183489813289,-30.0,-20.0,10.0,5.0,20.0,0.0,0.0,0.41,Global
9,6285.6187770572315,20.597655614480058,32.457923477950935,3.0117111157488488,1.186214630716812,3.811549700504008,97.70777772338367,0.8706105304234344,6.49,Global
10,6581.7570567811035,30.0,-20.0,0.06,0.0,0.0,100.0,1.0,0.41,Global
11,6599.0507133119345,30.0,50.0,10.0,0.0,20.0,44.3583834372679,1.0,1.17,Global
12,6626.029988172149,-17.54072702973889,18.411853942844193,0.06,0.3792779062902055,0.0,64.98823834374302,0.45235796138968765,0.41,Global
13,7075.0820004295765,5.545249889438404,36.563690640548025,2.0988604275764295,0.21526490177621094,8.294898546829195,64.43670049450937,0.783786942273692,8.33,Optimized Growth Conditions for Sugar Beet
14,6614.526157280474,9.355726952706647,33.42040156620154,3.00158652471828,0.6720750205244989,7.348850018022568,63.829553313823425,0.8258235687040448,8.02,Optimized Growth Conditions for Sugar Beet
15,6621.337500179226,30.0,21.85419732898472,0.06,5.0,0.0,71.95131628141961,1.0,7.4,Global
16,6627.592336601457,21.39239016980077,13.606759606589035,10.0,0.0,20.0,66.39886275825522,1.0,9.21,Global
17,6657.211247226844,30.0,14.816722186039522,10.0,0.0,20.0,77.82901165545398,0.0,8.6,Global
