iteration,target,tilt,azimuth,system_capacity,dc_ac_ratio,generation_method
1,2.15,30.00000089406967,180.0,10.000000208616257,1.2000000476837158,Prior
2,1.36,62.06993222236633,100.1633620262146,15.64999371767044,1.3367277085781095,Sobol
3,1.04,8.932276284322143,280.66698867827654,6.634097744710743,1.115059645846486,Sobol
4,0.4,33.12861171551049,49.44448102265597,13.5370664158836,1.4590265844017267,Sobol
5,1.43,87.14113902300596,229.95975483208892,3.8485694443807006,1.2452011774294078,Sobol
6,2.13,29.977696014950407,187.319418390644,9.376187873062433,1.1572674915940102,BoTorch
7,2.1,36.05330312195597,149.68617430623593,9.853917855868051,1.1946270392957117,BoTorch
8,0.0,77.05799736505442,360.0,13.89730331929521,1.4574963429951142,BoTorch
9,0.0,69.06500913890821,0.0,20.0,1.4930867166080826,BoTorch
10,2.05,29.730093799797103,172.78261902890594,8.368839296915876,1.2360838398195306,BoTorch
11,2.39,54.1470227233612,201.85327800001497,10.685848803431572,1.2433964498886725,BoTorch
12,2.53,47.342775141081255,176.15864252345247,11.846991242971988,1.226201651505022,BoTorch
13,2.47,40.780404019625216,184.49608206311197,12.697611147367402,1.2484257316069438,BoTorch
14,2.44,45.222165231911205,201.80258176689668,12.564745012167617,1.203367678060015,BoTorch
15,2.66,57.24648855941664,177.9289881197409,12.322031318646124,1.2008904229205646,BoTorch
16,2.65,59.61446808667669,178.50062108342237,11.985394370435706,1.2083072371076236,BoTorch
17,2.67,55.58607370167853,180.80834271976332,12.711516549583488,1.2036186786300356,BoTorch
18,2.71,60.49297803780891,176.81315102278288,12.983980374657104,1.2051490867664534,BoTorch
19,2.91,59.86545048880739,166.63427307500055,16.97364210441716,1.1862686986427873,BoTorch
20,3.22,67.0100454185338,179.2827397579293,19.378320476526824,1.0898427909920962,BoTorch
21,3.25,67.4181252560836,186.6698974367456,19.451749656015323,1.0546764845330328,BoTorch
22,3.08,88.06724325881233,174.9068079953616,18.46868394377912,1.0,BoTorch
23,3.03,84.45720922884199,190.3423400007721,20.0,1.13691522573123,BoTorch
24,3.37,70.83300384732357,183.8976206158177,20.0,1.0,BoTorch
25,3.16,71.12703298671603,194.5906559827133,18.660252219171078,1.0180549192642088,BoTorch
26,3.38,68.41675492367517,180.49444868740315,20.0,1.0,BoTorch
27,3.18,44.48008227206032,184.105264910253,20.0,1.0107374635738375,BoTorch
28,3.38,63.580816191738286,177.30442395220874,20.0,1.0,BoTorch
29,3.33,61.68411413967873,168.50485994660377,20.0,1.0,BoTorch
30,3.37,65.35105535872718,185.7890114004827,20.0,1.0,BoTorch
31,3.38,66.7305544154144,175.38943372089878,20.0,1.0,BoTorch
32,2.61,53.812113624096455,154.8893420780626,14.304331493843875,1.158477841680632,BoTorch
33,3.0,69.1821195691294,164.58311335993255,19.585331702081177,1.2312544979384246,BoTorch
34,3.06,73.70768099024139,161.26079255520824,18.27685364371799,1.033387985305483,BoTorch
35,3.12,63.793202077401446,157.64916378414404,19.26799478045692,1.01614190962114,BoTorch
36,3.38,64.14420724299805,180.19327407380263,20.0,1.0,BoTorch
37,3.35,61.5380171109138,178.74113254593885,20.0,1.0186384501508845,BoTorch
38,3.38,64.77298242444076,179.60243476777404,20.0,1.0,BoTorch
39,3.38,65.11116725222705,179.533779153866,20.0,1.0,BoTorch
40,3.38,65.74204945283864,179.40613444750107,20.0,1.0,BoTorch
41,3.33,67.51634029265612,177.8101752301678,20.0,1.034125907627767,BoTorch
42,3.38,65.6519903576294,179.42272248331082,20.0,1.0,BoTorch
43,3.38,65.13569166478256,179.25450783367052,20.0,1.0,BoTorch
44,3.35,74.5184807989349,182.31217772643345,20.0,1.0,BoTorch
45,3.38,67.15699900153187,179.97434109735946,20.0,1.0,BoTorch
46,3.38,65.93390600321064,179.51766891798516,20.0,1.0,BoTorch
47,3.37,72.12821849679314,180.79559335383897,20.0,1.0,BoTorch
48,3.38,66.12712921955685,179.6042647629897,20.0,1.0,BoTorch
49,3.05,57.604140003265066,152.23837842154592,19.518053569743564,1.0055818704167685,BoTorch
50,3.38,65.96054948936589,179.51977189550928,20.0,1.0,BoTorch
51,3.38,66.17069365482419,179.53180583715385,20.0,1.0,BoTorch
52,3.38,66.02793233359711,179.45889421191998,20.0,1.0,BoTorch
53,3.38,66.06595948581041,179.46337376959468,20.0,1.0,BoTorch
54,3.36,73.02101744456007,178.72562398937563,20.0,1.0052744191382874,BoTorch
55,3.27,70.40793794563656,166.62477888595353,20.0,1.0234848678817403,BoTorch
56,3.32,71.89674562572887,186.56206142916116,19.58533715901806,1.0029991328248498,BoTorch
57,3.35,63.27626262559693,173.4594587456307,19.982571040312425,1.0116991624459055,BoTorch
58,3.38,67.55700140472761,177.16500124633953,20.0,1.0,BoTorch
59,3.38,66.17828411949034,179.50973317123533,20.0,1.0,BoTorch
60,3.38,66.1326449990139,179.61496218914596,20.0,1.0,BoTorch
61,3.38,66.44639026463003,179.53251704409,20.0,1.0,BoTorch
62,3.38,66.23550809703895,179.52158564716035,20.0,1.0,BoTorch
63,3.38,66.19323485056933,179.49351731847034,20.0,1.0,BoTorch
64,3.38,67.75684653012627,178.1641938056646,20.0,1.0,BoTorch
65,3.37,70.68992094629508,180.53995392682867,20.0,1.0,BoTorch
66,3.38,65.49951033717574,178.0073834473353,20.0,1.0,BoTorch
67,3.38,66.79507172815123,179.89487630282758,20.0,1.0,BoTorch
68,3.37,70.42751619115285,176.2477689653793,20.0,1.0,BoTorch
69,3.38,68.38017425929145,177.00827378621574,20.0,1.0,BoTorch
70,3.38,64.45964466200346,178.4479878799674,20.0,1.0,BoTorch
71,3.38,65.23675181594271,179.51371831669402,20.0,1.0,BoTorch
72,3.38,66.18726178418365,179.51828936667175,20.0,1.0,BoTorch
73,3.38,66.92614051834533,178.67193407833702,20.0,1.0,BoTorch
74,3.38,66.44566037905209,179.15536753876816,20.0,1.0,BoTorch
75,3.38,66.69470345960372,180.00872775388473,20.0,1.0,BoTorch
76,3.38,68.67503395589878,179.40911859084258,20.0,1.0,BoTorch
77,3.34,56.1888531082904,180.20537598075524,20.0,1.0,BoTorch
78,3.38,65.93842246879937,179.37574583964502,20.0,1.0,BoTorch
79,3.38,66.22954694287318,178.9689936757939,20.0,1.0,BoTorch
80,3.38,66.77134063267903,179.8098002691313,20.0,1.0,BoTorch
