iteration,target,tilt,azimuth,system_capacity,dc_ac_ratio,generation_method
1,2.46,30.00000089406967,180.0,20.0,1.5,Prior
2,1.98,24.09529209136963,130.23163318634033,14.534543752670288,1.0155066084116695,Sobol
3,0.25,48.16613006405533,305.7310829311609,1.065074721351266,1.4331162557937205,Sobol
4,0.37,72.83067382872105,62.55303427577019,17.676620619371533,1.1723752981051805,Sobol
5,1.12,0.9249705076217652,238.4045735746622,7.386957371607423,1.2547646085731683,Sobol
6,2.11,18.98891137529376,177.6740521119121,19.2829862506702,1.49410014280651,BoTorch
7,2.38,28.826323244043294,174.29501456308938,18.39891423904668,1.4528702515097278,BoTorch
8,2.69,41.60025171487404,175.71477076559168,19.462185290030494,1.4641472994516684,BoTorch
9,2.4,33.24864181109355,207.4812811700909,20.0,1.455410510472832,BoTorch
10,1.03,12.19338188739394,37.75615263235069,20.0,1.0,BoTorch
11,2.24,35.85303642443027,140.18062989320993,19.419800848654194,1.5,BoTorch
12,2.57,38.59461316674965,156.17320006619696,20.0,1.4205090269388896,BoTorch
13,2.62,37.312790557636994,175.96982841697113,20.0,1.5,BoTorch
14,2.68,40.81318599337679,172.67724376843233,19.568092792190797,1.4532537321466723,BoTorch
15,2.7,41.376845458846674,179.3915768540769,20.0,1.4857208348034885,BoTorch
16,2.71,45.075722773448064,182.95096981663,19.072410343612358,1.5,BoTorch
17,2.74,45.77202536862552,182.7355649778024,19.125400580803596,1.470303159725617,BoTorch
18,2.76,45.34525499015411,179.47940931207663,19.4247614758954,1.4528185049650375,BoTorch
19,2.74,45.87579935704618,195.60051408082717,19.66221575536968,1.4060460663072698,BoTorch
20,2.86,48.85751813446628,184.37238285623863,20.0,1.4053689545394277,BoTorch
21,2.91,50.65567732421555,182.59806635566775,20.0,1.3658668839618855,BoTorch
22,3.0,63.91973116254989,184.63043255679705,20.0,1.3568583986121885,BoTorch
23,3.34,67.67714885045068,180.9281005133016,20.0,1.0266450912182536,BoTorch
24,3.17,84.26402728913433,193.17152061741731,20.0,1.0,BoTorch
25,3.17,75.17913527974136,161.21217316699148,19.565358618080158,1.001783091113591,BoTorch
26,2.77,71.06948808147877,199.8503206458637,14.332038613522448,1.0456708456894082,BoTorch
27,3.24,65.93742192431493,169.40725645817875,18.995084194395243,1.0213455631032655,BoTorch
