iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,mean_cum_regret,std_cum_regret
1,0.0,0.01,0.09,0.01,0.12,0.0,0.0,0.0,0.01,0.01,0.025,0.04301162633521313,100.0,99.99,99.91,99.99,99.88,100.0,100.0,100.0,99.99,99.99,99.975,0.04301162633521403,99.975,0.04301162633521403
2,0.0,0.41,0.09,0.01,0.12,0.23,0.0,0.0,0.22,0.01,0.10900000000000001,0.13876038499674337,100.0,99.59,99.91,99.99,99.88,99.77,100.0,100.0,99.78,99.99,99.89099999999999,0.138760384996742,199.86599999999999,0.18177201133195603
3,0.0,0.41,0.09,0.01,0.12,0.23,0.02,0.0,0.22,0.01,0.11100000000000002,0.13714955340794951,100.0,99.59,99.91,99.99,99.88,99.77,99.98,100.0,99.78,99.99,99.889,0.1371495534079484,299.755,0.3189215647399044
4,0.0,0.41,0.09,0.01,0.12,0.23,0.02,0.01,0.22,0.01,0.11200000000000002,0.13628401716024272,100.0,99.59,99.91,99.99,99.88,99.77,99.98,99.99,99.78,99.99,99.888,0.13628401716024116,399.64300000000003,0.4552055819001456
5,0.0,0.41,0.09,0.01,0.12,0.23,0.02,0.01,0.22,0.01,0.11200000000000002,0.13628401716024272,100.0,99.59,99.91,99.99,99.88,99.77,99.98,99.99,99.78,99.99,99.888,0.13628401716024116,499.53100000000006,0.5914895990603868
6,0.01,0.41,0.09,0.02,0.12,0.23,0.02,0.01,0.22,0.02,0.11500000000000002,0.1337701179054741,99.99,99.59,99.91,99.98,99.88,99.77,99.98,99.99,99.78,99.98,99.885,0.13377011790547355,599.416,0.7252597169658603
7,0.01,0.41,0.09,0.02,0.12,0.23,0.02,0.01,0.22,0.02,0.11500000000000002,0.1337701179054741,99.99,99.59,99.91,99.98,99.88,99.77,99.98,99.99,99.78,99.98,99.885,0.13377011790547355,699.301,0.8590298348713339
8,0.01,0.41,0.09,0.02,0.12,0.23,0.02,0.01,0.22,0.02,0.11500000000000002,0.1337701179054741,99.99,99.59,99.91,99.98,99.88,99.77,99.98,99.99,99.78,99.98,99.885,0.13377011790547355,799.186,0.9927999527768074
9,0.01,4.68,0.09,0.08,0.12,0.23,0.02,0.01,0.22,0.02,0.5479999999999998,1.4541343358392531,99.99,95.32,99.91,99.92,99.88,99.77,99.98,99.99,99.78,99.98,99.45200000000001,1.4541343358392553,898.638,2.4469342886160628
10,0.01,4.68,0.09,0.08,0.12,0.23,0.02,0.01,0.22,0.02,0.5479999999999998,1.4541343358392531,99.99,95.32,99.91,99.92,99.88,99.77,99.98,99.99,99.78,99.98,99.45200000000001,1.4541343358392553,998.09,3.901068624455318
11,0.01,4.68,0.09,0.08,0.12,0.28,0.02,0.01,0.22,0.08,0.5589999999999999,1.4506814490668398,99.99,95.32,99.91,99.92,99.88,99.72,99.98,99.99,99.78,99.92,99.441,1.4506814490668416,1097.531,5.35175007352216
12,0.01,4.68,0.09,0.08,0.12,0.28,0.02,0.01,0.22,0.94,0.6449999999999999,1.44460875133873,99.99,95.32,99.91,99.92,99.88,99.72,99.98,99.99,99.78,99.06,99.35499999999999,1.4446087513387313,1196.886,6.796358824860891
13,0.01,4.68,1.98,0.08,0.12,0.28,0.05,0.01,0.22,0.94,0.837,1.485149075944155,99.99,95.32,98.02,99.92,99.88,99.72,99.95,99.99,99.78,99.06,99.16300000000001,1.4851490759441566,1296.049,8.281507900805048
14,0.01,4.68,1.98,0.08,0.12,0.28,0.05,0.01,0.22,0.94,0.837,1.485149075944155,99.99,95.32,98.02,99.92,99.88,99.72,99.95,99.99,99.78,99.06,99.16300000000001,1.4851490759441566,1395.212,9.766656976749204
15,0.01,4.68,1.98,0.08,0.12,0.28,0.05,0.01,0.22,17.76,2.519,5.557148449419801,99.99,95.32,98.02,99.92,99.88,99.72,99.95,99.99,99.78,82.24,97.48100000000001,5.557148449419802,1492.693,15.323805426169006
16,0.01,4.68,1.98,0.17,0.12,0.51,0.05,0.01,0.22,17.76,2.551,5.542952382179656,99.99,95.32,98.02,99.83,99.88,99.49,99.95,99.99,99.78,82.24,97.449,5.542952382179656,1590.142,20.866757808348662
