iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,cum_regret_0,cum_regret_1,cum_regret_2,cum_regret_3,cum_regret_4,cum_regret_5,cum_regret_6,cum_regret_7,cum_regret_8,cum_regret_9,mean_cum_regret,std_cum_regret
1,0.41,0.41,0.41,7.71,4.82,0.41,0.41,5.65,0.41,0.41,2.105,2.8179080104850045,10.0,10.0,10.0,2.7,5.59,10.0,10.0,4.76,10.0,10.0,8.305000000000001,2.8179080104850045,10.0,10.0,10.0,2.7,5.59,10.0,10.0,4.76,10.0,10.0,8.305000000000001,2.8179080104850045
2,2.72,0.41,0.41,7.71,4.82,0.41,1.0,5.65,4.17,0.87,2.8170000000000006,2.630855585377333,7.6899999999999995,10.0,10.0,2.7,5.59,10.0,9.41,4.76,6.24,9.540000000000001,7.593000000000001,2.6308555853773337,17.689999999999998,20.0,20.0,5.4,11.18,20.0,19.41,9.52,16.240000000000002,19.54,15.898000000000003,5.448763595862339
3,2.72,0.41,0.41,7.71,4.82,1.6,1.0,5.65,4.17,0.87,2.9360000000000004,2.535052925154292,7.6899999999999995,10.0,10.0,2.7,5.59,8.81,9.41,4.76,6.24,9.540000000000001,7.474000000000001,2.5350529251542926,25.379999999999995,30.0,30.0,8.100000000000001,16.77,28.810000000000002,28.82,14.28,22.480000000000004,29.08,23.372000000000003,7.983816521016632
4,2.72,0.41,0.41,7.71,4.82,1.6,1.0,5.65,4.17,0.87,2.9360000000000004,2.535052925154292,7.6899999999999995,10.0,10.0,2.7,5.59,8.81,9.41,4.76,6.24,9.540000000000001,7.474000000000001,2.5350529251542926,33.06999999999999,40.0,40.0,10.8,22.36,37.620000000000005,38.230000000000004,19.04,28.720000000000006,38.62,30.846000000000004,10.518869446170925
5,5.96,0.65,3.19,7.71,4.82,1.6,5.17,5.65,4.17,0.87,3.979,2.353000212494678,4.45,9.76,7.220000000000001,2.7,5.59,8.81,5.24,4.76,6.24,9.540000000000001,6.431,2.353000212494678,37.519999999999996,49.76,47.22,13.5,27.95,46.43000000000001,43.470000000000006,23.799999999999997,34.96000000000001,48.16,37.277,12.871869658665602
6,5.96,1.38,3.19,7.71,6.13,1.6,5.17,5.65,4.34,0.92,4.205,2.3260899476255092,4.45,9.030000000000001,7.220000000000001,2.7,4.28,8.81,5.24,4.76,6.07,9.49,6.205,2.3260899476255092,41.97,58.79,54.44,16.2,32.23,55.24000000000001,48.71000000000001,28.559999999999995,41.03000000000001,57.65,43.482,15.19795960629111
7,5.96,1.38,3.19,7.71,6.13,1.6,6.88,5.65,4.34,0.92,4.376,2.463697311855587,4.45,9.030000000000001,7.220000000000001,2.7,4.28,8.81,3.5300000000000002,4.76,6.07,9.49,6.034000000000001,2.4636973118555874,46.42,67.82,61.66,18.9,36.51,64.05000000000001,52.24000000000001,33.31999999999999,47.10000000000001,67.14,49.516,17.661656918146697
8,5.96,5.22,3.19,7.71,6.13,1.6,6.88,5.65,4.34,0.92,4.76,2.2333333333333334,4.45,5.19,7.220000000000001,2.7,4.28,8.81,3.5300000000000002,4.76,6.07,9.49,5.65,2.2333333333333334,50.870000000000005,73.00999999999999,68.88,21.599999999999998,40.79,72.86000000000001,55.77000000000001,38.07999999999999,53.17000000000001,76.63,55.166,19.89499025148003
9,5.96,5.22,3.19,7.71,6.24,1.6,6.88,5.65,4.34,2.14,4.893000000000001,2.031567812744083,4.45,5.19,7.220000000000001,2.7,4.17,8.81,3.5300000000000002,4.76,6.07,8.27,5.517,2.031567812744083,55.32000000000001,78.19999999999999,76.1,24.299999999999997,44.96,81.67000000000002,59.30000000000001,42.83999999999999,59.24000000000001,84.89999999999999,60.683,21.926558064224114
10,5.96,5.22,3.19,7.71,6.24,1.6,7.48,5.65,4.34,2.66,5.005,2.0322852490074648,4.45,5.19,7.220000000000001,2.7,4.17,8.81,2.9299999999999997,4.76,6.07,7.75,5.404999999999999,2.032285249007465,59.77000000000001,83.38999999999999,83.32,26.999999999999996,49.13,90.48000000000002,62.23000000000001,47.59999999999999,65.31,92.64999999999999,66.088,23.95884331323158
