iteration,target,pitch_deg,yaw_deg,v0,spin_rpm,spin_axis_deg,h0,mass,generation_method
1,1.65,45.0,0.0,30.000001192092896,1000.0000298023224,0.0,1.0,1.0000000051630509,Prior
2,0.0,-6.063224673271179,-118.4644067287445,37.46784627437592,552.9413223266602,18.18808078765869,1.5312775373458862,3.633047143674493,Sobol
3,0.0,38.1208898127079,165.4605968669057,4.076902335509658,1987.8292763605716,-126.88279364258052,0.356708463281393,6.700163287418638,Sobol
4,0.0,72.07664228975773,-30.371199175715446,42.40255570039153,1285.2779868990183,-7.884568981826305,0.7936129439622164,1.6371007385562075,Sobol
5,0.0,27.89206702262163,73.19124720990658,22.28057025931776,2755.49547560513,117.14757286012173,1.0956233087927103,8.676445054680299,Sobol
6,0.01,53.354070823460376,39.918048014239815,34.56082972814094,639.1079207565825,33.335580118105185,1.2296288693467317,0.8863412590533943,BoTorch
7,0.62,51.986324045689656,-27.706759494733348,24.157901898061876,1045.6624385618686,58.19112980727604,0.9769459770571643,0.1843198221726177,BoTorch
8,0.0,37.92139220767932,-54.8065255583068,37.52707996101032,608.0545783475187,-56.727955525101805,1.0724204536784565,0.2305510676271584,BoTorch
9,36.24,67.95029216542052,15.139668861255814,27.49842428499361,1036.022255886351,14.45674030375156,1.0579491423707552,2.4730297558358108,BoTorch
10,0.03,55.96968960454055,39.65265625411283,35.20112197965089,1089.4870034223018,65.17051823229943,0.6000950119924499,0.9948345914329156,BoTorch
11,0.38,73.15841614871904,35.42408460467743,24.123782417487355,643.7622628571143,1.034582718845229,1.105933582654829,1.6948551056825836,BoTorch
12,0.0,69.3339325426836,-44.1358990558042,34.289764511004776,712.3893026081017,-58.068176645555695,0.870483752078715,1.8169973377806357,BoTorch
13,0.08,50.46540918673918,-38.76471429610544,21.637162976146865,973.8824824018368,-44.54733632341407,1.022252203992354,2.242457127226243,BoTorch
14,0.0,36.764198253522565,62.74949631320433,30.229038495116,1210.2090610802848,8.667074734941167,0.983707144875872,0.405396403184418,BoTorch
15,0.01,13.593971737219135,47.364620192134,33.136143085788646,1001.6229693525628,8.059536976268475,0.9076132667389376,1.3516852895238056,BoTorch
16,0.34,64.81619646781692,22.09368513311577,26.028511242809856,927.4888474572504,13.184886959191658,1.3519762644035629,0.0099999997764825,BoTorch
17,0.0,-23.447287545522897,149.08153425553087,34.994141117805164,2652.469241737985,-180.0,0.01694869704373,9.578679870935508,BoTorch
18,0.0,29.22463968175319,-57.47880357843167,33.46588414489445,756.2944138969141,29.14130105091209,0.9987401461191384,1.4092792338890228,BoTorch
19,3.21,72.26152391366935,3.7032057271095766,31.807911521329306,1241.542006867543,14.300090149719324,1.2311201983722493,2.3151972532260503,BoTorch
20,24.86,49.42046093115584,-1.0564134031707797,23.852208868431905,1368.31352743067,51.35814543224322,1.1362979365237524,2.2128682074912094,BoTorch
21,0.33,43.96931899185292,33.018594324171744,25.300850607515184,841.0794184658035,18.473868347671555,1.0951662114214076,2.655866794569349,BoTorch
22,2.97,45.03272445906698,4.288770670442062,28.983352846476052,1092.2838430005295,24.692243359112524,1.5482837017633857,2.763648643375726,BoTorch
23,0.0,14.20602726407168,130.91741029348907,35.771284219943624,3000.0,-12.957491598472616,0.7672824539463977,5.578135026161716,BoTorch
24,52.47,55.61181104153843,17.647470636446428,26.17084216463538,1623.7645623656606,-25.99171876408957,0.9510577848681429,2.0073638628232864,BoTorch
25,27.41,54.16504153733594,6.276613657583624,25.173451367647917,1676.197537040941,-33.96891436591426,0.9720866397832474,2.196524764632896,BoTorch
26,11.1,57.84358497314429,3.987252960210725,26.47456339575878,1570.8201483468888,-30.49343510399993,1.021925803817918,1.994908149989736,BoTorch
27,0.09,54.58231392240833,46.87815897313388,26.20785404635465,1415.825329424781,-10.004714619538843,0.7444838423091494,2.775435083520473,BoTorch
28,3.89,69.13776616842671,1.8910794928836765,24.37156886582813,1627.5930343061343,39.5510251052466,1.1325919664212567,1.621107919894733,BoTorch
29,3.78,42.86365202194243,-4.623362194059325,19.313983303715467,1303.3219509022356,-12.57513449892923,0.8655038392513237,1.5339707210536733,BoTorch
30,0.21,44.40818272397979,24.638077905915253,24.000706824389717,1696.0781862037331,-103.41382229651254,1.036271051104965,2.011963460704296,BoTorch
31,0.03,33.47511431479163,-27.62072148217544,28.447111582439728,938.8156211125552,-68.8310222196685,1.3450352122802505,0.8030503993947142,BoTorch
32,0.0,33.371181988265675,85.83997347000081,31.146966040059603,782.203311291436,1.3952118495947443,0.9275503161434528,2.898609815467615,BoTorch
33,0.06,42.71077542963802,-39.090509758908894,29.919588996495623,1482.8341304107885,34.62202720705,1.3444585304841996,1.819664991598368,BoTorch
34,17.62,65.15036154100866,16.488552965667225,28.853698181262367,1132.7193118540602,51.643976236859146,0.8644522060045468,3.571942482980057,BoTorch
35,61.63,59.03174120850856,15.33084949553202,26.959819491438413,1562.7571568380906,-10.62360224871736,0.94654698087567,2.2626548163147047,BoTorch
36,0.14,46.86804513551371,15.546835334075524,30.8672380004668,1496.3149138109163,-27.518216193081145,0.7691069578507015,2.155197983642931,BoTorch
37,15.9,63.638338775542366,21.20316227920321,24.55700968713245,1852.1125256793216,7.83958883303589,0.9499714678815432,3.0294601210487984,BoTorch
38,9.52,62.13621856941049,15.397213433875493,23.59570620381814,1430.0085231670907,-10.142796839379542,0.9629699952367624,1.8598884318655304,BoTorch
39,15.33,61.94554112347235,8.232910833963018,28.48073656687713,1492.9426656453666,3.442393689133894,0.9768360624859777,2.657980393147928,BoTorch
40,2.26,60.19927915612352,37.58901303539656,28.90454743441809,1698.6791976746035,28.307677339648848,0.9579167260244212,2.260774660284165,BoTorch
41,24.91,56.1237752321493,10.932321801268955,26.36868726531101,1904.3539696145317,-20.15766192893878,1.1689856142645538,2.147459624169252,BoTorch
42,10.2,51.82086095251384,18.91244317256951,26.82820916402853,1506.8474728565438,-47.826073835545344,0.897191502263056,1.4935855865863812,BoTorch
43,81.81,60.29330387286719,16.088044353793265,26.688374492653207,1529.912893475051,-7.903030748420065,0.9393547523300144,2.292805244900236,BoTorch
44,1.04,70.45937326435624,15.55377163239416,27.23154451908252,1924.1796881395144,-14.93547593693117,0.8484191375777952,2.4123086389822075,BoTorch
45,58.61,56.21576132830005,11.761376314223924,25.682740245540213,1455.0145181256212,-0.4304286397632779,1.1266328060470727,2.806876871934761,BoTorch
46,27.41,56.42543534600048,10.920348388897397,26.859437184056038,1477.3430271096215,-0.9581080420197168,0.9531012279327952,2.810948636482254,BoTorch
47,27.93,60.38489621539448,20.4535691957978,26.875838206598655,1470.318511703309,28.629887176879663,1.2235073033206938,2.2723099321278752,BoTorch
48,80.53,59.06985611693375,15.963769984901262,26.44874781498725,1494.4308955753029,-8.2521735161842,0.9656760566950756,2.4117289929874954,BoTorch
49,0.0,46.304343433554905,79.36318610990617,43.92336603568315,2491.769622787156,-26.41235477270527,0.6867513639907898,7.335504886429144,BoTorch
50,0.18,75.02278276197441,20.902516005285463,28.570021998973537,1506.3831511292371,-23.026566502356616,0.8204611110486999,1.6831229759693984,BoTorch
51,38.67,60.6578062236011,17.648023544540507,26.88867925079414,1587.2487063813137,-33.38042934640279,0.8123042573738868,2.264390892515332,BoTorch
52,25.44,56.26218271674537,19.23123411738024,25.884938325579427,1407.3805325847886,-4.784217328867101,0.8583559978441719,2.483157854068463,BoTorch
53,33.63,62.16191652357176,13.430607989003477,27.630718588758373,1462.5838180669098,-25.02886536217332,1.0969784066471842,2.102896342312419,BoTorch
54,60.74,58.56229196671225,13.878440087098484,26.46198026247031,1590.4453638111952,18.204403480068837,0.9793166358316274,2.763090235837629,BoTorch
55,0.01,78.93762157776183,-41.84953743156842,10.787148483815384,892.1691702681853,8.926434018434406,1.0389397834344856,2.3788385951380104,BoTorch
56,75.52,52.68632423167102,18.11646192647277,25.553168539711425,2042.2627431439012,-14.353888763904363,0.9685353673582224,1.3344134140063215,BoTorch
57,83.76,58.93908167858368,16.116078903569985,26.368508240746912,1624.7406115000883,-2.885475363332205,0.9915845242149568,2.180378497429207,BoTorch
58,82.32,58.76003989924976,16.24276261092473,26.29658318992766,1667.0576723358638,-1.3950057294841829,0.9963798344224792,2.083208921012376,BoTorch
59,75.6,59.14968586023471,16.32598415270246,26.26754920345416,1669.0114682520764,-3.165237506211099,0.9981357084591416,2.0581297295521983,BoTorch
60,84.01,59.036439141882056,16.379211663636198,26.28726551216885,1654.6016550454697,-2.624094595480983,0.999587860276084,2.1419719066882608,BoTorch
61,81.65,59.21928290983685,16.447994093446425,26.26889500804449,1655.13537103187,-2.904325432146578,1.0013633827922823,2.1364651086547752,BoTorch
62,70.87,59.533084552847086,16.313295652475773,26.2640461245522,1624.1789488784182,-4.931628112754993,0.9979977833705156,2.015235820038276,BoTorch
63,79.7,59.022769193652096,16.320103322802794,26.275149062193403,1662.6108145464182,-3.166993107535092,0.9997396733749666,2.0957058347481645,BoTorch
64,87.54,58.88132579325227,16.365953438381013,26.27389271853578,1660.0305309047574,-1.7140774749790069,1.0025674443779722,2.268083946126427,BoTorch
65,85.78,58.90232938562971,16.419290486976138,26.306332679069072,1669.5523734848707,-1.4919643052605522,0.999303514757578,2.1984292932970044,BoTorch
66,83.08,58.81287678202433,16.42553008946149,26.26850141597781,1686.0770558246988,-0.7170422047315981,1.004950724132413,2.086780746320849,BoTorch
67,85.74,58.665122345995215,16.317160695988946,26.256750131357386,1685.4678042995383,-0.862422735881978,1.0052823764631775,2.254727834839976,BoTorch
68,0.0,22.31705719504484,122.05738060158694,32.1158773521419,2670.756012332453,-87.99858924476874,0.3874591522175021,5.098231226026792,BoTorch
69,73.06,58.17403248173996,15.95319669459073,26.21763230563249,1633.1274173417246,1.7475525317568952,1.0145207539294692,2.448587893178345,BoTorch
70,82.24,58.99883649281665,16.621721681978386,26.302915837252822,1697.4504037479194,-1.5248200743732525,1.0005002645144316,2.129802744426053,BoTorch
