iteration,target,irrad,tmin,tmax,vap,wind,rain,wav,SMLIM,generation_method
1,9.19,7500.0,10.000001192092896,30.000001192092896,2.0000001690919014,1.0000000149011612,5.0,50.0,0.800000011920929,Prior
2,0.41,4264.929294586182,-16.07761859893799,37.46247589588165,0.2775369559149392,4.865289330482483,1.692698895931244,57.93693065643311,0.6321343183517456,Sobol
3,0.54,1988.983929157257,3.0999903939664364,4.264183156192303,8.564871664170264,0.1853693649172783,10.843816380947828,38.33459848538041,0.2899623028934002,Sobol
4,0.41,2077.153779566288,-1.9114390388131144,17.071713348850608,4.603669759573637,1.526973508298397,19.366068337112665,82.83092668280005,0.172065308317542,Sobol
5,0.41,7676.700450479984,15.355921257287264,-16.435391819104552,6.722452015639455,3.716556243598461,8.165623135864735,13.475695252418518,0.7808388816192746,Sobol
6,5.19,7002.151590223414,2.7800817388332604,14.302065484789196,1.3728315802958964,1.662542251826339,6.444447269943932,37.0377794749049,0.8739288721450014,BoTorch
7,7.74,8000.0,4.79898206343622,40.30487995263481,1.321506649786946,1.9786129427518573,7.783443013298834,65.95405700040033,0.7449386246908233,BoTorch
8,8.65,6386.757442556479,6.141746183984544,28.421467654859875,2.478597657676496,1.193752934282978,3.429431603497717,31.57074939713342,0.6944809733034027,BoTorch
9,8.05,7548.803205161359,15.10852822559037,33.10552909421612,2.054777161073498,0.4519195003478511,6.390879764075312,63.561294066373264,0.7950060888953417,BoTorch
10,9.61,7608.204714181588,11.94904916225147,26.40245728523737,1.80625305231626,1.3883579144747895,1.7516857885490045,59.84212370334458,0.6226424363468915,BoTorch
11,9.11,7322.67820053688,9.09491430853418,30.13619667686978,2.094606445405109,1.545915239382167,9.802114499093404,62.562855623919546,0.7277485104339902,BoTorch
12,10.02,8000.0,9.74242297150385,26.53540358003184,2.197532944503043,1.9817527801191783,2.829298896101145,61.58891860041783,0.7493309569789824,BoTorch
13,5.99,7030.150940675963,19.6444489488494,35.943243101924324,0.6058355869213854,0.4516242056336538,1.9177821369108092,55.53831737963478,0.9599683779253848,BoTorch
14,7.48,5836.632767286789,8.974407326900312,30.96745024329436,1.3335759895299482,0.6190913449394174,8.194835751328881,42.107913967580274,0.7217247463024629,BoTorch
15,9.27,7410.726455375698,8.069473190918501,30.00941092310751,2.634012536260132,1.3677429608446237,3.807426073892982,52.64127367182149,0.5653527177873522,BoTorch
16,3.42,7042.435352708309,11.84457920612111,45.9263444577736,3.6537427736309978,1.1897369393216704,2.7841992380788554,33.295047980846405,0.7669710003869733,BoTorch
17,9.84,7454.608503756711,8.755475403206773,25.298909433621084,2.5694417867450245,0.5631881685239287,4.883279247716669,47.28267384582305,0.8402552305779288,BoTorch
18,9.54,7340.300704106168,10.863562591273563,26.018427654285915,1.818713051128038,1.565170241709385,4.743396912733658,51.50676526934285,0.7287520520799531,BoTorch
19,10.17,8000.0,15.16326615347758,22.63002631538317,2.7381158541095068,0.9460282398341656,3.205035704857164,51.790131506196765,0.6071448962649963,BoTorch
20,10.22,8000.0,6.441637505694857,26.29098966533144,1.9109204002194864,1.0335722286341391,2.629364631617345,71.95300495093213,0.6094590588270102,BoTorch
21,8.65,8000.0,2.826125669158841,25.71074947932783,0.71630242996298,0.9384470303651216,5.403577221799372,55.04512351326583,0.7041860041485338,BoTorch
22,10.39,7969.014387699731,11.889803653363536,19.54123452534157,2.802621708614483,1.9908231261020184,2.518873729716357,40.469122859822185,0.5767283795741792,BoTorch
23,10.4,8000.0,10.548439977503364,22.66594132479501,2.7034934041038863,1.4495072321038192,2.1135540786858336,57.46587752777374,0.6217271083380878,BoTorch
24,10.4,8000.0,10.058651310879128,23.11722277225848,2.857284369868818,1.0369987324310608,2.174664866154993,55.44407431923678,0.6377233412693016,BoTorch
25,9.71,8000.0,9.97469884058716,28.705435598326385,2.7726122702769818,2.0919612186105203,3.9039907383054073,14.674529951784567,0.5887135232945864,BoTorch
26,9.93,7849.93540681821,9.70081894684362,26.429058100375947,3.151263031749167,0.9032230407010702,4.087893257345103,57.01562758137839,0.4259978186427909,BoTorch
27,10.4,8000.0,9.51334450755359,23.021547786899568,2.9973538680848555,1.0598726558291691,2.9862712449657387,41.166446774825246,0.6024100828245457,BoTorch
28,10.38,8000.0,10.220815389235431,23.34465611985789,2.705841166175341,1.335564700652414,3.566874991759607,47.314791342251176,0.583497411819163,BoTorch
29,10.37,8000.0,10.227301828269816,23.48722394516382,2.855600474413866,1.187351623367795,2.5062348876605656,46.05598381693998,0.609389213213767,BoTorch
30,10.41,8000.0,10.037885535177828,22.26669417472764,2.8248370679279806,0.9746959268986564,4.272977147092814,51.44425194008036,0.5824280407025637,BoTorch
31,10.39,8000.0,10.549523158501865,23.131391851550788,2.809189778906898,1.2499139153740433,3.246097853937329,52.6193289334039,0.5983482385305198,BoTorch
32,10.39,8000.0,10.77868049045204,22.787668221456293,2.8411248723798908,1.4705658208286017,2.976568369120949,51.35339514629236,0.572378229423483,BoTorch
33,10.06,7550.94705318769,10.451744465857615,23.303037366466132,3.5605740435953623,1.6875591790701647,2.581059249697905,38.42862991883904,0.748900155602049,BoTorch
34,10.4,8000.0,10.605843355502325,22.421633492418263,2.8899760828364798,1.174271828869465,1.7754915222139211,50.52153132374775,0.5869800563883811,BoTorch
35,10.39,8000.0,11.62727842901225,21.883555742315984,2.897059574712181,1.4281757372481798,2.198566542111555,41.66170364313211,0.6253961355222399,BoTorch
36,10.39,8000.0,11.582993033511904,21.87713669291265,2.991342185545732,1.4878713185434165,3.3623038779700454,47.89414238924134,0.6019972298952379,BoTorch
37,10.4,8000.0,11.877306720995378,21.242890481398263,3.052425613556576,1.5886948489999566,3.146689787775866,47.43562103984451,0.5529113485891033,BoTorch
38,10.4,8000.0,11.345454717387357,21.84433925073325,2.996106311548681,1.2368760298780883,2.515022854955109,50.57810221141511,0.5801144535578119,BoTorch
39,9.07,8000.0,28.847325242447027,19.49382512652815,9.644911151086644,1.1041062533529544,0.3981506819114582,95.06647401537091,0.0455820527041342,BoTorch
40,10.4,8000.0,12.270225152698757,20.902540088652827,4.194698278254465,1.3847991042430816,1.4159972919591484,40.78322712903517,0.6171763368850558,BoTorch
41,0.41,7979.966654203232,-30.0,50.0,9.927304499438458,0.0,0.0,98.74713822650745,1.0,BoTorch
42,10.41,8000.0,14.237845292638532,17.084332757824775,5.658039757087634,1.8594075924030888,1.3630572621051007,61.2562646173919,0.4500435838578138,BoTorch
43,10.34,8000.0,17.352334545269656,18.530558628922407,7.057761714241172,1.7271681053256918,3.141855440965478,28.17368359712591,0.4632854740387794,BoTorch
44,10.27,8000.0,20.473255980681444,17.382282269614763,3.240742896424644,1.877566929463537,0.5185404783906746,43.1516825074344,0.250624462373452,BoTorch
45,10.41,8000.0,14.586642040700449,16.322808777239487,3.102887548966819,2.9708210689177577,0.8855915950688851,52.44120653422547,0.564923991512318,BoTorch
46,10.39,8000.0,15.883228206211832,17.638588004976143,3.745737229946809,1.8624473362516465,0.6336158555428101,50.39620219801256,0.5050164089945439,BoTorch
47,10.11,8000.0,23.20403424006025,17.918610048737293,2.35374632440335,0.5791784250120767,9.305985950576202,98.50969853996226,0.7353327628085737,BoTorch
