iteration,trust_score_0,trust_score_1,trust_score_2,trust_score_3,trust_score_4,trust_score_5,trust_score_6,trust_score_7,trust_score_8,trust_score_9,mean_trust_score,std_trust_score,plateau_duration_0,plateau_duration_1,plateau_duration_2,plateau_duration_3,plateau_duration_4,plateau_duration_5,plateau_duration_6,plateau_duration_7,plateau_duration_8,plateau_duration_9,mean_plateau_duration,std_plateau_duration,uncertainty_0,uncertainty_1,uncertainty_2,uncertainty_3,uncertainty_4,uncertainty_5,uncertainty_6,uncertainty_7,uncertainty_8,uncertainty_9,mean_uncertainty,std_uncertainty
1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,,,,
2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,,,,
3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,,,,
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,,,,
5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,,,,
6,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,15.302990828476313,34.084193306184225,16.597314458135145,27.013932670630048,10.84238967612255,2.447062263603013,27.75428796141534,12.48461720144701,15.20038641687185,8.627410613207699,17.03545853960932,9.242642188636424
7,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,14.622000058620085,32.641700948576904,15.82557578666861,26.1867134449888,10.32837126856043,22.19110228015191,25.697807418580457,7.304121587740233,14.583455400849674,8.307048642138625,17.768789683687576,8.079043685119547
8,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,14.070228098719648,31.34462152327732,15.11711530021518,25.18218007765996,9.860703575303331,21.096132939474955,24.514812072245217,11.459512151483588,13.989114015458592,7.987423610745836,17.462184336458364,7.265797576379183
9,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,13.588954755904696,30.133359308412277,14.478925681447809,24.31100479521504,9.430724020750237,20.13662335149565,23.459090843634087,10.902830417424235,13.438390923666564,7.685900189853826,16.756580428780442,6.991420622234826
10,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,12.89422929065557,29.02069511572733,13.905331926998368,23.49433806260564,9.05533566467859,19.288687461825905,22.515077081791773,13.896906257417728,12.934889601384317,7.407228969054485,16.44127194321397,6.534014978704385
11,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,12.55584920896567,28.00348033269796,13.388927459374653,22.73305966325018,8.71770204386568,18.534426578533296,21.667604072115523,13.615788356242303,12.47624367341176,7.151541589576197,15.884462297803324,6.2923562755013265
12,0.9,,0.9,0.9,0.9,,0.9,,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,,6.0,6.0,6.0,,6.0,,6.0,6.0,6.0,0.0,,27.07321770064775,,,,17.858956669787098,,13.247805878865028,,,15.672873193984103,5.821638099857952
13,0.9,0.9,0.9,0.9,0.9,,0.9,,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,,6.0,,6.0,6.0,6.0,0.0,,,,,,17.250138632493265,,12.75077424264826,,,15.499300360032697,5.467595812130886
14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,0.0,,,,,,,,12.442623583177832,,,15.38198827937143,5.143296375290676
15,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,0.0,,,,,,,,12.149499369530156,,,15.266178843292437,4.847818483570718
