iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,cum_regret_0,cum_regret_1,cum_regret_2,cum_regret_3,cum_regret_4,cum_regret_5,cum_regret_6,cum_regret_7,cum_regret_8,cum_regret_9,mean_cum_regret,std_cum_regret
1,42.19,65.29,44.36,1.98,0.04,4.05,0.18,8.49,0.18,14.97,18.173000000000002,23.628092531278664,57.81,34.709999999999994,55.64,98.02,99.96,95.95,99.82,91.51,99.82,85.03,81.827,23.628092531278664,57.81,34.709999999999994,55.64,98.02,99.96,95.95,99.82,91.51,99.82,85.03,81.827,23.628092531278664
2,42.19,65.29,44.36,3.01,29.08,4.87,0.56,35.32,0.56,14.97,24.021,22.586031302555128,57.81,34.709999999999994,55.64,96.99,70.92,95.13,99.44,64.68,99.44,85.03,75.979,22.586031302555124,115.62,69.41999999999999,111.28,195.01,170.88,191.07999999999998,199.26,156.19,199.26,170.06,157.80599999999998,46.21412383383379
3,42.19,65.29,44.36,35.16,29.08,4.87,76.08,35.32,32.75,21.79,38.689,20.360165056087123,57.81,34.709999999999994,55.64,64.84,70.92,95.13,23.92,64.68,67.25,78.21000000000001,61.311000000000014,20.36016505608712,173.43,104.12999999999998,166.92000000000002,259.85,241.8,286.21,223.18,220.87,266.51,248.27,219.117,66.57428888992091
4,42.19,65.29,44.36,76.2,29.08,5.55,76.08,35.32,32.75,21.79,42.861000000000004,23.34728366308262,57.81,34.709999999999994,55.64,23.799999999999997,70.92,94.45,23.92,64.68,67.25,78.21000000000001,57.138999999999996,23.34728366308262,231.24,138.83999999999997,222.56,283.65000000000003,312.72,380.65999999999997,247.10000000000002,285.55,333.76,326.48,276.256,89.92157255300353
5,42.19,65.29,44.36,76.2,29.08,5.55,76.08,35.32,32.75,21.79,42.861000000000004,23.34728366308262,57.81,34.709999999999994,55.64,23.799999999999997,70.92,94.45,23.92,64.68,67.25,78.21000000000001,57.138999999999996,23.34728366308262,289.05,173.54999999999995,278.2,307.45000000000005,383.64000000000004,475.10999999999996,271.02000000000004,350.23,401.01,404.69000000000005,333.395,113.26885621608615
6,42.19,80.0,44.36,76.2,29.08,5.55,76.08,35.32,32.75,21.79,44.332,25.299248473686593,57.81,20.0,55.64,23.799999999999997,70.92,94.45,23.92,64.68,67.25,78.21000000000001,55.668000000000006,25.299248473686596,346.86,193.54999999999995,333.84,331.25000000000006,454.56000000000006,569.56,294.94000000000005,414.91,468.26,482.9000000000001,389.063,138.56810468977275
7,42.19,80.0,44.36,76.2,29.08,65.5,76.08,35.32,32.75,21.79,50.327,21.972478265118642,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,64.68,67.25,78.21000000000001,49.673,21.972478265118646,404.67,213.54999999999995,389.47999999999996,355.05000000000007,525.48,604.06,318.86000000000007,479.59000000000003,535.51,561.1100000000001,438.736,160.5405829548914
8,42.19,80.0,44.36,76.2,29.08,65.5,76.08,35.32,32.75,21.79,50.327,21.972478265118642,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,64.68,67.25,78.21000000000001,49.673,21.972478265118646,462.48,233.54999999999995,445.11999999999995,378.8500000000001,596.4,638.56,342.7800000000001,544.27,602.76,639.3200000000002,488.409,182.51306122001003
9,42.19,80.0,44.36,76.2,29.08,65.5,76.08,35.32,32.75,21.79,50.327,21.972478265118642,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,64.68,67.25,78.21000000000001,49.673,21.972478265118646,520.29,253.54999999999995,500.75999999999993,402.6500000000001,667.3199999999999,673.06,366.7000000000001,608.95,670.01,717.5300000000002,538.082,204.48553948512867
10,42.19,80.0,44.36,76.2,29.08,65.5,76.08,37.95,32.75,21.79,50.589999999999996,21.787857474596564,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,62.05,67.25,78.21000000000001,49.410000000000004,21.787857474596564,578.0999999999999,273.54999999999995,556.4,426.4500000000001,738.2399999999999,707.56,390.6200000000001,671.0,737.26,795.7400000000002,587.492,226.27339695972523
11,42.19,80.0,44.36,76.2,29.08,65.5,76.08,37.95,32.75,21.79,50.589999999999996,21.787857474596564,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,62.05,67.25,78.21000000000001,49.410000000000004,21.787857474596564,635.9099999999999,293.54999999999995,612.04,450.2500000000001,809.1599999999999,742.06,414.54000000000013,733.05,804.51,873.9500000000003,636.9019999999999,248.0612544343218
12,42.19,80.0,44.36,76.2,29.08,65.5,76.08,37.95,32.75,36.45,52.056,20.059369215738897,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,62.05,67.25,63.55,47.944,20.059369215738897,693.7199999999998,313.54999999999995,667.68,474.0500000000001,880.0799999999998,776.56,438.46000000000015,795.0999999999999,871.76,937.5000000000002,684.8459999999999,268.1206236500607
13,42.19,80.0,44.36,76.2,29.08,65.5,76.08,37.95,32.75,36.45,52.056,20.059369215738897,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,62.05,67.25,63.55,47.944,20.059369215738897,751.5299999999997,333.54999999999995,723.3199999999999,497.85000000000014,950.9999999999998,811.06,462.38000000000017,857.1499999999999,939.01,1001.0500000000002,732.7899999999998,288.1799928657996
14,42.19,80.0,44.36,76.2,29.08,65.5,76.08,37.95,32.75,36.45,52.056,20.059369215738897,57.81,20.0,55.64,23.799999999999997,70.92,34.5,23.92,62.05,67.25,63.55,47.944,20.059369215738897,809.3399999999997,353.54999999999995,778.9599999999999,521.6500000000001,1021.9199999999997,845.56,486.3000000000002,919.1999999999998,1006.26,1064.6000000000001,780.7339999999998,308.2393620815385
15,42.19,80.0,47.73,76.2,45.92,65.5,76.08,37.95,32.75,36.45,54.077,18.40833147728978,57.81,20.0,52.27,23.799999999999997,54.08,34.5,23.92,62.05,67.25,63.55,45.923,18.40833147728978,867.1499999999996,373.54999999999995,831.2299999999999,545.45,1075.9999999999998,880.06,510.2200000000002,981.2499999999998,1073.51,1128.15,826.6569999999998,326.6476935588283
16,42.19,80.0,47.73,76.2,45.92,65.5,76.08,37.95,32.75,36.45,54.077,18.40833147728978,57.81,20.0,52.27,23.799999999999997,54.08,34.5,23.92,62.05,67.25,63.55,45.923,18.40833147728978,924.9599999999996,393.54999999999995,883.4999999999999,569.25,1130.0799999999997,914.56,534.1400000000002,1043.2999999999997,1140.76,1191.7,872.5799999999998,345.05602503611806
17,42.19,80.0,90.53,76.2,45.92,65.5,76.08,37.95,32.75,36.45,58.357000000000006,21.48682492960641,57.81,20.0,9.469999999999999,23.799999999999997,54.08,34.5,23.92,62.05,67.25,63.55,41.643,21.48682492960641,982.7699999999995,413.54999999999995,892.9699999999999,593.05,1184.1599999999996,949.06,558.0600000000002,1105.3499999999997,1208.01,1255.25,914.2229999999998,366.5428499657245
18,42.19,80.0,90.53,76.2,45.92,65.5,76.08,57.63,32.75,36.45,60.32500000000001,20.27725997816821,57.81,20.0,9.469999999999999,23.799999999999997,54.08,34.5,23.92,42.37,67.25,63.55,39.675,20.27725997816821,1040.5799999999995,433.54999999999995,902.4399999999999,616.8499999999999,1238.2399999999996,983.56,581.9800000000001,1147.7199999999996,1275.26,1318.8,953.8979999999998,386.8201099438927
19,42.19,80.0,90.53,76.2,45.92,65.5,76.08,57.63,32.75,36.45,60.32500000000001,20.27725997816821,57.81,20.0,9.469999999999999,23.799999999999997,54.08,34.5,23.92,42.37,67.25,63.55,39.675,20.27725997816821,1098.3899999999994,453.54999999999995,911.91,640.6499999999999,1292.3199999999995,1018.06,605.9000000000001,1190.0899999999995,1342.51,1382.35,993.5729999999998,407.0973699220609
