iteration,uncertainty
5,11.377542792712317
6,10.84238967612255
7,10.32837126856043
8,9.860703575303333
9,9.430724020750237
10,9.05533566467859
11,8.71770204386568
16,12.847361658891638
17,12.631350457768072
18,12.418376334699161
19,12.215693620794484
20,12.018252327189671
21,11.826385493232813
26,12.910672613546085
27,12.787444822664304
28,12.664970683787908
29,13.380694994113664
30,13.217515802903362
31,13.002710099327725
32,12.898792300425656
33,12.763004070787076
34,12.660440502594025
39,15.719838194122588
40,15.639766524628788
41,15.55434312873329
42,15.467416641778417
43,15.382554651988373
44,15.29683437963229
45,15.865094118954053
46,15.775447182343534
51,16.890871114148403
52,16.729783721843454
53,16.66316258987434
54,16.604177988986386
55,16.49051458738317
56,16.413169562061196
57,16.356123863914558
58,16.297754541997737
59,16.159091361648883
64,18.991149899233978
65,18.875323835971457
66,18.822698762045697
67,18.763882948010806
68,18.65449261984895
69,18.59689893362915
70,18.535622354874903
71,18.476965466316475
76,19.579385041960684
77,19.5069750651677
78,19.460800794892634
79,19.41370762957667
80,19.414837717604836
81,19.369493903897567
82,19.313463775121285
83,19.197343301385658
84,19.126175785103197
85,19.081345887500934
90,19.824651134389878
91,19.742495157789854
92,19.705964691123118
93,19.668728645386462
94,19.565204233608174
95,19.528576765058688
96,19.491189380969537
97,19.453428243889938
98,19.355043483436877
99,19.317582280509274
100,19.266719507990135
101,19.19219593844028
102,19.155628345352024
103,19.11874242615914
104,19.08046652559796
105,19.041900203286332
