iteration,trust_score_0,trust_score_1,trust_score_2,trust_score_3,trust_score_4,trust_score_5,trust_score_6,trust_score_7,trust_score_8,trust_score_9,mean_trust_score,std_trust_score,plateau_duration_0,plateau_duration_1,plateau_duration_2,plateau_duration_3,plateau_duration_4,plateau_duration_5,plateau_duration_6,plateau_duration_7,plateau_duration_8,plateau_duration_9,mean_plateau_duration,std_plateau_duration,uncertainty_0,uncertainty_1,uncertainty_2,uncertainty_3,uncertainty_4,uncertainty_5,uncertainty_6,uncertainty_7,uncertainty_8,uncertainty_9,mean_uncertainty,std_uncertainty
1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6,6,6.0,6,6,6.0,6.0,6,6.0,6,6.0,0.0,,,,,,,,,,,,
2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6,6,6.0,6,6,6.0,6.0,6,6.0,6,6.0,0.0,,,,,,,,,,,,
3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6,6,6.0,6,6,6.0,6.0,6,6.0,6,6.0,0.0,,,,,,,,,,,,
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6,6,6.0,6,6,6.0,6.0,6,6.0,6,6.0,0.0,,,,,,,,,,,,
5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,6,6,6.0,6,6,6.0,6.0,6,6.0,6,6.0,0.0,,,,,,,,,,,,
6,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.5136919505425124,2.4319608001226776,2.7967072524839853,3.1394249296469714,2.155463342815697,2.906817656628789,3.4611222065784126,2.202004137648751,2.517681914424898,3.087563314690441,2.721243750558313,0.40675977033897837
7,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.2360416425305862,2.2600695311680763,2.8832223040149496,2.821501603399416,1.996324173094549,2.8411940576928894,3.1866263769719985,1.330311302503413,2.3162937096464224,3.782356462334462,2.565394116335676,0.6498165592647476
8,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.525727308618252,2.3066883052332834,3.1370447876943035,2.728638526494709,3.0149832604379307,3.011353256843176,3.910132470582039,2.6491460888369294,2.608907518004423,4.06743911294318,2.9960060635688226,0.5515475559351735
9,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.400166660880032,2.807818449338284,3.420138976311336,2.991167438665206,2.9888723667449173,3.073561090620743,3.6942628192614815,2.5142937546383552,2.79650972940676,4.182023551781401,3.086881483764852,0.5157401554017109
10,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.453752877924181,2.6807954043529696,3.2163014998748904,2.9110334934521096,2.829819679322749,3.0822233858044745,3.612131004254887,2.6288278756810906,2.7158757335342125,3.973772011577917,3.010453296577948,0.45067059196135634
11,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,6.0,0.0,2.675285736441732,2.8460465262668624,3.4267356471765744,3.0772178053377384,2.708035765457569,3.0624777955005453,3.956944667451092,2.8436631014785734,2.6234190044152825,4.017176344787963,3.1237002394313933,0.4868245380964222
12,,,,FAILED,0.9,0.9,0.9,FAILED,0.9,FAILED,0.9000000000000001,1.1102230246251565e-16,,,,FAILED,6,6.0,6.0,FAILED,6.0,FAILED,6.0,0.0,3.083501263034328,3.125362058176914,3.4075034528184864,,,,,,,,3.189146716052787,0.4560193269436009
13,,FAILED,,,0.9,0.9,0.9,,0.9,,0.9000000000000001,1.1102230246251565e-16,,FAILED,,,6,6.0,6.0,,6.0,,6.0,0.0,3.08356398732138,,3.566658702527643,2.917242760800648,,,,2.980948183213844,,3.99690294304161,3.2064348950821975,0.47479748627378315
14,,,,,0.9,0.9,0.9,,0.9,,0.9000000000000001,1.1102230246251565e-16,,,,,6,6.0,6.0,,6.0,,6.0,0.0,3.135612185125929,3.180357886633944,3.680309907678089,3.0206580506809333,,,,3.064628768675892,,4.001752485997063,3.2457139270646733,0.4866853784371036
15,,,,,0.9,0.9,0.9,,0.9,,0.9000000000000001,1.1102230246251565e-16,,,,,6,6.0,6.0,,6.0,,6.0,0.0,3.181222984165133,3.193659300317579,3.749455935926752,3.235514728069639,,,,3.1126276145190683,,3.907902762352205,3.2761850895548728,0.48538544421158264
16,,,,,0.9,0.9,0.9,,0.9,,0.9000000000000001,1.1102230246251565e-16,,,,,6,6.0,6.0,,6.0,,6.0,0.0,3.3486538476625487,3.125904560328982,3.839468499594053,3.3642885577785973,2.5705301954145394,3.486593312649465,3.9669335902400737,3.1368405058872533,2.365058056237732,4.015552139416819,3.321982326521007,0.5241659536631897
17,,,,,,,,,,,0.9005000000000001,0.007783529619223741,,,,,,,,,,,5.98,0.1301281419729543,3.429919686445892,3.151128595475598,3.766516775556749,3.4413654600248904,3.062450368517391,3.617632843729069,3.928590174763164,3.144375576089939,2.370052837789732,3.996258630892487,3.390829094928491,0.46047882642681476
18,FAILED,,0.9,,,,,,,,0.9010000000000001,0.015567059238447482,FAILED,,6.0,,,,,,,,5.959999999999999,0.2602562839459083,,3.3709818423360383,,3.4840102567495124,3.3871216901470063,3.6698756729092943,3.8739752129585554,3.3055374415936924,2.3038852274879797,4.023818628867943,3.4655167983510964,0.4474197392232906
19,,,0.9,,,,,,,0.9,0.9015000000000001,0.023350588857671255,,,6.0,,,,,,,6,5.9399999999999995,0.39038442591886274,3.507225183416294,3.528141149480643,,3.4457582294733133,3.356155622542686,3.653149771873686,3.815349157898382,3.374205887903288,2.290927489573734,,3.4772586561721845,0.44456484235265975
20,,FAILED,0.9,,,,,,,0.9,0.9020000000000001,0.031134118476894998,,FAILED,6.0,,,,,,,6,5.92,0.5205125678918171,3.53430937383812,,,3.477581199627121,3.593328211784544,3.715189460088947,3.6775238666733103,3.460766208515103,2.248418110583528,,3.5007696775499553,0.4498470012654626
