iteration,uncertainty
5,1.7001811668172309
6,3.0875633146904415
7,3.782356462334462
8,4.0674391129431795
9,4.182023551781401
10,3.973772011577917
11,4.017176344787963
13,3.99690294304161
14,4.001752485997063
15,3.9079027623522054
16,4.015552139416819
17,3.996258630892487
18,4.023818628867943
23,4.071783954812582
24,3.989788504000575
25,4.035967589740113
26,4.063011508852224
27,4.042200836651368
28,4.032220659125385
29,3.999679605736673
30,3.982075998399163
31,3.9801392383131025
32,4.035732782074161
37,3.9750764584989184
38,3.958937066318369
39,3.9422359244763094
40,3.9252950165530014
41,3.9100245750679714
42,3.8931051994749692
43,3.8755324825018818
44,3.8360571333081563
45,3.825250682866826
46,3.806650208694972
47,3.78179842653401
53,3.6498674090338303
54,3.6360385457941264
55,3.607584019333868
56,3.5753891905385884
57,3.5580307433759355
58,3.5287865965055425
59,3.5124222555398767
60,3.500963394932046
61,3.4812707674983487
62,3.453196042878041
68,3.3475135652152965
69,3.336617249358743
70,3.3254225767301344
71,3.3944291271406195
72,3.3709765069976054
73,3.3522665063573376
74,3.340524168142973
75,3.4038877122105196
76,3.4786693264086557
82,3.3882286391488785
83,3.3678329876787334
84,3.355588433154545
85,3.40985982310276
86,3.394052959152855
87,3.3804257530169832
88,3.3656148743534797
89,3.3466916365074924
95,3.2698375169197034
96,3.298419024733064
97,3.367593904549291
98,3.35994223208365
99,3.3499005453429294
100,3.339569230958761
101,3.3295825773167467
102,3.3225158443082377
103,3.3870458248627866
105,3.36819689727188
