iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,mean_cum_regret,std_cum_regret
1,0.41,8.82,0.41,0.41,4.62,0.96,0.41,0.41,0.41,7.86,2.4720000000000004,3.3621877798044935,10.0,1.5899999999999999,10.0,10.0,5.79,9.45,10.0,10.0,10.0,2.55,7.938,3.3621877798044935,7.938,3.3621877798044935
2,1.2,8.82,0.41,0.41,4.62,1.49,0.41,0.41,0.41,7.86,2.604,3.293239539824983,9.21,1.5899999999999999,10.0,10.0,5.79,8.92,10.0,10.0,10.0,2.55,7.806,3.293239539824983,15.744,6.655427319629476
3,1.2,8.82,0.41,0.41,4.62,1.49,0.41,0.53,0.41,7.86,2.616,3.284563897993157,9.21,1.5899999999999999,10.0,10.0,5.79,8.92,10.0,9.88,10.0,2.55,7.794,3.284563897993157,23.538,9.939991217622634
4,1.2,8.82,0.41,0.41,4.62,1.49,0.41,0.53,0.41,7.86,2.616,3.284563897993157,9.21,1.5899999999999999,10.0,10.0,5.79,8.92,10.0,9.88,10.0,2.55,7.794,3.284563897993157,31.332,13.224555115615791
5,1.2,8.82,4.31,0.41,4.62,1.49,0.41,0.53,0.41,7.86,3.006,3.224514433730036,9.21,1.5899999999999999,6.1000000000000005,10.0,5.79,8.92,10.0,9.88,10.0,2.55,7.404000000000001,3.224514433730036,38.736000000000004,16.44906954934583
6,1.53,8.82,4.31,0.41,4.62,1.49,0.41,0.8,0.41,7.86,3.066,3.18318917649161,8.88,1.5899999999999999,6.1000000000000005,10.0,5.79,8.92,10.0,9.61,10.0,2.55,7.343999999999999,3.18318917649161,46.080000000000005,19.63225872583744
7,1.53,8.82,4.31,0.41,7.69,2.7,0.41,0.8,0.41,7.86,3.4940000000000007,3.43153739435969,8.88,1.5899999999999999,6.1000000000000005,10.0,2.7199999999999998,7.71,10.0,9.61,10.0,2.55,6.9159999999999995,3.43153739435969,52.996,23.06379612019713
8,2.24,8.82,10.14,0.41,7.69,3.33,0.41,0.8,0.41,7.86,4.210999999999999,3.964471241189955,8.17,1.5899999999999999,0.2699999999999996,10.0,2.7199999999999998,7.08,10.0,9.61,10.0,2.55,6.199,3.9644712411899548,59.195,27.028267361387083
9,2.24,8.82,10.14,0.41,7.69,3.33,0.41,0.8,0.41,7.86,4.210999999999999,3.964471241189955,8.17,1.5899999999999999,0.2699999999999996,10.0,2.7199999999999998,7.08,10.0,9.61,10.0,2.55,6.199,3.9644712411899548,65.394,30.992738602577038
10,2.24,8.82,10.14,0.81,7.69,3.33,0.41,0.8,0.41,7.86,4.2509999999999994,3.9236673604620913,8.17,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,7.08,10.0,9.61,10.0,2.55,6.159,3.9236673604620913,71.55300000000001,34.91640596303913
11,2.94,8.82,10.14,0.81,7.69,4.84,0.41,0.8,0.41,7.86,4.471999999999999,3.876443960355648,7.470000000000001,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,5.57,10.0,9.61,10.0,2.55,5.938,3.876443960355648,77.49100000000001,38.79284992339478
12,2.94,8.82,10.14,0.81,7.69,4.84,0.41,0.8,0.41,7.86,4.471999999999999,3.876443960355648,7.470000000000001,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,5.57,10.0,9.61,10.0,2.55,5.938,3.876443960355648,83.42900000000002,42.669293883750434
13,2.97,8.82,10.14,0.81,7.69,4.84,1.75,0.8,0.49,7.86,4.616999999999999,3.729849713981636,7.4399999999999995,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,5.57,8.66,9.61,9.92,2.55,5.792999999999999,3.729849713981636,89.22200000000001,46.39914359773207
14,5.48,8.82,10.14,0.81,7.69,5.43,1.75,0.8,3.46,7.86,5.223999999999999,3.4070423798036,4.93,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,4.98,8.66,9.61,6.95,2.55,5.186,3.4070423798036,94.40800000000002,49.80618597753567
15,5.48,8.82,10.14,0.81,7.69,5.43,1.84,0.8,3.46,7.86,5.233,3.3969497755748135,4.93,1.5899999999999999,0.2699999999999996,9.6,2.7199999999999998,4.98,8.57,9.61,6.95,2.55,5.177,3.3969497755748135,99.58500000000001,53.20313575311048
