iteration,trust_score_0,trust_score_1,trust_score_2,trust_score_3,trust_score_4,trust_score_5,trust_score_6,trust_score_7,trust_score_8,trust_score_9,mean_trust_score,std_trust_score,plateau_duration_0,plateau_duration_1,plateau_duration_2,plateau_duration_3,plateau_duration_4,plateau_duration_5,plateau_duration_6,plateau_duration_7,plateau_duration_8,plateau_duration_9,mean_plateau_duration,std_plateau_duration,uncertainty_0,uncertainty_1,uncertainty_2,uncertainty_3,uncertainty_4,uncertainty_5,uncertainty_6,uncertainty_7,uncertainty_8,uncertainty_9,mean_uncertainty,std_uncertainty
1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,
2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,
3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,
5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,
6,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,4.0,0.0,0.405921593266797,0.4213248684720493,0.6480673075264218,0.6388432579025173,0.6006742110586689,0.4724870197953807,0.5500476875883408,0.4676146782427346,1.0668352954935147,0.3671491898336643,0.563896510918009,0.19204470589212133
7,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,4.0,0.0,0.5578118608243137,0.4621612518609027,0.6839051293292671,0.6631448881864028,0.6066025505323107,0.4718412570842804,0.6115515705458885,0.5749282727899403,1.1755109599074247,0.5216268360229038,0.6329084577083635,0.19379436175287743
8,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,4.0,0.0,0.6750646582241416,0.4545229133199432,0.7753584920050629,0.6260828155913152,0.5902455754886142,0.6203404379453805,0.6160009295011402,0.6165256201643451,1.214966935017882,0.5687201387912617,0.6757828516049087,0.19519210092613093
9,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,4.0,0.0,0.721269026836582,0.6146966461956269,0.7404025848365671,0.6120123324971042,0.6188508067014709,0.5873055094268047,0.7102363305470287,0.6095478819326124,1.2106663644223914,0.6893965506921593,0.7114384034088348,0.17443022623261092
10,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,4.0,0.0,0.7377458128308414,0.6497088728391618,0.7423456277289638,0.5846881030355077,0.6356397735956858,0.5221553804273195,0.711638709861758,0.6084785871236352,1.1896704269425766,0.6687598893833827,0.7050831183768832,0.17430467471404953
11,,,0.9,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,4.0,,,,,,,,4.0,0.0,0.7474320267268239,0.660282141858734,,0.5592994764049434,0.616505596895934,0.477715096216163,0.6596689831890034,0.6427855851654123,1.142569280846986,0.6679641422382995,0.6919353573839773,0.16828137920607164
12,,,0.9,0.9,,,,,0.9,,0.9000000000000001,1.1102230246251565e-16,,,4.0,4.0,,,,,4.0,,4.0,0.0,0.7278717517898167,0.6480501252745359,,,0.7670341101817624,0.4288127160393611,0.6185417021617388,0.6576225849570442,,0.6795062918449528,0.6954862239208193,0.16831540153504865
13,,,0.9,0.9,,,0.9,,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,,,4.0,4.0,,,4.0,,4.0,4.0,4.0,0.0,0.7040195322204905,0.6187362664166549,,,0.8297763037989007,0.5372507627602996,,0.6458632450598821,,,0.7005917609158592,0.15417707329395156
