iteration,uncertainty
5,0.510498859289334
6,0.40592159326679705
7,0.5578118608243137
8,0.6750646582241416
9,0.721269026836582
10,0.7377458128308414
11,0.7474320267268239
12,0.7278717517898167
13,0.7040195322204905
18,0.7111297840587726
19,0.7009622578041399
20,0.7024005514635016
21,0.685793439728308
22,0.6811386065396048
23,0.6660485035135334
24,0.6672065569410821
25,0.6561127956004118
30,0.6162180005447925
31,0.6067758302378127
32,0.5979239464827341
33,0.5887369617998316
34,0.5837361072235592
35,0.5801054012315521
36,0.5746235829543983
37,0.5669767984830494
38,0.7054273191179506
43,0.6811344221581241
44,0.6797656978187371
45,0.6785338620800898
46,0.6714375268040245
47,0.6700358912245645
48,0.6678562178453683
49,0.6623212592212913
50,0.6556934959482843
55,0.6289591772901393
56,0.6233786565761081
57,0.6179597435863895
58,0.6126460659526948
59,0.6090679204864285
60,0.604489769708182
61,0.5994717453479883
66,0.580821159916241
67,0.6651926611095271
68,0.6996549871202324
69,0.6946515137161852
70,0.6897438161235458
71,0.684826941828623
72,0.6847948394927784
73,0.6802504437750793
75,0.671150642204363
76,0.6812660286279937
77,0.7027367959628493
78,0.7033916475824737
79,0.7200599186998082
80,0.7158152138096843
81,0.7130159870655544
82,0.7099006017294444
83,0.748901911810521
87,0.7335850759297943
88,0.7669493502269321
89,0.7692607600064104
90,0.7646412913340406
91,0.7698578637813999
92,0.7754667962101541
93,0.8004615878827746
94,0.801288795076082
95,0.8288808679837432
96,0.8264186116001638
99,0.8256725146510656
100,0.8213366607287363
101,0.8183964082902139
102,0.8139540850263579
103,0.8096061053031397
104,0.8067408938072365
105,0.8293544429346799
