iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,cum_regret_0,cum_regret_1,cum_regret_2,cum_regret_3,cum_regret_4,cum_regret_5,cum_regret_6,cum_regret_7,cum_regret_8,cum_regret_9,mean_cum_regret,std_cum_regret
1,1.057,1.722,1.346,1.461,1.3,0.962,1.19,2.035,0.992,2.062,1.4127,0.40554957225418886,20.888467452113343,20.22346745211334,20.59946745211334,20.484467452113343,20.64546745211334,20.98346745211334,20.75546745211334,19.91046745211334,20.95346745211334,19.88346745211334,20.53276745211334,0.40554957225418914,20.888467452113343,20.22346745211334,20.59946745211334,20.484467452113343,20.64546745211334,20.98346745211334,20.75546745211334,19.91046745211334,20.95346745211334,19.88346745211334,20.53276745211334,0.40554957225418914
2,1.29,1.722,1.346,1.461,1.446,1.056,1.19,2.035,0.992,2.062,1.46,0.3740032679595787,20.655467452113342,20.22346745211334,20.59946745211334,20.484467452113343,20.49946745211334,20.88946745211334,20.75546745211334,19.91046745211334,20.95346745211334,19.88346745211334,20.48546745211334,0.3740032679595787,41.54393490422669,40.44693490422668,41.19893490422668,40.968934904226685,41.14493490422668,41.87293490422668,41.51093490422668,39.82093490422668,41.90693490422668,39.76693490422668,41.01823490422668,0.7795528402137679
3,1.636,1.722,1.346,1.461,1.446,1.361,1.19,2.035,2.04,2.062,1.6299,0.32253904156447993,20.309467452113342,20.22346745211334,20.59946745211334,20.484467452113343,20.49946745211334,20.58446745211334,20.75546745211334,19.91046745211334,19.905467452113342,19.88346745211334,20.315567452113346,0.3225390415644798,61.85340235634003,60.67040235634002,61.79840235634002,61.45340235634003,61.644402356340024,62.457402356340026,62.26640235634002,59.73140235634003,61.81240235634002,59.650402356340024,61.33380235634003,1.1020918817782477
4,1.636,1.737,2.228,1.461,1.717,1.361,1.193,2.035,2.04,2.062,1.7470000000000003,0.3416313802916823,20.309467452113342,20.20846745211334,19.71746745211334,20.484467452113343,20.228467452113343,20.58446745211334,20.75246745211334,19.91046745211334,19.905467452113342,19.88346745211334,20.19846745211334,0.34163138029168233,82.16286980845337,80.87886980845336,81.51586980845336,81.93786980845337,81.87286980845337,83.04186980845337,83.01886980845336,79.64186980845336,81.71786980845337,79.53386980845336,81.53226980845338,1.44372326206993
5,1.636,1.737,2.306,1.461,1.717,1.594,2.132,2.035,2.04,2.062,1.8720000000000003,0.2770880325416054,20.309467452113342,20.20846745211334,19.63946745211334,20.484467452113343,20.228467452113343,20.35146745211334,19.81346745211334,19.91046745211334,19.905467452113342,19.88346745211334,20.07346745211334,0.2770880325416059,102.4723372605667,101.0873372605667,101.1553372605667,102.4223372605667,102.10133726056671,103.39333726056671,102.8323372605667,99.5523372605667,101.62333726056671,99.4173372605667,101.60573726056671,1.720811294611536
6,2.855,1.737,2.306,2.347,4.244,2.462,2.132,2.035,2.04,2.062,2.422,0.7076150868311888,19.09046745211334,20.20846745211334,19.63946745211334,19.59846745211334,17.70146745211334,19.48346745211334,19.81346745211334,19.91046745211334,19.905467452113342,19.88346745211334,19.52346745211334,0.7076150868311886,121.56280471268005,121.29580471268004,120.79480471268003,122.02080471268005,119.80280471268006,122.87680471268006,122.64580471268005,119.46280471268004,121.52880471268006,119.30080471268003,121.12920471268005,2.4284263814427245
7,2.855,2.247,2.306,3.341,4.244,2.462,2.238,2.035,2.647,2.488,2.6863,0.6614358203517893,19.09046745211334,19.69846745211334,19.63946745211334,18.60446745211334,17.70146745211334,19.48346745211334,19.70746745211334,19.91046745211334,19.298467452113343,19.45746745211334,19.259167452113342,0.6614358203517893,140.65327216479338,140.9942721647934,140.43427216479338,140.6252721647934,137.5042721647934,142.3602721647934,142.3532721647934,139.37327216479338,140.82727216479338,138.75827216479337,140.3883721647934,3.0898622017945137
8,2.855,2.247,2.306,3.341,4.244,2.462,2.238,2.035,2.647,2.488,2.6863,0.6614358203517893,19.09046745211334,19.69846745211334,19.63946745211334,18.60446745211334,17.70146745211334,19.48346745211334,19.70746745211334,19.91046745211334,19.298467452113343,19.45746745211334,19.259167452113342,0.6614358203517893,159.7437396169067,160.69273961690672,160.07373961690672,159.22973961690673,155.20573961690675,161.84373961690673,162.06073961690674,159.28373961690673,160.12573961690674,158.21573961690672,159.64753961690673,3.751298022146303
9,2.855,2.247,2.306,3.341,4.244,2.462,2.238,2.035,2.647,2.488,2.6863,0.6614358203517893,19.09046745211334,19.69846745211334,19.63946745211334,18.60446745211334,17.70146745211334,19.48346745211334,19.70746745211334,19.91046745211334,19.298467452113343,19.45746745211334,19.259167452113342,0.6614358203517893,178.83420706902004,180.39120706902006,179.71320706902006,177.83420706902007,172.9072070690201,181.32720706902006,181.7682070690201,179.19420706902008,179.4242070690201,177.67320706902007,178.90670706902006,4.412733842498092
10,2.855,2.247,2.306,3.341,4.244,2.462,2.238,2.035,2.647,2.488,2.6863,0.6614358203517893,19.09046745211334,19.69846745211334,19.63946745211334,18.60446745211334,17.70146745211334,19.48346745211334,19.70746745211334,19.91046745211334,19.298467452113343,19.45746745211334,19.259167452113342,0.6614358203517893,197.92467452113337,200.0896745211334,199.3526745211334,196.4386745211334,190.60867452113345,200.8106745211334,201.47567452113344,199.10467452113343,198.72267452113346,197.13067452113341,198.1658745211334,5.074169662849881
