iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target
1,78.60864625126347,348.6746386155355,17.51469626406448,1.2654278457777994,0.01
2,20.945549517956163,4.103569539874763,9.17890754755732,1.2011756800186824,0.26
3,47.040720421731265,172.22104648886489,11.551773002624278,1.2716930087712701,2.48
4,68.48060180426361,256.45484666955286,12.773959825965353,1.213045885238096,1.34
5,26.016752521627893,350.5878868321606,7.341706864702736,1.109400530409914,0.1
6,5.922754900849029,353.83339675923617,3.429258545575605,1.1610653966020896,0.78
7,6.384856027517887,80.91717802849635,8.479063383928494,1.4480725024403176,1.05
8,31.091545079808036,354.50979742269766,1.5459089303026126,1.17584236813506,0.0
9,34.28630002834677,275.0976472917456,18.837274352904664,1.1598448982335139,1.25
10,38.92283395113743,97.25246697292751,16.220061840201495,1.3191194030615607,1.4
11,6.18211201123415,217.31201149288003,16.115916610150556,1.0160040782128985,1.67
12,40.99030398953397,284.46211488178284,19.783333844160857,1.2919822717504834,0.96
13,3.502106787808966,160.71224670644494,4.5752777905729705,1.3135278234276242,1.14
14,19.378601952547157,54.34923875669871,11.186741826911915,1.0501933971122748,0.77
15,65.80425887825965,338.2743741988229,18.923045504800836,1.1873692525088881,0.0
16,53.61752212866232,238.31377641880837,10.701028649812136,1.2354462908219248,1.75
17,0.7985057026635767,24.44270528353291,9.261508339288188,1.2157468154401805,1.13
18,16.729531696779386,190.69391401268564,12.382638805862648,1.3604622333437917,1.82
19,27.57562709753102,145.58236731891554,16.632865989453002,1.2935651756176485,2.17
20,63.58639890649107,183.80960880558567,16.771171558869234,1.360339005739911,2.83
21,77.96355145934827,73.22751797471659,6.6721621743888795,1.237902011031887,0.47
22,44.42440481293212,218.76340705840354,16.55977596361914,1.263861919209956,2.34
23,84.52837224214845,260.41802939541856,4.396383297689485,1.3098627082979544,0.88
24,50.60550455654701,274.8256612693727,16.32628036905129,1.1493126012764,1.1
25,12.454623604448123,228.74324910439094,1.1578591142188372,1.3942916322489447,1.19
26,45.18696533719396,358.9627181531479,19.69677230009613,1.1135393132916378,0.0
27,76.49615611707488,292.6143128297418,5.486553034792742,1.3284266471027872,0.34
28,87.94539013934333,263.3646653288674,2.816938864716843,1.250303052972158,0.77
29,41.61240706842189,0.26780019962623136,19.78983986874802,1.4388099705875474,0.0
30,19.549003762459286,217.9359004725421,9.967109290182652,1.17955445739664,1.72
31,47.63632070774971,203.33631984614573,16.837431023734617,1.0314066612424946,2.83
32,54.57299608416795,181.30058817864796,4.045675163685541,1.0727227392781364,2.19
33,57.40567758194216,317.84621053006754,1.6244504061608565,1.21401095073406,0.05
34,79.01037659353462,171.54254861471983,7.983840213432762,1.1203251259295393,2.39
35,4.340859944726683,63.06004051529397,11.57873322066064,1.2650427414864502,1.12
36,48.97993955552995,107.65898950201793,17.443056593074783,1.4234732717733014,1.63
37,41.91303299674593,270.48895084288876,15.887842782566887,1.184048424264745,1.24
