iteration,uncertainty
5,1.2684318507511547
6,1.4177652211216856
7,1.4870769026132153
8,1.461433622979504
9,1.4799101345042034
10,1.4452067291567665
11,1.3951687418308292
12,1.4134755647335278
13,1.386278219469363
18,2.43369324900385
19,2.46615748739103
20,2.7388290384748513
21,2.8692787757684806
22,3.023713344449898
23,3.1228813604621384
24,3.1475116887810675
25,3.162563149256803
30,3.5952003241932515
31,3.6564251558043144
32,3.678684821410702
33,3.7012285958769184
34,3.6499507937965636
35,3.660987042931964
36,3.615355310662025
41,3.7746764650170137
42,3.7791019583805436
43,3.763318682948067
44,3.7460344306079527
45,3.7593561293871214
46,3.7348750030287583
51,3.781707582332863
52,3.8535443222522563
53,3.8324426692865474
54,3.8956604417668057
55,3.9474588572197398
56,3.9916038078210723
57,4.030624505869942
58,4.02650170852486
59,4.050494968093418
64,4.105411626623667
65,4.119699150536108
66,4.137589096922736
67,4.150710723947048
68,4.16385884647348
69,4.170979751982476
70,4.18868301247282
71,4.198728655726864
72,4.2063091331892695
73,4.2105181196887465
75,4.220640031623614
76,4.225486757893487
77,4.230406348429923
78,4.206206161812974
79,4.203423285817926
80,4.20350675224135
81,4.188393268999041
82,4.187647578537993
83,4.188576329368426
87,4.266531684273685
88,4.247576103562276
89,4.246635243224345
90,4.249648979849854
91,4.249814878539737
92,4.248503126941806
94,4.25240011418025
95,4.250992308573548
96,4.245396591980674
97,4.246446658322551
98,4.248950782317677
103,4.342102345934633
104,4.340503667928919
105,4.338308819194568
