iteration,trust_score_0,trust_score_1,trust_score_2,trust_score_3,trust_score_4,trust_score_5,trust_score_6,trust_score_7,trust_score_8,trust_score_9,mean_trust_score,std_trust_score,plateau_duration_0,plateau_duration_1,plateau_duration_2,plateau_duration_3,plateau_duration_4,plateau_duration_5,plateau_duration_6,plateau_duration_7,plateau_duration_8,plateau_duration_9,mean_plateau_duration,std_plateau_duration,uncertainty_0,uncertainty_1,uncertainty_2,uncertainty_3,uncertainty_4,uncertainty_5,uncertainty_6,uncertainty_7,uncertainty_8,uncertainty_9,mean_uncertainty,std_uncertainty
1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,8.0,8.0,8,8,8.0,8.0,8.0,8,8,8.0,8.0,0.0,,,,,,,,,,,,
2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,8.0,8.0,8,8,8.0,8.0,8.0,8,8,8.0,8.0,0.0,,,,,,,,,,,,
3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,8.0,8.0,8,8,8.0,8.0,8.0,8,8,8.0,8.0,0.0,,,,,,,,,,,,
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,8.0,8.0,8,8,8.0,8.0,8.0,8,8,8.0,8.0,0.0,,,,,,,,,,,,
5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,1.1102230246251565e-16,8.0,8.0,8,8,8.0,8.0,8.0,8,8,8.0,8.0,0.0,,,,,,,,,,,,
6,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,8.0,0.0,1.6864834633705192,1.3098768920101698,2.7251468869687656,1.6337311505331051,3.1602219199501382,1.483447799018431,2.9022459432686185,1.4177652211216856,0.7773116063287189,7.330240734261205,2.442647161683136,1.7873893715745977
7,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,8.0,0.0,1.79286848032841,1.3389358704979573,2.658033775372392,1.6396848751500754,3.0601205325067484,1.40439724887692,3.1709062167979902,1.4870769026132151,0.7862480005490297,7.067762221263992,2.440603412395673,1.7137546066672933
8,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,8.0,0.0,1.7279441858390563,1.343282261617038,2.4877577222018625,1.6204278322020396,2.864692148833789,1.471365514396411,3.040013114178129,1.461433622979504,0.8648206100111169,6.80918405111662,2.3690921063375567,1.6229817247019973
9,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,8.0,0.0,1.685547571943299,1.3800476463415452,2.4150634426653816,1.5454537629231526,2.704855798169079,1.3876261393814695,3.073174218585366,1.4799101345042034,0.980309361601961,7.238712171621716,2.3890700247737175,1.7356915157874235
10,,,,,,,,,,,0.9000000000000001,1.1102230246251565e-16,,,,,,,,,,,8.0,0.0,1.6781579931579742,1.418723736320782,2.344112716962245,1.5014331686758489,2.6374139821339946,1.343540754871247,3.011837283781904,1.4452067291567663,0.993753410057042,6.8800668570932935,2.3254246632211095,1.6354163085239868
