iteration,target,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,generation_method
1,0.05,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,Prior
2,0.01,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,Sobol
3,0.05,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,Sobol
4,0.04,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,Sobol
5,0.07,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,Sobol
6,0.0,0.6967425908220716,1.391212262268707,3.15284149406057,1.7999746893685753,0.6075149015272633,4.416362947292733,0.631447208113734,0.8203134322534932,1.919966531950722,1.1040369471361646,BoTorch
7,0.12,0.3511958020111602,0.4802668939788127,0.4361499873705703,0.3136392911089816,1.008289253007234,3.778928205182254,0.0,0.0353103101436656,0.0,1.0130717469106352,BoTorch
8,0.0,0.1836960180369787,2.3759641161307514,1.6305408142625557,0.34907252951389,2.380813577551567,4.340141881505199,0.3646952707620743,1.0270928454159105,1.1902663315675504,0.136487144280601,BoTorch
9,0.0,0.0443261037702056,2.444500387274689,1.159587517066796,1.7572107809342532,0.605356303707897,4.662018489242813,0.5397708406350912,1.7770557547424255,1.055448079950771,2.094961414451697,BoTorch
10,0.0,0.1482173461831272,4.041201351098231,3.57114604833618,1.152722108943357,0.1775467627422224,4.404304995433559,0.4100079829631839,1.915969365656205,1.4731652968213418,0.0379016077638766,BoTorch
11,0.0,2.0193179621021686,4.271443043824713,2.8818532171655766,1.9307893552556163,0.2386711614679257,4.001323208141423,1.2018388788058585,0.8055726013638658,0.8068501297051057,0.6711375829620962,BoTorch
12,0.0,0.2876027852244162,1.969990693995776,2.162381036077816,1.9426017171892729,0.782017679023796,3.3717295309633664,0.3596387098031963,1.3315247269187191,0.6547842724424559,0.6742704392511794,BoTorch
13,0.0,1.6187888103142378,2.0025692878546835,2.392197172450454,0.4791863142328362,0.7944579354626324,4.7429685127524746,2.0655365098321408,1.4067175429211023,1.0383510650791223,0.0,BoTorch
14,0.0,0.4180730665280468,4.341436233003263,2.954696284177153,0.0337888209047584,0.2121293917583283,4.344615751779962,0.0868194026279322,1.421743820579711,0.0,1.5229472076925712,BoTorch
