iteration,target,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,generation_method
1,0.05,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,Prior
2,0.01,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,Sobol
3,0.05,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,Sobol
4,0.04,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,Sobol
5,0.07,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,Sobol
6,0.0,1.178035999428769,1.1385803457958523,1.7930899467340564,0.2173413020573194,1.3585855824554596,3.1579041921481497,1.2859803476000686,1.5053782210624866,0.8441015685663379,0.6463897096476517,BoTorch
7,0.0,1.1636512422192802,2.8267480422794984,0.2420589377961593,0.4881590871930431,1.0580153699821404,4.3824782945741125,0.0621209309228975,1.5967688967976246,0.6583067335117627,0.6504385461899256,BoTorch
8,0.35,0.0798501130287022,2.1673249179801064,0.0274300727171722,2.912415069166614,0.4447881671099982,4.348640230508522,1.0412664532576883,0.1323482144555013,0.1251675069637678,0.6960790599835684,BoTorch
9,0.0,2.4893422233988622,1.4890124493099013,0.6442962593390169,1.48968721934251,0.7808157875118694,4.415453079839851,0.3160563663075652,0.335211487806218,2.2026804901412635,0.7020892944081623,BoTorch
10,0.0,1.3850383952055227,0.3704205749099611,0.4736597366063208,0.9761569999264088,2.192889779725282,3.606880165847888,0.919435433723368,0.0,0.2154485560335081,1.7283839583812464,BoTorch
11,0.08,0.1930313365944818,1.776354973136311,0.1374063993657985,3.522897177254986,0.5637327839409664,4.456918237437717,1.3090186807393944,0.03955067195062,0.0377011388208624,0.7413399951798462,BoTorch
12,0.0,0.846003244182968,0.987897027157504,0.5475886579354695,2.2027427150125214,0.9502263334073356,4.5044055879488845,0.7352723760732442,1.3077297493383582,0.9698045643136948,1.1219707156131675,BoTorch
13,0.0,2.119138599635204,0.9752644334031616,0.2458006917872557,0.1361064146748143,1.154560179530281,3.1987704816446327,0.6428452719641531,1.1019974724771302,0.2514062338957368,0.2037286704908183,BoTorch
