iteration,target,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,generation_method
1,0.05,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,Prior
2,0.01,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,Sobol
3,0.05,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,Sobol
4,0.04,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,Sobol
5,0.07,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,Sobol
6,0.0,1.5766710868708842,0.0996574673629613,1.4691138091164797,0.628530548020674,0.5436113034287215,3.870057385546704,1.0048948473174606,0.1410802514116191,2.329659727571208,0.4891243548609564,BoTorch
7,0.0,0.4183794059956933,2.5147761430874493,2.0352769962443853,2.2377309916787818,1.464811295128524,4.9958414964566185,0.5137396585553874,0.7123095964730253,2.9984014263219128,0.1756290953592591,BoTorch
8,0.0,0.0,0.8810571683746118,0.2384280971797793,0.1243388659875553,0.1625266338348766,4.115174709785704,0.592842511301589,0.4939413900871278,2.009607870642191,2.2831935559633325,BoTorch
9,0.0,0.2233978816224691,0.9227141865337818,2.2755127622149667,3.0011057509293537,0.2908439007179179,4.921581654727564,0.7170979662151628,0.5264899783550342,0.5894460256628535,0.6449231525300582,BoTorch
10,0.0,1.1350449519809405,2.4546884855272126,1.3014608302064103,1.2545842496179542,0.2969436178189711,4.0281555428071885,0.3454110806532489,0.7908100257901685,1.3987394178824977,0.8312364496666947,BoTorch
11,0.0,1.060291922365756,1.3149530682385435,2.296472357490908,1.8236814965647112,1.1708522727299666,4.904782766411956,1.3038258890928724,2.3729686079499777,0.0,0.0734165665196068,BoTorch
12,0.0,0.8613742149345833,1.6729096527926566,0.7653091420279494,0.9175923506496924,2.175286309027836,3.559034253613536,2.153295801331044,0.5819509044028686,1.0105942409814477,0.7796585838439506,BoTorch
13,0.16,0.0,0.1344420054753352,0.5142764655148023,0.0,0.9359230633794612,3.6657436664632392,0.0071537695361854,0.0003300649304868,0.0,0.7298806147021898,BoTorch
14,0.0,0.8330047062502405,0.8462501581683755,0.1382117782851616,0.6162540120962647,2.180132002678544,4.4679578917514124,0.6675291906329002,0.0,1.1643943552695364,1.5801310042552397,BoTorch
