iteration,target,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,generation_method
1,0.05,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,Prior
2,0.01,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,Sobol
3,0.05,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,Sobol
4,0.04,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,Sobol
5,0.07,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,Sobol
6,0.0,0.3487095719651898,0.8487988788010623,0.5898069773755671,1.786956361068127,0.1637305625948197,2.83151980725642,0.8468321631936742,0.7115326132140988,0.7556271085842639,0.8264721842198969,BoTorch
7,0.0,1.9926658386246208,1.2854466891182537,0.5354121065772114,0.7582772630184931,2.2799519580406904,4.176161757250499,1.244614853000898,0.4884829589176572,0.4413809095767905,0.1541274688207597,BoTorch
8,0.0,1.0624169539230752,1.2501973569432767,1.4192197192048317,0.224758869048015,2.5134356906529165,4.922161459767819,2.45218721211319,0.2971601442093928,0.1689059274244224,0.1491651112469695,BoTorch
9,0.0,1.3121640047071736,3.326887048420215,1.5145100021827438,1.5757281375361676,1.1134446435678207,4.367920741731424,0.9945783919721236,0.191804638212257,0.0,1.5533610393890491,BoTorch
10,0.1,0.6182185029002126,1.0102056252878415,0.6112717467853047,0.630879503787592,0.9197021985341256,3.998228030909401,0.0,0.0277538447909449,0.1277122291825186,1.006329799860687,BoTorch
11,0.0,0.114629091066312,1.6856298143628592,0.5430525618601847,1.075487315777594,1.469895769404157,4.158098125990725,0.1998986282943424,0.8456725328785242,2.017333558846482,0.0,BoTorch
12,0.0,1.5816147818595574,1.1759398091325155,1.3349537873001938,2.7476836731499006,0.6150234156846633,4.940630774999756,0.1938303155473817,1.0090110783079205,0.7916682924299798,0.0827623159246289,BoTorch
13,0.0,0.0,0.0703950043397128,2.065398175169423,1.1219926430562066,1.370357483207017,4.113844516222816,1.963319325820779,1.4868280371027376,0.5117091271463127,0.2702283971480866,BoTorch
14,0.31,0.500586974165628,0.5666837524175138,0.2245071704809088,1.129074397529182,1.0249984142171584,4.000719435116656,0.0,0.0,0.0,0.0,BoTorch
