iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,cum_regret_0,cum_regret_1,cum_regret_2,cum_regret_3,cum_regret_4,cum_regret_5,cum_regret_6,cum_regret_7,cum_regret_8,cum_regret_9,mean_cum_regret,std_cum_regret
1,0.0,9.02,0.01,29.74,0.0,0.38,0.0,0.01,0.01,1.43,4.06,9.44681957062799,100.0,90.98,99.99,70.26,100.0,99.62,100.0,99.99,99.99,98.57,95.94000000000001,9.446819570627987,100.0,90.98,99.99,70.26,100.0,99.62,100.0,99.99,99.99,98.57,95.94000000000001,9.446819570627987
2,0.47,9.02,0.07,29.74,0.0,0.38,0.0,0.01,0.01,1.43,4.1129999999999995,9.422641821107756,99.53,90.98,99.93,70.26,100.0,99.62,100.0,99.99,99.99,98.57,95.88699999999999,9.422641821107755,199.53,181.96,199.92000000000002,140.52,200.0,199.24,200.0,199.98,199.98,197.14,191.827,18.86946139173574
3,0.47,9.02,0.07,29.74,0.0,0.38,0.02,0.01,0.05,2.53,4.229,9.39123521635407,99.53,90.98,99.93,70.26,100.0,99.62,99.98,99.99,99.95,97.47,95.771,9.391235216354069,299.06,272.94,299.85,210.78000000000003,300.0,298.86,299.98,299.96999999999997,299.93,294.61,287.598,28.26069660808981
4,1.73,9.02,0.07,29.74,0.0,0.38,0.02,0.01,0.05,39.77,8.079,14.521722005327055,98.27,90.98,99.93,70.26,100.0,99.62,99.98,99.99,99.95,60.23,91.921,14.521722005327055,397.33,363.92,399.78000000000003,281.04,400.0,398.48,399.96000000000004,399.96,399.88,354.84000000000003,379.519,42.782418613416866
5,1.73,9.02,0.07,29.74,0.11,0.38,0.02,0.01,0.05,39.77,8.09,14.514962395174619,98.27,90.98,99.93,70.26,99.89,99.62,99.98,99.99,99.95,60.23,91.91000000000001,14.514962395174619,495.59999999999997,454.90000000000003,499.71000000000004,351.3,499.89,498.1,499.94000000000005,499.95,499.83,415.07000000000005,471.42900000000003,57.297381008591486
6,1.73,10.51,0.07,29.74,0.11,2.01,0.02,0.01,0.05,39.77,8.402,14.444135911234781,98.27,89.49,99.93,70.26,99.89,97.99,99.98,99.99,99.95,60.23,91.598,14.444135911234781,593.87,544.39,599.6400000000001,421.56,599.78,596.09,599.9200000000001,599.9399999999999,599.78,475.30000000000007,563.027,71.74151691982627
7,6.77,11.13,0.07,29.74,1.19,6.77,8.88,0.07,19.39,39.77,12.377999999999997,13.357339888199629,93.23,88.87,99.93,70.26,98.81,93.23,91.12,99.93,80.61,60.23,87.62200000000001,13.35733988819963,687.1,633.26,699.5700000000002,491.82,698.5899999999999,689.32,691.0400000000001,699.8699999999999,680.39,535.5300000000001,650.6490000000001,85.0988568080259
8,6.77,11.13,0.07,29.74,1.19,6.77,8.88,0.07,19.39,39.77,12.377999999999997,13.357339888199629,93.23,88.87,99.93,70.26,98.81,93.23,91.12,99.93,80.61,60.23,87.62200000000001,13.35733988819963,780.33,722.13,799.5000000000002,562.08,797.3999999999999,782.5500000000001,782.1600000000001,799.8,761.0,595.7600000000001,738.2710000000002,98.45619669622553
9,12.28,11.13,0.07,29.74,1.19,6.77,8.88,0.32,19.39,39.77,12.953999999999999,13.186345799938493,87.72,88.87,99.93,70.26,98.81,93.23,91.12,99.68,80.61,60.23,87.04599999999999,13.186345799938497,868.0500000000001,811.0,899.4300000000003,632.34,896.2099999999998,875.7800000000001,873.2800000000001,899.48,841.61,655.9900000000001,825.3170000000002,111.64254249616403
10,12.28,11.13,0.07,29.74,1.19,6.77,8.88,0.43,19.39,39.77,12.965,13.17467625577359,87.72,88.87,99.93,70.26,98.81,93.23,91.12,99.57,80.61,60.23,87.035,13.17467625577359,955.7700000000001,899.87,999.3600000000004,702.6,995.0199999999998,969.0100000000001,964.4000000000001,999.05,922.22,716.2200000000001,912.3520000000002,124.81721875193762
11,56.46,11.13,0.07,29.74,1.19,6.77,8.88,0.43,19.39,39.77,17.383000000000003,19.027195186539362,43.54,88.87,99.93,70.26,98.81,93.23,91.12,99.57,80.61,60.23,82.61699999999999,19.027195186539362,999.3100000000001,988.74,1099.2900000000004,772.86,1093.8299999999997,1062.24,1055.52,1098.62,1002.83,776.4500000000002,994.9690000000002,143.84441393847698
12,56.67,11.13,0.51,29.74,1.19,6.77,8.88,2.23,19.39,39.77,17.628,18.860101802482404,43.33,88.87,99.49,70.26,98.81,93.23,91.12,97.77,80.61,60.23,82.372,18.860101802482404,1042.64,1077.6100000000001,1198.7800000000004,843.12,1192.6399999999996,1155.47,1146.6399999999999,1196.3899999999999,1083.44,836.6800000000002,1077.3410000000001,162.70451574095938
13,56.67,17.66,0.51,29.74,1.19,6.77,8.88,2.99,19.39,39.77,18.357,18.651679132036463,43.33,82.34,99.49,70.26,98.81,93.23,91.12,97.01,80.61,60.23,81.643,18.651679132036463,1085.97,1159.95,1298.2700000000004,913.38,1291.4499999999996,1248.7,1237.7599999999998,1293.3999999999999,1164.05,896.9100000000002,1158.9840000000002,181.35619487299584
14,56.67,17.66,0.87,29.74,1.19,6.77,8.88,2.99,19.39,39.77,18.392999999999997,18.613713612399984,43.33,82.34,99.13,70.26,98.81,93.23,91.12,97.01,80.61,60.23,81.607,18.613713612399984,1129.3,1242.29,1397.4000000000005,983.64,1390.2599999999995,1341.93,1328.8799999999997,1390.4099999999999,1244.6599999999999,957.1400000000002,1240.5910000000001,199.96990848539582
15,56.67,17.66,0.87,29.74,1.19,7.62,8.88,2.99,19.39,39.77,18.478,18.556592599097737,43.33,82.34,99.13,70.26,98.81,92.38,91.12,97.01,80.61,60.23,81.522,18.556592599097737,1172.6299999999999,1324.6299999999999,1496.5300000000007,1053.9,1489.0699999999995,1434.31,1419.9999999999995,1487.4199999999998,1325.2699999999998,1017.3700000000002,1322.113,218.52650108449356
16,56.67,17.66,0.87,29.74,1.19,13.6,8.88,2.99,19.39,39.77,19.076,18.26182064672998,43.33,82.34,99.13,70.26,98.81,86.4,91.12,97.01,80.61,60.23,80.924,18.26182064672998,1215.9599999999998,1406.9699999999998,1595.6600000000008,1124.16,1587.8799999999994,1520.71,1511.1199999999994,1584.4299999999998,1405.8799999999997,1077.6000000000001,1403.037,236.78832173122353
17,56.67,17.66,0.87,29.74,1.19,23.12,9.34,2.99,19.39,39.77,20.074000000000005,18.161881449282113,43.33,82.34,99.13,70.26,98.81,76.88,90.66,97.01,80.61,60.23,79.926,18.161881449282113,1259.2899999999997,1489.3099999999997,1694.7900000000009,1194.42,1686.6899999999994,1597.5900000000001,1601.7799999999995,1681.4399999999998,1486.4899999999996,1137.8300000000002,1482.963,254.95020318050564
18,56.67,17.66,0.87,29.74,1.19,23.12,9.34,2.99,19.39,39.77,20.074000000000005,18.161881449282113,43.33,82.34,99.13,70.26,98.81,76.88,90.66,97.01,80.61,60.23,79.926,18.161881449282113,1302.6199999999997,1571.6499999999996,1793.920000000001,1264.68,1785.4999999999993,1674.4700000000003,1692.4399999999996,1778.4499999999998,1567.0999999999995,1198.0600000000002,1562.889,273.1120846297878
19,56.67,17.66,0.87,29.74,1.19,23.12,9.34,2.99,19.39,39.77,20.074000000000005,18.161881449282113,43.33,82.34,99.13,70.26,98.81,76.88,90.66,97.01,80.61,60.23,79.926,18.161881449282113,1345.9499999999996,1653.9899999999996,1893.050000000001,1334.94,1884.3099999999993,1751.3500000000004,1783.0999999999997,1875.4599999999998,1647.7099999999994,1258.2900000000002,1642.8149999999998,291.2739660790699
20,56.67,28.8,2.02,29.74,1.19,62.9,9.34,2.99,19.39,39.77,25.281000000000002,22.4841032484929,43.33,71.2,97.98,70.26,98.81,37.1,90.66,97.01,80.61,60.23,74.71900000000001,22.484103248492897,1389.2799999999995,1725.1899999999996,1991.030000000001,1405.2,1983.1199999999992,1788.4500000000003,1873.7599999999998,1972.4699999999998,1728.3199999999993,1318.5200000000002,1717.5339999999999,313.7580693275628
21,73.13,28.8,2.02,29.74,1.19,62.9,9.34,2.99,19.39,39.77,26.927,25.44488250229416,26.870000000000005,71.2,97.98,70.26,98.81,37.1,90.66,97.01,80.61,60.23,73.07300000000001,25.44488250229416,1416.1499999999996,1796.3899999999996,2089.010000000001,1475.46,2081.9299999999994,1825.5500000000002,1964.4199999999998,2069.48,1808.9299999999992,1378.7500000000002,1790.607,339.20295182985694
22,73.13,28.8,2.66,29.74,1.19,62.9,9.34,2.99,19.39,39.77,26.990999999999996,25.37598622057213,26.870000000000005,71.2,97.34,70.26,98.81,37.1,90.66,97.01,80.61,60.23,73.009,25.37598622057213,1443.0199999999995,1867.5899999999997,2186.3500000000013,1545.72,2180.7399999999993,1862.65,2055.08,2166.4900000000002,1889.539999999999,1438.9800000000002,1863.616,364.5789380504291
23,78.79,28.8,2.66,29.74,1.19,62.9,23.05,2.99,27.31,39.77,29.72,25.650689832612475,21.209999999999994,71.2,97.34,70.26,98.81,37.1,76.95,97.01,72.69,60.23,70.28,25.65068983261248,1464.2299999999996,1938.7899999999997,2283.6900000000014,1615.98,2279.5499999999993,1899.75,2132.0299999999997,2263.5000000000005,1962.229999999999,1499.2100000000003,1933.896,390.2296278830416
24,78.79,28.8,2.66,29.74,1.19,62.9,23.05,2.99,27.31,39.77,29.72,25.650689832612475,21.209999999999994,71.2,97.34,70.26,98.81,37.1,76.95,97.01,72.69,60.23,70.28,25.65068983261248,1485.4399999999996,2009.9899999999998,2381.0300000000016,1686.24,2378.359999999999,1936.85,2208.9799999999996,2360.5100000000007,2034.9199999999992,1559.4400000000003,2004.176,415.8803177156541
25,79.4,28.8,2.66,29.74,1.19,62.9,23.05,2.99,27.31,39.77,29.781,25.780744946568166,20.599999999999994,71.2,97.34,70.26,98.81,37.1,76.95,97.01,72.69,60.23,70.21900000000001,25.780744946568166,1506.0399999999995,2081.1899999999996,2478.3700000000017,1756.5,2477.169999999999,1973.9499999999998,2285.9299999999994,2457.520000000001,2107.609999999999,1619.6700000000003,2074.395,441.66106266222226
26,79.4,28.8,2.66,29.74,1.19,62.9,23.05,2.99,27.31,39.77,29.781,25.780744946568166,20.599999999999994,71.2,97.34,70.26,98.81,37.1,76.95,97.01,72.69,60.23,70.21900000000001,25.780744946568166,1526.6399999999994,2152.3899999999994,2575.710000000002,1826.76,2575.979999999999,2011.0499999999997,2362.879999999999,2554.530000000001,2180.2999999999993,1679.9000000000003,2144.614,467.44180760879044
27,79.4,28.8,24.14,29.74,1.19,62.9,23.05,2.99,27.31,39.77,31.929000000000002,24.110750230274185,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,97.01,72.69,60.23,68.071,24.110750230274185,1547.2399999999993,2223.5899999999992,2651.570000000002,1897.02,2674.789999999999,2048.1499999999996,2439.829999999999,2651.5400000000013,2252.9899999999993,1740.1300000000003,2212.685,491.5525578390646
28,79.4,28.8,24.14,29.74,1.19,62.9,23.05,2.99,27.31,39.77,31.929000000000002,24.110750230274185,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,97.01,72.69,60.23,68.071,24.110750230274185,1567.8399999999992,2294.789999999999,2727.430000000002,1967.28,2773.599999999999,2085.2499999999995,2516.779999999999,2748.5500000000015,2325.6799999999994,1800.3600000000004,2280.756,515.6633080693388
29,79.4,28.8,24.14,29.74,1.19,62.9,23.05,2.99,27.31,39.77,31.929000000000002,24.110750230274185,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,97.01,72.69,60.23,68.071,24.110750230274185,1588.4399999999991,2365.989999999999,2803.2900000000022,2037.54,2872.409999999999,2122.3499999999995,2593.7299999999987,2845.5600000000018,2398.3699999999994,1860.5900000000004,2348.8269999999998,539.774058299613
30,79.4,28.8,24.14,29.74,1.19,62.9,23.05,2.99,27.31,39.77,31.929000000000002,24.110750230274185,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,97.01,72.69,60.23,68.071,24.110750230274185,1609.039999999999,2437.1899999999987,2879.1500000000024,2107.8,2971.219999999999,2159.4499999999994,2670.6799999999985,2942.570000000002,2471.0599999999995,1920.8200000000004,2416.8979999999997,563.8848085298872
31,79.4,28.8,24.14,29.74,1.19,62.9,23.05,9.49,45.27,39.77,34.375,23.558002768580458,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,90.51,54.73,60.23,65.62500000000001,23.558002768580458,1629.639999999999,2508.3899999999985,2955.0100000000025,2178.0600000000004,3070.029999999999,2196.5499999999993,2747.6299999999983,3033.080000000002,2525.7899999999995,1981.0500000000004,2482.5229999999997,587.4428112984676
32,79.4,28.8,24.14,29.74,1.19,62.9,23.05,9.49,45.27,39.77,34.375,23.558002768580458,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,90.51,54.73,60.23,65.62500000000001,23.558002768580458,1650.2399999999989,2579.5899999999983,3030.8700000000026,2248.3200000000006,3168.839999999999,2233.649999999999,2824.579999999998,3123.5900000000024,2580.5199999999995,2041.2800000000004,2548.1479999999997,611.000814067048
33,79.4,28.8,24.14,29.74,1.19,62.9,23.05,9.49,59.57,39.77,35.805,24.699198030165544,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,90.51,40.43,60.23,64.19500000000001,24.699198030165544,1670.8399999999988,2650.789999999998,3106.7300000000027,2318.580000000001,3267.6499999999987,2270.749999999999,2901.529999999998,3214.1000000000026,2620.9499999999994,2101.51,2612.343,635.7000120972136
34,79.4,28.8,24.14,29.74,1.19,62.9,23.05,9.49,59.57,39.77,35.805,24.699198030165544,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,90.51,40.43,60.23,64.19500000000001,24.699198030165544,1691.4399999999987,2721.989999999998,3182.590000000003,2388.840000000001,3366.4599999999987,2307.849999999999,2978.4799999999977,3304.610000000003,2661.379999999999,2161.7400000000002,2676.538,660.3992101273792
35,79.4,28.8,24.14,29.74,1.19,62.9,23.05,9.49,70.48,39.77,36.896,26.06856565972811,20.599999999999994,71.2,75.86,70.26,98.81,37.1,76.95,90.51,29.519999999999996,60.23,63.104000000000006,26.06856565972811,1712.0399999999986,2793.189999999998,3258.450000000003,2459.1000000000013,3465.2699999999986,2344.949999999999,3055.4299999999976,3395.120000000003,2690.899999999999,2221.9700000000003,2739.642,686.4677757871074
