iteration,pitch_deg,yaw_deg,v0,spin_rpm,spin_axis_deg,h0,mass,target,hypothesis
1,54.01095121399098,4.250919429424712,49.69269836671395,1361.1126397037544,17.795665396131227,1.0580441799691793,2.689500208785466,0.0,Balanced Launch Strategy
2,56.20877217990892,3.400738944261711,44.72686723386684,1628.8902406525997,14.23654655338035,0.8864352304111417,1.9518147670408463,0.0,Optimal Projectile Parameters
3,46.81313024807305,5.101099914587714,42.09028903369126,1193.3350387549094,21.354784238882104,1.329653129527217,3.4273992989462,0.0,Projectile Launch Optimization
4,50.69225863444022,4.761027720522513,44.617604673726376,980.4460791344475,19.931136701781746,0.641009549704002,2.341934039169433,0.0,Targeted Launch Configuration
5,86.0435806816412,17.003609703260025,48.63421799824422,2144.447981023094,71.18237685501748,0.43217899116075276,9.762981803214656,0.11,Global
6,34.3926079166573,39.454571604137136,35.76547704044232,1016.2941924008205,-37.06368655733153,0.7375615984389231,1.2983152107882194,0.0,Targeted Launch Configuration
7,12.242862016128473,-26.021654926857426,37.668721338625716,852.4893918911744,27.013630980671053,1.534187075110226,3.073649682289465,1.19,Projectile Launch Optimization
8,34.66781478560179,53.108266652518125,34.75628030964233,862.3740851651144,-34.996851582296074,1.5596070391427355,0.5130494503524952,0.0,Projectile Launch Optimization
9,19.4607084821201,-48.44170351531719,34.11214469525173,576.8871794193428,-4.662027305410419,1.5894867268569517,1.3361241731839355,0.01,Projectile Launch Optimization
10,19.244036352020743,-68.0640549599401,25.250425408764876,829.298571896269,37.60532349223746,0.20214892604080448,2.685145985375286,0.01,Global
11,72.64882148121738,82.6936046887331,49.90183931534144,2766.673964041351,-23.171252497946057,1.8155500122749466,0.1085305847887961,0.0,Global
12,-27.15711026674178,82.89359158729638,48.54682800978287,611.4863212877514,39.62066874986749,0.05697429509257512,3.609728713409862,0.0,Global
13,53.656792986612615,-150.78503724541392,8.173005492160208,1160.287161257844,-103.96630882586493,1.3955070975083368,2.9787291214693665,0.0,Global
