iteration,pitch_deg,yaw_deg,v0,spin_rpm,spin_axis_deg,h0,mass,target,hypothesis
1,38.32780274533428,26.69285950840132,27.06717688935203,1251.1678005954766,-0.8343985787443344,1.044697768648784,1.5333945522490908,0.38,optimal_throw_parameters
2,29.99172079841115,40.03922253078687,30.600772666049163,1576.7510729768533,-1.2515957821304866,1.5670465412293133,1.7244885624409299,0.0,balanced_parameter_throw
3,41.65976177187272,33.3660410195941,41.07557066554743,1813.9594367861648,-1.0429971804374105,0.5558721549390486,1.3417261111648917,0.0,high_velocity_throw
4,35.32780274533428,26.69285950840132,29.06717688935203,1051.1678005954766,-0.8343985787443344,1.044697768648784,1.7312865536671564,0.09,precision_throw_setup
5,-3.360819469231263,133.4636302238555,10.33595776697132,2755.8327238137645,-4.171972033861522,1.2234877258052914,7.661419486238352,0.0,Global
6,44.297365548622494,23.115432649503568,26.427675305402154,1236.9579329671114,-3.7983152694733207,0.9919360773894957,1.2748249963651201,2.01,optimal_throw_parameters
7,45.25120419361056,-4.1781156969882005,26.34889694084358,1080.9257784277636,-10.633743175599086,1.0730839116402597,1.526530971415431,6.77,optimal_throw_parameters
8,48.41657627991209,-14.01750129696725,25.484499900101063,1090.412864309374,-13.755952685768898,1.0842467451312552,1.4642839979750597,2.1,optimal_throw_parameters
9,50.50920413790623,-5.739318243746691,26.97860611954051,1079.5836013737521,-6.679582290987472,1.1725095945953694,0.11642095309427612,2.99,optimal_throw_parameters
10,37.32390765785405,25.85688971161855,7.574462462240877,1085.9463548432868,-23.13549315216011,0.115450198337965,7.2400877823808845,0.01,Global
11,50.98818959828209,-10.141740116605376,21.050390526117724,1217.9543254955847,-2.124701861836172,1.6387140085941443,5.260093166815407,5.09,Global
12,4.675628398572812,0.7834463010472916,3.7837809368900635,1178.0245758287376,19.710428815240476,0.7856956121040535,8.294960278968851,0.01,Global
13,54.1553814974972,-38.6639360477906,16.167152699241882,1109.3109852590549,-29.62722483317785,0.6715237930278641,2.9239451288429352,0.07,Global
14,34.46894193175133,35.011245682273085,13.158777794748943,1223.2656227630175,-45.09668923017324,0.48406664065702953,5.253671584107905,0.07,Global
15,43.75840591406764,-1.92264901225374,26.42412844226666,1079.2112074115562,-10.63462007006361,1.0553515654960388,1.7669426321371011,7.62,optimal_throw_parameters
16,37.885055523871664,-1.0017788166983606,25.60149302460778,1081.6578085291826,-15.56712928282119,0.9366868177403576,1.999004995,13.6,optimal_throw_parameters
17,32.99994,3.1861249336808064,24.999975,1083.2030860017362,-22.990018415791294,0.799999,1.999004995,23.12,optimal_throw_parameters
18,32.99994,10.688089374201391,24.999975,1086.957668729135,-36.00017999999999,0.799999,1.999004995,5.76,optimal_throw_parameters
19,32.99994,0.4151905387234585,24.999975,1076.5178241552383,-25.952413232846972,0.799999,1.999004995,21.68,optimal_throw_parameters
20,24.605113002834113,0.5864691581682151,25.629381988228197,1081.1350036619494,-22.572700792567318,0.6280493321932742,1.5900142122878211,62.9,Global
21,-12.459730448385091,-88.80396699095994,29.27961410196156,1023.6573228921302,-11.347402183837943,0.5644203145671163,2.3120756061332455,0.0,Global
22,2.87354917796182,-1.5423714302538656,41.29831500543146,1052.0277263690364,-12.273068067897213,1.6188918016963527,4.5734720508007305,4.6,Global
23,-18.687897228533004,7.137323078266775,39.273858668800166,1087.0883881671102,-24.652747462843166,0.22718679796831176,2.4506356480303637,0.01,Global
24,-8.915540774515456,-24.986625726453667,20.850158538364994,1077.331163691208,21.95129598012781,0.7799204257244834,0.5389933361750254,0.01,Global
25,-16.452766833257947,25.477817286795187,3.08936257239783,1046.5542914403018,-87.4402513138589,0.13381650374942677,4.001662390114976,0.0,Global
