iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target
1,89.6205658889608,145.0767201400462,6.27602028913864,1.362164616116475,1.77
2,53.522489680011915,259.9316101170011,18.280277219731552,1.1068996806235498,1.56
3,12.98692490691498,99.73570384200247,2.2723602525876654,1.281403903020366,1.03
4,62.896259718244224,15.371945074084689,12.032999669172028,1.0393964701831038,0.0
5,35.53092121160892,359.49263588567453,15.97379129286773,1.4518599540850965,0.0
6,89.6205658889608,137.12759252346592,2.671726196842925,1.092576321473669,1.52
7,89.6205658889608,162.86207532250972,4.434166252254556,1.3650650294198816,1.96
8,64.73026648411795,138.53217853222162,17.26784715722752,1.3650650294198816,2.33
9,53.705582477358796,138.53217853222162,17.26784715722752,1.3650650294198816,2.33
10,53.75571865194909,138.53217853222162,17.26784715722752,1.3564787185235243,2.34
11,53.75571865194909,187.77136266785524,17.26784715722752,1.3566436888497269,2.79
12,69.91557908243567,166.9738418316746,17.26784715722752,1.3644367798631953,2.8
13,72.74958652092884,181.6561436665268,17.26784715722752,1.3646136576788628,2.84
14,72.74958652092884,181.6561436665268,17.26784715722752,1.3569412781194776,2.85
15,72.42302083653637,184.6226331830751,17.26784715722752,1.3602654718720604,2.84
16,72.74958652092884,179.69176982886484,17.26784715722752,1.3569412781194776,2.85
17,70.97994145678994,176.4593111876949,17.26784715722752,1.3588253336290355,2.85
18,71.81303716044852,176.9388143327933,17.26784715722752,1.3569412781194776,2.85
19,71.82262631458693,179.71413313458189,17.26784715722752,1.364248607295077,2.85
20,71.24813523294506,176.63354162371238,17.26784715722752,1.3635901228257434,2.85
21,72.3091554106528,181.6561436665268,17.26784715722752,1.3574373540070785,2.85
22,71.75354271577608,181.6561436665268,17.26784715722752,1.3588621995496637,2.85
23,72.74958652092884,177.34902388684992,17.26784715722752,1.3587631188743452,2.84
24,71.1951658713667,178.22664217116895,17.26784715722752,1.3569412781194776,2.85
25,72.5256425019206,179.843544820947,17.26784715722752,1.3647751476431504,2.84
