iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,Hypothesis
1,0.0,1.5,0.5,0.0,0.0,5.0,0.5,0.0,0.5,0.0,0.073759789024326,What they knew
2,0.25,0.75,0.5,0.0,0.0,2.8,0.5,0.0,0.75,0.0,0.0452331833479874,Global
3,0.25,0.5,0.25,0.25,0.25,1.0,1.5,0.5,0.0,0.25,0.0170630576146786,Global
4,0.5,0.25,1.25,0.0,0.5,2.8,0.25,0.75,0.0,0.0,0.0003277183575701,Global
5,1.25,0.0,0.0,0.25,0.0,2.0,0.25,0.75,0.25,0.5,0.010412019067246,Global
6,0.0,1.25,0.0,0.0,0.25,5.0,0.25,0.0,0.25,0.25,6.414684621327891,What they knew
7,0.0,1.0,0.0,0.5,0.25,5.0,0.25,0.0,0.0,0.25,10.961757539584928,What they knew
8,0.0,2.0,0.0,0.0,0.25,5.0,0.25,0.0,0.0,0.25,8.476245356761654,What they knew
9,0.0,1.0,0.0,0.75,0.25,5.0,0.0,0.0,0.0,0.25,10.354595268994789,What they knew
10,0.0,0.0,0.0,0.5,1.25,4.4,0.75,0.0,0.0,2.0,1.3720597386240851,Global
11,0.5,1.0,0.0,0.5,1.0,3.8,1.0,0.0,0.0,0.0,0.9621889217455912,Global
12,0.0,0.0,0.0,0.5,0.0,1.8,0.75,0.0,0.0,0.5,0.9361299751652228,Global
13,2.75,0.0,0.0,0.5,0.25,3.6,0.0,0.5,0.0,0.0,7.325703395302897e-05,Global
14,0.0,0.75,0.0,0.5,0.25,4.2,2.0,0.0,0.0,0.0,0.4740615472762531,Global
15,0.0,1.0,0.0,0.5,0.25,5.0,0.25,0.0,0.0,0.0,9.634462022963127,What they knew
16,0.0,1.0,0.0,0.5,0.0,5.0,0.0,0.25,0.0,0.25,1.5671365067466805,What they knew
17,1.0,0.5,0.0,0.25,0.0,5.0,0.0,0.0,0.0,0.25,0.0298639138926795,Global
18,0.0,0.5,0.0,0.25,0.0,4.800000000000001,0.0,0.0,0.0,1.25,6.8033087390305,Global
19,0.0,1.5,0.0,0.75,0.0,4.800000000000001,0.25,0.0,0.0,0.0,6.561815320754797,Global
20,0.0,0.5,0.0,1.25,0.5,5.0,1.0,0.0,0.0,0.0,8.64749760585848,Global
21,0.0,0.0,0.0,0.5,0.25,4.800000000000001,0.0,0.0,0.0,0.75,3.9834346423187608,Global
22,0.5,1.0,0.25,0.0,0.25,5.0,0.0,0.25,0.0,0.25,0.1250253059275853,What they knew
23,0.25,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.25,2.4857391731247684,What they knew
24,0.0,1.0,0.0,0.25,0.75,5.0,0.0,0.0,0.0,1.25,14.476500312552368,Global
25,0.0,1.0,0.0,0.0,1.0,4.800000000000001,1.0,0.0,0.0,1.25,5.411265176903077,Global
26,0.0,1.0,0.0,0.0,0.75,4.800000000000001,0.0,0.0,0.0,1.5,14.080386899932728,Global
27,0.0,1.0,0.0,0.25,0.5,4.800000000000001,0.0,0.0,0.0,1.75,15.23589741130552,Global
28,0.0,1.0,0.0,1.5,0.5,5.0,0.0,0.0,0.0,1.5,14.914395201983378,Global
29,0.0,1.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,1.5,14.01906757708126,Global
30,0.0,1.0,0.0,0.75,0.5,4.800000000000001,0.0,0.0,0.0,1.5,16.445127769783902,Global
31,0.0,1.0,0.0,1.0,0.5,4.6,0.0,0.0,0.0,1.25,18.82482578268211,Global
32,0.0,1.0,0.0,1.0,0.5,4.4,0.0,0.0,0.0,1.0,20.353660058280923,Global
33,0.0,1.0,0.0,1.0,0.5,4.2,0.0,0.0,0.0,0.75,21.07685333754668,Global
34,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.75,21.436956611337195,Global
35,0.0,0.0,0.0,0.75,0.75,3.2,0.25,0.0,0.0,0.75,5.122472584616283,Global
36,0.25,2.0,0.0,1.0,0.0,3.8,0.75,0.0,0.0,0.0,2.3589491495265618,Global
37,0.25,1.5,0.0,0.75,0.5,1.2,0.0,0.0,0.0,0.0,2.411949747078238,Global
38,0.0,0.0,0.0,1.25,0.5,3.6,0.0,0.0,0.0,0.25,5.384145323588793,Global
39,0.0,1.0,0.0,1.0,0.5,3.8,0.0,0.0,0.0,0.75,21.660515413499965,Global
40,0.0,1.5,0.0,0.0,0.25,1.2,1.0,0.0,0.0,0.25,3.217941157780162,Global
41,0.0,2.25,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.75,6.122896149482619,Global
42,0.0,1.0,0.0,0.5,0.5,1.8,0.0,0.25,0.0,0.75,1.960816355717568,Global
43,0.0,0.5,0.0,1.25,0.5,3.6,0.75,0.0,0.5,0.0,3.8783265462824543,Global
44,0.0,0.75,0.0,1.25,0.0,4.6,0.75,0.0,0.0,0.5,7.91724102367049,Global
45,0.0,1.0,0.0,0.75,0.0,5.0,0.25,0.0,0.0,1.5,8.27820063929682,What they knew
46,0.0,1.0,0.0,0.25,0.5,5.0,0.5,0.0,0.0,1.5,12.74120480818507,What they knew
47,0.0,2.0,0.0,0.5,0.0,2.6,0.0,0.0,0.25,0.75,5.166864655019751,Global
48,0.0,1.0,0.25,0.25,0.75,4.6,0.75,0.0,0.0,0.25,1.9381606713157205,Global
49,0.0,0.25,0.0,0.75,0.0,4.800000000000001,0.75,0.0,0.25,1.5,2.320190798517538,Global
50,0.25,0.5,0.0,0.5,0.5,2.8,0.0,0.0,0.25,0.0,2.7072115086693747,Global
51,0.25,0.5,0.0,1.75,0.25,1.4,0.25,0.0,0.0,0.5,1.4411850777582114,Global
52,0.0,1.0,0.0,1.25,0.5,5.0,0.0,0.0,0.0,1.5,16.05882689704106,What they knew
53,0.25,2.25,0.0,0.0,0.75,5.0,0.0,0.0,0.0,0.75,6.577137631179873,What they knew
54,0.0,0.25,0.0,0.25,0.0,3.4000000000000004,0.75,0.0,0.0,2.0,1.608503962574377,Global
55,0.0,1.75,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.5,3.1185843255409367,Global
56,0.0,0.75,0.0,0.0,0.25,4.2,0.5,0.0,0.25,1.75,4.424935570729239,Global
57,0.25,0.75,0.0,1.75,0.0,3.0,0.0,0.0,0.0,0.5,2.802925216458196,Global
58,0.25,1.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,1.75,2.0620401369056363,Global
59,0.0,1.25,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.5,21.737776660726887,What they knew
60,0.0,1.25,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.25,20.90841443526334,What they knew
61,0.0,1.0,0.0,0.25,0.75,5.0,0.25,0.25,0.0,1.75,2.562106039266387,What they knew
62,0.0,1.25,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.5,18.07400301612504,Global
63,0.0,1.0,0.0,1.0,0.5,4.2,0.0,0.0,0.0,0.5,20.366046198241744,Global
64,0.0,1.0,0.0,1.0,0.0,4.4,0.0,0.0,0.25,0.75,6.001707111794981,Global
65,0.0,0.25,0.0,1.25,0.0,3.2,0.5,0.0,0.0,0.0,3.3783830826885977,Global
66,0.0,0.5,0.0,1.0,1.25,3.4000000000000004,0.25,0.0,0.0,1.0,7.202007993932439,Global
67,0.0,2.0,0.0,0.5,0.75,5.0,0.0,0.0,0.0,0.5,20.00060474659344,What they knew
68,0.0,1.75,0.0,1.25,0.5,5.0,0.0,0.0,0.0,0.25,16.976346900263227,What they knew
69,0.0,1.25,0.0,1.0,0.5,4.2,0.0,0.0,0.0,0.5,18.23845205617311,Global
70,0.0,0.75,0.0,0.25,0.75,4.2,1.75,0.0,0.0,0.0,0.8422916789932076,Global
71,0.25,0.5,0.25,0.75,0.5,2.2,0.25,0.0,0.0,0.5,0.7257664613950066,Global
72,0.0,1.0,0.0,0.25,1.0,4.4,0.0,0.0,0.25,1.25,8.11087123293133,Global
73,0.0,1.25,0.0,1.0,0.5,4.4,0.0,0.0,0.0,0.5,18.29633800810528,Global
74,0.0,2.0,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.25,19.31019478313852,What they knew
75,0.0,1.0,0.0,1.25,0.5,5.0,0.0,0.0,0.0,0.25,16.73769253082745,What they knew
76,0.0,0.75,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.75,3.776207149078734,Global
77,0.0,0.75,0.0,1.25,0.5,4.4,0.25,0.0,0.0,0.25,18.79267318017661,Global
78,0.25,0.0,0.0,1.0,0.5,3.8,0.0,0.0,0.25,1.25,1.920457707729687,Global
79,0.0,0.75,0.0,2.0,0.25,2.6,0.0,0.0,0.0,0.0,6.358534152574137,Global
80,0.0,1.25,0.0,1.25,0.5,4.4,0.0,0.0,0.0,0.5,18.603326924725984,Global
81,0.0,1.0,0.0,1.25,0.75,5.0,0.0,0.0,0.0,0.25,20.181434642901284,What they knew
82,0.25,1.0,0.0,1.25,0.75,5.0,0.25,0.0,0.25,0.0,5.663828416796669,What they knew
83,0.0,1.0,0.0,1.25,0.5,4.0,0.0,0.0,0.0,0.5,20.89392300782105,Global
84,0.0,0.5,0.0,2.0,1.0,1.4,0.0,0.0,0.0,0.0,3.889465930280696,Global
85,0.0,1.0,0.0,0.5,1.0,3.8,0.0,0.0,0.5,0.5,4.777055577530012,Global
86,0.0,0.5,0.0,2.5,0.5,4.2,0.25,0.0,0.25,0.0,5.702007377592118,Global
87,0.0,1.5,0.25,1.0,0.25,4.6,0.25,0.0,0.0,0.25,2.1093650113038693,Global
88,0.0,2.5,0.0,0.25,0.5,5.0,0.25,0.0,0.0,0.25,11.005522944387716,What they knew
89,0.0,1.25,0.0,0.0,1.0,5.0,0.25,0.0,0.0,0.25,12.241464847982447,What they knew
90,0.0,1.25,0.0,1.25,0.0,4.800000000000001,0.75,0.0,0.25,0.0,4.826122760423543,Global
91,0.0,1.5,0.0,1.25,0.75,3.6,0.25,0.0,0.0,0.0,15.247314407550965,Global
92,0.0,0.75,0.0,1.25,0.5,4.0,0.0,0.0,0.0,0.5,21.124829108368093,Global
93,0.0,1.5,0.0,1.0,0.75,4.6,0.0,0.0,0.0,0.5,22.656215648504183,Global
94,0.0,0.75,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.5,21.06093384873579,Global
95,0.0,1.75,0.0,0.0,0.25,1.4,0.25,0.0,0.25,1.25,3.662288367482386,Global
96,0.25,0.75,0.0,0.0,0.5,2.4000000000000004,0.75,0.0,0.25,1.0,2.1257659828308206,Global
97,0.0,1.75,0.0,0.25,0.25,3.8,0.5,0.0,0.25,0.0,6.298125608001387,Global
98,0.0,0.75,0.0,1.0,0.25,3.0,0.25,0.0,0.5,0.25,3.8011301230902106,Global
99,0.0,1.5,0.0,0.0,0.75,5.0,0.25,0.0,0.0,1.0,15.958632938569,What they knew
100,0.0,2.0,0.0,0.5,0.5,5.0,0.75,0.0,0.0,0.0,8.744224163158053,What they knew
101,0.0,2.25,0.0,1.25,0.0,4.6,0.0,0.0,0.25,0.0,4.9398038955896535,Global
102,0.0,1.5,0.0,0.0,0.75,3.0,0.25,0.0,0.0,1.0,10.26043577659907,Global
103,0.0,0.75,0.0,0.75,0.0,3.4000000000000004,0.5,0.0,0.0,1.0,4.883069777289236,Global
104,0.25,0.75,0.0,1.5,0.25,4.6,0.0,0.0,0.0,0.25,5.479655072597161,Global
105,0.25,1.0,0.0,0.0,0.5,4.2,0.5,0.0,0.0,0.5,6.347206969459461,Global
