iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,Hypothesis
1,0.0,1.75,0.0,1.0,0.5,5.0,0.0,0.5,0.0,0.0,0.1323857591536582,What they knew
2,0.0,1.0,0.0,1.25,0.5,2.6,0.0,1.25,0.0,0.0,0.0123339011253739,Global
3,0.0,0.0,0.5,0.0,0.75,4.800000000000001,1.0,1.25,0.5,0.0,0.0002205927535823,Global
4,0.25,0.25,0.0,1.75,0.5,2.6,0.0,0.25,0.25,0.0,0.5545872563368293,Global
5,0.5,0.0,1.0,0.5,0.0,3.4000000000000004,0.0,0.25,1.25,0.25,0.0022757106576415,Global
6,0.25,1.25,0.25,0.75,0.5,5.0,0.0,0.0,0.0,0.0,1.245554211713272,What they knew
7,0.25,1.0,0.25,0.5,0.0,5.0,0.25,0.0,0.0,0.25,0.9074388013592698,What they knew
8,0.75,2.0,0.25,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0356748118745211,What they knew
9,1.0,0.0,0.0,0.0,3.5,4.800000000000001,0.0,0.0,0.0,0.0,0.0007064686358275,Global
10,0.0,0.0,0.0,0.0,0.0,1.0,4.75,0.0,0.0,0.0,0.1395040865426121,Global
11,2.0,0.0,0.0,0.0,0.0,3.2,0.0,2.5,0.0,0.0,2.812987256099061e-09,Global
12,0.0,0.0,0.25,2.0,0.0,2.8,1.25,0.0,0.0,0.0,0.1508557696976737,Global
13,3.25,0.25,0.25,0.25,0.0,3.6,0.0,0.0,0.25,0.0,0.0055718056303123,Global
14,0.0,3.75,0.5,0.0,0.0,5.0,0.0,0.0,0.25,0.0,0.1109717061855384,What they knew
15,0.25,1.0,0.5,0.25,1.75,5.0,0.0,0.0,0.0,0.0,0.0468116750257545,What they knew
16,0.0,0.0,0.0,1.5,0.0,2.0,0.0,0.0,2.5,0.0,0.1354868415758887,Global
17,0.0,0.0,0.0,0.5,0.75,1.0,0.0,0.0,0.0,1.25,2.3810665717334456,Global
18,0.0,0.75,0.0,0.5,0.0,4.2,1.0,0.0,0.0,1.75,2.76159741266173,Global
19,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.25,2.5,0.0201892115610082,Global
20,0.25,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.75,0.3008327134888817,Global
21,0.0,0.0,0.75,0.5,1.25,4.6,0.0,0.5,0.0,1.5,0.0037196599605363,Global
22,0.0,0.75,0.0,1.25,0.25,4.6,0.0,0.0,0.0,1.5,11.65711963477359,Global
23,0.0,0.75,0.0,0.0,0.0,3.2,0.0,0.0,0.0,1.25,8.341156274788272,Global
24,0.0,0.75,0.0,0.0,1.0,4.2,0.0,0.0,0.0,1.25,9.36029707154682,Global
25,0.0,0.75,0.0,0.0,0.75,4.4,0.0,0.0,0.0,1.25,12.795985850298024,Global
26,0.0,0.5,0.0,0.0,0.5,3.4000000000000004,0.0,0.75,0.25,0.0,0.1450844623565905,Global
27,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.239645760712732,Global
28,0.25,0.5,0.5,0.0,0.5,1.4,0.0,0.0,0.25,0.25,0.0619222809641635,Global
29,0.0,0.5,0.0,0.0,0.5,1.4,0.0,0.0,2.5,0.0,0.0247773521484363,Global
30,2.5,0.5,0.25,0.0,0.5,1.4,0.0,0.0,0.0,0.0,0.0003447463167039,Global
31,0.0,1.5,0.0,1.0,0.0,5.0,0.5,0.0,0.0,0.0,6.534546422543598,What they knew
32,0.0,1.0,0.0,2.25,0.25,5.0,0.0,0.0,0.25,0.0,5.444281472875188,What they knew
33,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,2.25,2.9352327519279284,Global
34,0.0,0.75,0.25,0.0,0.0,4.800000000000001,0.0,0.0,0.0,1.5,1.2976258344099807,Global
35,0.0,0.75,0.0,0.25,0.0,5.0,0.0,0.0,0.0,1.25,8.268960599303636,Global
36,0.0,0.75,0.0,0.0,0.5,3.8,0.0,0.0,0.0,1.5,13.644884415553316,Global
37,0.0,0.75,0.0,0.0,0.5,3.8,0.0,0.0,0.0,1.25,13.89913804497301,Global
38,0.0,0.75,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,6.9246144934136,Global
39,0.0,0.75,0.0,0.0,0.5,3.2,0.0,0.0,0.0,1.25,13.34711029238924,Global
40,0.0,0.75,0.0,0.0,0.5,4.6,0.0,0.0,0.0,1.25,13.011556361562128,Global
41,0.0,1.0,0.0,1.25,0.5,3.8,0.0,0.0,0.0,1.25,18.56017939750659,Global
42,0.0,1.0,0.0,0.5,0.5,1.6,0.0,0.0,0.0,1.25,9.053770811238318,Global
43,0.0,1.0,0.0,1.5,0.5,3.8,0.0,0.0,0.0,1.0,18.94637454496109,Global
44,0.0,1.0,0.0,1.5,0.5,3.8,0.0,0.0,0.0,0.75,19.95194276055718,Global
45,0.0,1.0,0.0,1.25,0.5,3.8,0.0,0.0,0.0,0.5,20.852965290692744,Global
46,0.0,1.0,0.0,1.0,0.5,3.8,0.0,0.0,0.0,0.25,18.92892082265,Global
47,0.25,1.0,0.0,1.25,0.5,3.8,0.0,0.0,0.0,0.5,8.53245053915728,Global
48,0.0,1.0,0.0,1.0,0.5,3.8,0.0,0.0,0.0,0.5,20.86057971636417,Global
49,0.0,1.0,0.0,1.0,0.5,3.8,0.0,0.0,0.0,0.0,16.30014543797075,Global
50,0.0,0.75,0.0,1.75,0.0,2.4000000000000004,0.25,0.0,0.0,1.25,3.0310876020152144,Global
51,0.25,2.0,0.0,1.0,0.0,4.4,0.75,0.0,0.0,0.0,2.342123953731128,Global
52,0.25,0.75,0.0,0.75,0.0,3.2,0.75,0.0,0.0,1.5,1.84734575401462,Global
53,0.0,0.75,0.0,0.5,0.25,3.0,0.5,0.0,0.0,1.25,5.23684547282157,Global
54,0.0,1.0,0.0,0.75,0.25,5.0,0.0,0.0,0.0,0.0,9.076338935418525,What they knew
55,0.0,1.0,0.0,0.25,1.0,5.0,0.0,0.0,0.0,0.0,10.902109485703011,What they knew
56,0.0,0.5,0.0,0.0,0.25,3.8,0.75,0.0,0.25,0.25,4.870984134941065,Global
57,0.0,1.0,0.0,0.25,0.5,3.6,0.0,0.0,0.0,0.5,16.191724285031533,Global
58,0.0,0.5,0.0,0.25,0.0,2.4000000000000004,0.0,0.0,0.25,2.5,4.808092667201258,Global
59,0.25,0.5,0.0,2.25,0.25,4.4,0.0,0.0,0.25,0.25,2.572305441450353,Global
60,0.0,0.5,0.0,1.5,0.75,4.800000000000001,0.5,0.0,0.0,0.5,14.210990921707822,Global
61,0.25,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.5,0.5,1.2622979234816007,What they knew
62,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.2947945593699863,What they knew
63,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.5,20.69880884978019,Global
64,0.0,1.5,0.0,0.0,0.5,3.8,0.0,0.0,0.25,1.25,9.714192489097126,Global
65,0.0,0.5,0.0,0.0,0.5,4.6,0.5,0.0,0.0,2.0,5.992520435835204,Global
66,0.25,0.25,0.0,0.5,1.0,3.2,0.75,0.0,0.25,0.75,2.2245819092584345,Global
67,0.0,0.5,0.0,0.0,1.25,3.0,0.5,0.0,0.0,1.25,3.7216537292110026,Global
68,0.0,1.0,0.0,0.75,0.75,5.0,0.5,0.0,0.0,0.0,15.101457188543533,What they knew
69,0.0,1.0,0.0,0.75,0.75,5.0,0.0,0.0,0.0,0.0,15.729377161157718,What they knew
70,0.0,1.75,0.0,0.25,1.0,4.6,0.0,0.0,0.0,0.75,20.73836597945857,Global
71,0.0,1.25,0.0,0.75,0.5,4.2,0.0,0.0,0.0,0.5,17.78237074598792,Global
72,0.0,1.25,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.5,18.07400301612504,Global
73,0.25,1.0,0.0,1.0,0.75,2.8,0.5,0.0,0.0,0.0,4.981771310764817,Global
74,0.25,0.75,0.0,0.0,0.25,3.4000000000000004,0.25,0.0,0.25,0.25,2.6606409896038987,Global
75,0.0,1.0,0.25,0.75,0.75,5.0,0.25,0.0,0.0,0.0,2.390340177040561,What they knew
76,0.0,1.0,0.0,0.75,0.75,5.0,0.0,0.0,0.75,0.0,1.8920601148893523,What they knew
77,0.0,2.25,0.0,0.25,0.25,1.0,0.5,0.0,0.0,0.25,4.521493722328692,Global
78,0.0,0.25,0.0,1.75,0.0,3.4000000000000004,0.0,0.0,0.0,0.75,4.408368699312551,Global
79,0.25,1.25,0.0,0.5,0.25,3.4000000000000004,0.0,0.0,0.25,0.5,3.944627655135186,Global
80,0.0,0.5,0.0,2.25,0.75,3.4000000000000004,0.5,0.0,0.0,0.0,7.284427464572049,Global
81,0.0,0.25,0.0,1.25,0.5,2.6,0.0,0.0,0.0,0.25,6.972121758795116,Global
82,0.0,1.5,0.0,1.0,0.75,5.0,0.0,0.0,0.0,0.0,20.66909261274117,What they knew
83,0.0,1.5,0.0,1.0,0.75,5.0,0.25,0.0,0.0,0.0,17.88725236269715,What they knew
84,0.0,1.25,0.0,1.0,0.75,4.2,0.0,0.0,0.0,0.5,24.258304456722986,Global
85,0.0,1.25,0.0,0.0,0.25,1.4,0.25,0.0,0.5,0.0,1.4645759941956378,Global
86,0.25,0.5,0.0,0.75,1.0,4.2,0.0,0.0,0.0,0.75,5.383664596787703,Global
87,0.0,1.75,0.25,0.5,1.0,3.0,0.0,0.0,0.25,0.5,1.9678569506031192,Global
88,0.0,0.5,0.0,0.75,0.75,1.6,0.5,0.25,0.0,0.25,0.7872558424213034,Global
89,0.25,0.75,0.0,1.5,0.0,3.0,0.0,0.0,0.0,0.75,3.028889477057483,Global
90,0.25,1.0,0.0,0.25,0.5,5.0,0.5,0.0,0.0,0.25,6.897578084771663,What they knew
91,0.25,1.0,0.0,1.25,0.75,5.0,0.25,0.0,0.25,0.0,5.663828416796669,What they knew
92,0.0,1.75,0.0,0.0,1.25,3.6,0.0,0.0,0.0,0.5,14.47575130116074,Global
93,0.0,0.25,0.0,1.25,1.25,2.8,0.75,0.0,0.25,0.5,2.5237401918289057,Global
94,0.0,1.0,0.25,0.0,1.0,4.800000000000001,0.0,0.0,0.25,1.5,1.4472032748649917,Global
95,0.0,0.25,0.0,1.0,0.75,2.4000000000000004,0.25,0.0,0.0,1.0,6.174180224359438,Global
96,0.5,1.5,0.0,0.5,0.5,4.6,0.25,0.0,0.0,0.5,1.2458042534549572,Global
97,0.0,1.5,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.25,17.429772604198913,What they knew
98,0.0,1.25,0.0,0.25,0.75,5.0,0.75,0.0,0.25,0.0,7.908553697421992,What they knew
99,0.25,2.0,0.0,1.0,0.0,2.4000000000000004,0.75,0.0,0.0,0.0,1.882406633061061,Global
100,0.0,0.5,0.0,0.25,0.25,3.6,0.25,0.0,0.0,1.75,7.500843864257172,Global
101,0.0,1.25,0.0,1.0,0.5,1.6,0.0,0.0,0.0,1.0,8.01129147043634,Global
102,0.0,0.75,0.0,1.0,0.75,1.8,0.75,0.0,0.0,0.25,4.485100390708393,Global
103,0.0,1.25,0.25,0.25,0.25,4.6,0.25,0.0,0.25,0.25,1.4854498500629367,Global
104,0.0,1.0,0.0,0.75,0.25,5.0,1.75,0.0,0.0,0.0,0.9718539716214294,What they knew
105,0.0,1.5,0.0,1.0,0.5,5.0,0.0,0.0,0.0,1.25,15.744772962818216,What they knew
