iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,Hypothesis
24,0.0,1.75,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,15.968888949259265,Global
25,0.0,1.75,0.25,0.0,2.0,3.8,0.0,0.0,0.0,0.0,2.259174030646762,Global
26,0.0,1.5,0.0,0.0,2.0,3.8,0.5,0.0,0.0,0.0,5.749142059176368,Global
27,0.0,1.75,0.0,0.25,2.0,4.0,0.25,0.0,0.0,0.0,11.179757076336935,Global
28,0.0,1.5,0.0,0.0,0.5,4.4,0.0,0.0,0.5,0.0,3.815018978877784,Global
29,0.0,1.0,0.0,0.0,2.5,5.0,0.0,0.25,0.0,0.0,1.2946098441689065,What they knew
30,0.0,1.25,0.0,0.0,2.75,5.0,0.0,0.0,0.0,0.0,9.649297357214271,What they knew
31,0.0,1.75,0.0,0.0,2.0,4.2,0.0,0.0,0.0,0.0,16.181411532311984,Global
32,0.25,0.75,0.0,0.75,1.5,1.0,0.0,0.0,0.0,0.0,1.488945611955942,Global
33,0.25,2.0,0.0,1.0,0.0,4.800000000000001,0.75,0.0,0.0,0.0,2.2306402551462097,Global
34,0.0,1.75,0.0,0.0,2.0,4.2,0.0,0.0,0.0,0.25,16.630599587236247,Global
35,0.0,1.75,0.0,0.0,2.0,4.2,0.0,0.0,0.0,0.5,17.007288625813178,Global
36,0.0,1.75,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.25,16.64483649010426,Global
37,0.25,1.75,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.561968469610308,Global
38,0.0,1.75,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.5,17.288517324277734,Global
39,0.0,1.75,0.0,0.0,2.0,3.8,0.0,0.0,0.0,0.5,17.58173945907793,Global
40,0.0,1.75,0.0,0.0,2.0,3.8,0.0,0.0,0.0,0.25,16.771005076883824,Global
41,0.0,1.75,0.0,0.0,2.0,3.8,0.0,0.0,0.0,0.75,17.831755640565877,Global
42,0.0,2.0,0.25,0.5,0.5,2.0,0.25,0.0,0.0,0.0,1.4875896462956582,Global
43,0.0,2.25,0.0,0.25,0.25,3.0,0.0,0.0,0.0,1.0,10.559875018711816,Global
44,0.0,1.75,0.0,0.0,1.75,3.8,0.0,0.0,0.0,1.25,16.626616017645148,Global
45,0.0,1.75,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.75,8.944761255041549,Global
46,0.0,1.75,0.0,0.0,2.25,3.6,0.0,0.0,0.0,0.75,16.860822971716118,Global
47,0.0,1.0,0.0,1.5,2.25,5.0,0.0,0.0,0.0,0.0,2.872779072317951,What they knew
48,0.25,1.25,0.0,0.0,2.25,5.0,0.0,0.0,0.0,0.0,4.88307459328545,What they knew
49,0.0,1.75,0.0,0.0,2.25,3.8,0.0,0.0,0.0,0.75,16.83318386831713,Global
50,0.25,2.0,0.0,1.0,0.0,1.6,0.75,0.0,0.0,0.0,1.47235495140034,Global
51,0.25,1.25,0.25,1.25,0.0,1.2,0.25,0.0,0.0,0.25,0.3512924217356012,Global
52,0.0,0.75,0.0,0.5,0.25,2.0,0.5,0.0,0.25,1.25,2.190352459998191,Global
53,0.25,0.5,0.0,0.0,0.5,1.2,0.5,0.0,0.5,1.5,0.5331516763311552,Global
54,0.0,1.0,0.0,0.0,2.5,5.0,0.0,0.0,0.0,1.0,5.2783506499114,What they knew
55,0.0,1.75,0.0,0.0,2.25,5.0,0.25,0.0,0.25,0.0,7.713559760764655,What they knew
56,0.0,1.75,0.0,0.0,3.0,3.6,0.0,0.0,0.0,0.0,12.886042300590638,Global
57,0.0,1.75,0.0,0.0,1.75,3.6,0.0,0.0,0.0,1.0,18.0794786601747,Global
58,0.0,1.75,0.0,0.0,1.5,3.6,0.0,0.0,0.0,1.0,17.706904161441557,Global
59,0.0,1.75,0.0,0.0,1.5,3.6,0.0,0.0,0.0,0.5,16.010102526500678,Global
60,0.0,1.75,0.0,0.0,1.75,3.8,0.0,0.0,0.0,1.0,17.930424840426554,Global
61,0.0,1.0,0.0,0.0,0.75,1.6,0.25,0.25,0.25,1.25,1.036557645411468,Global
62,0.0,1.25,0.0,0.75,0.0,4.2,0.0,0.25,0.0,1.25,2.095411449005705,Global
63,0.0,1.75,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.2542449721381243,What they knew
64,0.25,2.0,0.25,0.0,1.25,5.0,0.25,0.0,0.25,0.0,0.9654020063685838,What they knew
65,0.5,1.5,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.5,0.5371416717562945,Global
66,0.0,1.5,0.0,0.0,1.25,1.0,0.0,0.0,0.25,0.75,3.696579993205901,Global
67,0.0,1.75,0.0,0.0,1.5,3.6,0.0,0.0,0.0,0.75,17.264453119003868,Global
68,0.0,1.75,0.0,0.0,1.5,3.6,0.0,0.0,0.0,1.25,16.84006012149531,Global
69,0.0,1.5,0.0,0.5,0.0,2.6,0.5,0.0,0.5,0.25,2.0848138205440545,Global
70,0.0,1.25,0.0,1.25,0.5,5.0,0.0,0.0,0.0,1.25,17.687663258060283,What they knew
71,0.0,1.25,0.0,0.25,0.5,5.0,0.0,0.0,0.0,1.0,15.71040759926938,What they knew
72,0.0,1.5,0.0,0.0,1.25,4.6,0.0,0.0,0.0,1.0,15.474138863293842,Global
73,0.0,1.5,0.0,0.25,1.75,3.8,0.0,0.0,0.0,1.0,15.93591690903097,Global
74,0.0,1.25,0.0,0.75,0.75,5.0,0.0,0.0,0.0,1.5,15.071502188864656,Global
75,0.0,1.5,0.0,0.0,1.75,3.8,0.0,0.0,0.0,1.0,16.980894309638813,Global
76,0.0,0.75,0.0,0.5,0.0,2.2,0.5,0.25,0.75,0.75,0.3601394404448272,Global
77,0.0,1.25,0.0,1.5,0.25,5.0,0.25,0.0,0.0,0.0,10.156945927234013,What they knew
78,0.0,1.25,0.0,1.25,0.5,5.0,0.0,0.0,0.0,1.0,18.352763463919388,What they knew
79,0.0,1.25,0.0,1.5,0.5,5.0,0.0,0.0,0.0,1.0,17.513399213328785,What they knew
80,0.25,1.5,0.0,1.0,0.0,5.0,0.25,0.0,0.25,0.5,3.1638316648533507,What they knew
81,0.0,1.25,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.75,17.959881173456928,Global
82,0.0,1.25,0.0,1.0,0.5,4.800000000000001,0.0,0.0,0.0,0.75,18.30140048729994,Global
83,0.0,1.5,0.0,0.0,1.75,3.4000000000000004,0.0,0.0,0.0,0.75,16.77211202750432,Global
84,0.0,0.75,0.0,0.0,0.25,4.4,0.0,0.0,0.25,2.25,7.664471647792157,Global
85,0.0,1.0,0.0,1.0,0.25,4.6,0.0,0.0,0.0,0.75,13.474994038292383,Global
86,0.0,1.25,0.0,1.25,0.5,5.0,0.0,0.0,0.0,0.75,18.23415175007836,What they knew
87,0.0,1.5,0.0,0.0,1.25,5.0,0.0,0.0,0.25,0.25,9.62852728007116,What they knew
88,0.0,1.0,0.0,0.5,0.5,3.4000000000000004,0.25,0.0,0.0,0.25,13.373531708776966,Global
89,0.0,1.25,0.0,1.0,0.5,4.6,0.0,0.0,0.0,0.75,18.45103008288524,Global
90,0.0,0.25,0.0,0.5,2.25,1.8,0.5,0.0,0.0,0.0,0.5390092171890779,Global
91,0.25,0.0,0.0,0.0,0.75,3.0,0.0,0.0,0.0,2.25,1.3608253654506115,Global
92,0.0,0.5,0.25,0.25,0.75,4.2,0.5,0.0,0.0,1.25,1.5486853598791264,Global
93,0.0,0.75,0.25,0.25,1.0,4.800000000000001,0.25,0.0,0.25,0.75,1.4414120478394326,Global
94,0.0,0.75,0.0,0.25,0.25,4.4,0.25,0.0,0.0,1.75,10.34694840993263,Global
95,0.0,1.5,0.0,1.25,0.5,5.0,0.0,0.0,0.0,0.0,16.12391588634102,What they knew
96,0.0,1.75,0.0,0.0,0.75,5.0,0.75,0.0,0.0,0.0,8.359061075529286,What they knew
97,0.0,1.25,0.0,1.0,0.5,4.6,0.0,0.0,0.0,0.5,18.21808612630864,Global
98,0.0,1.5,0.0,0.0,1.75,3.6,0.0,0.0,0.0,0.75,16.876738190124684,Global
99,0.0,0.0,0.0,0.0,1.25,2.2,0.0,0.0,0.0,2.0,1.3597474144284634,Global
100,0.25,2.0,0.0,0.0,0.5,2.8,0.25,0.0,0.25,0.5,3.006942034475569,Global
101,0.0,1.75,0.25,0.0,1.0,2.8,0.0,0.0,0.5,0.25,0.7790973438027464,Global
102,0.0,1.0,0.0,0.5,0.75,5.0,0.25,0.0,0.0,0.75,17.677057038902763,What they knew
103,0.0,1.0,0.0,0.75,1.25,5.0,0.25,0.0,0.0,0.0,10.452729978759685,What they knew
104,0.0,1.25,0.0,0.75,0.5,4.4,0.0,0.0,0.0,0.75,18.06527015964632,Global
105,0.0,1.75,0.0,0.0,1.75,3.4000000000000004,0.0,0.0,0.0,0.75,18.14425384599257,Global
