iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
1,0.25,0.5,0.25,0.25,0.25,3.4000000000000004,0.25,0.5,0.75,0.25,0.05
2,0.5,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.5,0.75,0.01
3,0.75,0.5,0.25,0.5,0.0,3.4000000000000004,0.0,0.75,0.25,0.25,0.05
4,0.0,0.5,0.25,0.5,0.0,3.4000000000000004,0.5,0.5,0.75,0.5,0.04
5,0.25,0.5,0.75,0.0,0.75,3.6,0.25,0.0,0.25,0.25,0.07
6,0.25,0.25,0.5,0.0,0.0,1.6,0.25,0.0,0.25,0.25,0.06
7,0.25,0.25,0.25,0.0,0.0,2.6,0.25,0.25,0.25,0.25,0.15
8,0.0,0.25,0.25,0.0,0.0,1.8,0.0,0.75,0.25,0.25,0.03
9,0.25,0.25,0.75,0.0,0.5,1.8,0.0,0.0,0.25,0.25,0.03
10,0.25,0.25,0.25,0.5,0.5,3.2,0.0,0.25,0.5,0.25,0.16
11,0.25,0.25,0.25,0.0,0.0,3.2,0.0,0.0,0.25,0.25,0.34
12,0.25,0.25,0.25,0.0,0.5,3.2,0.0,0.0,0.25,0.25,0.46
13,0.25,0.25,0.25,0.25,0.0,3.0,0.0,0.0,0.25,0.25,0.35
14,0.25,0.25,0.25,0.0,0.0,3.2,0.25,0.0,0.25,0.25,0.36
15,0.25,0.25,0.25,0.0,0.25,1.2,0.0,0.0,0.25,0.25,0.24
16,0.25,0.25,0.25,0.0,0.0,2.6,0.0,0.0,0.25,0.25,0.3
17,2.0,0.25,0.25,0.0,0.5,2.6,0.0,0.0,0.25,0.25,0.0
18,2.75,0.25,0.25,0.0,0.0,2.4000000000000004,0.0,0.0,0.25,0.25,0.0
19,0.5,0.25,0.25,0.0,0.25,2.4000000000000004,0.0,0.0,0.25,0.25,0.12
20,0.25,0.25,0.25,0.25,0.5,2.4000000000000004,0.0,0.0,0.25,0.25,0.43
21,0.25,0.25,0.25,0.0,0.5,2.4000000000000004,0.0,0.0,0.25,0.25,0.39
22,0.25,0.25,0.25,0.0,3.5,3.2,0.0,0.0,0.25,0.25,0.04
23,0.25,0.25,0.25,0.0,0.5,3.0,0.0,0.0,0.25,0.25,0.44
24,0.25,0.25,0.25,0.25,0.25,2.6,0.0,0.0,0.25,0.25,0.4
25,0.25,0.25,0.25,0.0,0.25,3.2,0.0,0.0,0.25,0.25,0.42
26,0.25,0.25,0.25,0.0,0.25,2.2,0.0,0.0,0.25,0.25,0.33
27,0.25,0.25,0.25,0.0,0.25,3.0,0.0,0.0,0.25,0.25,0.4
28,1.0,0.25,0.25,0.0,0.25,2.4000000000000004,0.0,0.0,0.25,0.0,0.05
29,0.75,0.25,0.25,0.0,0.25,3.0,0.0,0.0,0.25,0.25,0.07
30,0.25,0.25,0.25,0.0,0.5,3.0,0.0,0.0,0.25,0.0,0.41
31,0.25,0.25,0.25,0.0,0.25,3.0,0.0,0.0,0.25,0.0,0.37
32,0.25,0.25,0.25,0.25,0.25,3.0,0.0,3.5,0.25,0.0,0.0
33,0.25,0.25,0.25,0.0,0.25,3.0,0.0,2.5,0.25,0.0,0.0
34,0.25,0.25,0.25,0.0,0.25,2.4000000000000004,0.0,0.0,0.25,0.0,0.32
35,0.25,0.25,0.25,0.0,0.25,2.6,0.0,0.0,0.25,0.0,0.34
36,0.25,0.25,0.25,0.0,0.25,2.2,0.0,0.0,0.25,0.0,0.31
37,0.5,0.25,0.25,0.0,0.25,2.2,0.0,0.0,0.25,0.25,0.11
38,0.25,0.25,0.25,0.0,0.25,3.2,0.0,0.0,0.25,0.0,0.39
39,0.25,0.25,0.0,0.0,0.5,2.6,0.5,0.0,0.25,0.0,1.7
40,0.25,0.25,0.0,0.0,0.25,2.6,0.5,0.0,0.25,0.0,1.41
41,0.25,0.25,0.0,0.0,0.25,2.4000000000000004,0.0,0.0,0.25,0.0,1.29
42,0.25,0.25,0.0,0.0,3.25,2.4000000000000004,0.25,0.0,0.25,0.0,0.14
