iteration,0,1,2,3,4,5,6,7,8,9,mean_target,std_target,regret_0,regret_1,regret_2,regret_3,regret_4,regret_5,regret_6,regret_7,regret_8,regret_9,mean_regret,std_regret,mean_cum_regret,std_cum_regret
1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.049999999999999996,0.0,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,0.0,33.18,0.0
2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.049999999999999996,0.0,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,0.0,66.36,0.0
3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.049999999999999996,0.0,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,0.0,99.53999999999999,0.0
4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.049999999999999996,0.0,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,33.18,0.0,132.72,0.0
5,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07000000000000002,1.4628472785736255e-17,33.16,33.16,33.16,33.16,33.16,33.16,33.16,33.16,33.16,33.16,33.15999999999999,7.489778066296963e-15,165.88,7.489778066296963e-15
6,0.32,0.55,0.57,0.79,0.07,0.07,0.15,0.71,0.24,0.07,0.354,0.27881495257209177,32.91,32.68,32.66,32.44,33.16,33.16,33.08,32.519999999999996,32.989999999999995,33.16,32.876,0.2788149525720915,198.756,0.278814952572099
7,0.32,0.55,0.57,0.79,0.07,0.44,0.15,0.71,0.24,0.15,0.39899999999999997,0.2510179276466125,32.91,32.68,32.66,32.44,33.16,32.79,33.08,32.519999999999996,32.989999999999995,33.08,32.830999999999996,0.25101792764661246,231.587,0.5298328802187114
8,0.32,0.55,0.57,0.79,1.21,0.44,0.18,0.71,0.24,0.15,0.516,0.32755661088326904,32.91,32.68,32.66,32.44,32.019999999999996,32.79,33.05,32.519999999999996,32.989999999999995,33.08,32.71399999999999,0.32755661088326926,264.301,0.8573894911019807
9,0.32,1.31,0.57,0.79,1.21,0.44,0.18,0.71,0.26,0.15,0.5940000000000001,0.4114257054573901,32.91,31.919999999999998,32.66,32.44,32.019999999999996,32.79,33.05,32.519999999999996,32.97,33.08,32.635999999999996,0.41142570545739043,296.937,1.268815196559371
10,0.32,2.48,0.57,0.79,1.21,0.44,0.27,0.71,0.71,0.16,0.766,0.6748366057383405,32.91,30.749999999999996,32.66,32.44,32.019999999999996,32.79,32.959999999999994,32.519999999999996,32.519999999999996,33.07,32.46399999999999,0.6748366057383408,329.401,1.9436518022977118
11,0.32,2.48,0.57,0.79,1.21,0.44,0.87,0.71,0.71,0.34,0.8440000000000001,0.6339330493917407,32.91,30.749999999999996,32.66,32.44,32.019999999999996,32.79,32.36,32.519999999999996,32.519999999999996,32.88999999999999,32.38599999999999,0.6339330493917407,361.787,2.5775848516894526
12,1.7,2.48,0.57,0.79,1.21,0.44,0.97,0.71,0.71,0.46,1.0040000000000002,0.6435699046896322,31.529999999999998,30.749999999999996,32.66,32.44,32.019999999999996,32.79,32.26,32.519999999999996,32.519999999999996,32.769999999999996,32.22599999999999,0.6435699046896323,394.013,3.221154756379085
13,1.7,3.35,0.68,0.79,1.21,0.76,0.97,0.71,0.71,0.46,1.1340000000000003,0.852567364559019,31.529999999999998,29.879999999999995,32.55,32.44,32.019999999999996,32.47,32.26,32.519999999999996,32.519999999999996,32.769999999999996,32.09599999999999,0.8525673645590194,426.109,4.073722120938104
14,3.36,3.35,0.68,0.79,1.21,0.76,1.05,0.71,0.71,0.46,1.3080000000000003,1.0981782895120242,29.869999999999997,29.879999999999995,32.55,32.44,32.019999999999996,32.47,32.18,32.519999999999996,32.519999999999996,32.769999999999996,31.921999999999997,1.0981782895120245,458.03099999999995,5.171900410450128
15,3.36,3.35,0.68,0.79,1.21,0.76,4.35,0.71,0.71,0.46,1.6380000000000003,1.4511359535052377,29.869999999999997,29.879999999999995,32.55,32.44,32.019999999999996,32.47,28.879999999999995,32.519999999999996,32.519999999999996,32.769999999999996,31.591999999999995,1.4511359535052384,489.62299999999993,6.623036363955366
16,3.36,3.35,0.68,0.79,1.21,0.87,4.35,0.71,0.71,0.46,1.6490000000000002,1.4441410365104002,29.869999999999997,29.879999999999995,32.55,32.44,32.019999999999996,32.36,28.879999999999995,32.519999999999996,32.519999999999996,32.769999999999996,31.580999999999996,1.4441410365104006,521.204,8.067177400465766
17,3.36,3.35,0.68,0.79,1.21,0.87,4.35,0.71,0.71,0.46,1.6490000000000002,1.4441410365104002,29.869999999999997,29.879999999999995,32.55,32.44,32.019999999999996,32.36,28.879999999999995,32.519999999999996,32.519999999999996,32.769999999999996,31.580999999999996,1.4441410365104006,552.785,9.511318436976167
18,3.84,3.35,0.68,0.79,1.21,0.87,4.59,0.71,0.71,0.46,1.721,1.561519559062048,29.389999999999997,29.879999999999995,32.55,32.44,32.019999999999996,32.36,28.639999999999997,32.519999999999996,32.519999999999996,32.769999999999996,31.508999999999993,1.5615195590620483,584.294,11.072837996038215
19,3.84,3.35,0.68,0.79,2.17,0.87,4.96,0.71,0.71,0.46,1.8540000000000003,1.6319259242447932,29.389999999999997,29.879999999999995,32.55,32.44,31.059999999999995,32.36,28.269999999999996,32.519999999999996,32.519999999999996,32.769999999999996,31.375999999999994,1.6319259242447937,615.67,12.704763920283009
